,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
22,Return on Equity (ROE),16.06%,16.01%,14.22%,14.43%,16.78%,13.75%,17.28%,14.29%,15.18%,12.79%,11.16%,8.36%,-,-,-,27.16%,22.05%,-,-,-,
23,Return on Assets (ROA),-,8.58%,7.07%,7.22%,7.62%,8.19%,8.11%,7.52%,7.27%,7.03%,-,-,-,-,-,-,8.79%,-,-,-,
24,Return on Capital (ROIC),13.70%,10.52%,8.62%,8.72%,9.16%,10.17%,10.25%,9.34%,9.03%,8.82%,5.67%,4.48%,-,-,-,18.23%,14.61%,-,-,-,
25,Return on Capital Employed (ROCE),-,-,13.71%,13.68%,13.88%,14.08%,14.35%,13.88%,11.96%,10.23%,7.75%,6.26%,-,6.12%,-,-,-,21.03%,15.64%,-,-
26,Earnings Yield,3.37%,3.27%,3.58%,3.73%,3.46%,3.86%,3.50%,3.43%,2.89%,2.15%,1.93%,1.59%,1.49%,0.84%,-,-,-,-,-,-,-
27,FCF Yield,-,1.94%,1.73%,1.37%,1.80%,2.35%,2.41%,-0.20%,-1.12%,-1.94%,-1.77%,0.24%,0.27%,-,-,-,-,-,-,-,
28,Dividend Yield,0.67%,-,-,1.55%,1.23%,1.20%,-,-,-,0.66%,-,-,-,0.29%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,61.09%,61.09%,-,1.93%,73.72%,-,-,-,76.42%,-,0.36%,0.43%,49.67%,49.67%,3.59%,3.59%,-,-
30,Buyback Yield / Dilution,-0.06%,0.53%,-0.46%,-0.56%,0.25%,-1.02%,0.46%,0.98%,-0.59%,-18.00%,-32.51%,-34.04%,-33.03%,-12.10%,-,-,-,-,-,-,-
31,Total Shareholder Return,0.61%,0.53%,-0.46%,0.99%,1.48%,0.18%,0.46%,0.98%,-0.59%,-17.34%,-32.51%,-34.04%,-33.03%,-11.81%,-,-,-,-,-,-,-
