,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
13,Currency Exchange Gain (Loss),-18.31,18.31,-,22.04,-22.45,22.45,-,58.72,-27.78,27.78,-,-14.48,6.37,-6.37,-,-48.39,-,-,-
14,Other Non Operating Income (Expenses),-0.94,-8.69,5.62,-24.61,20.97,7.81,-11.58,-57.6,58.45,1.07,-6.23,1.68,-3.35,-1.08,0.62,23.21,-33.87,3.68,-4.4
15,EBT Excluding Unusual Items,244.62,218.6,245.32,125.55,146.41,184.73,229.65,196.51,263.45,333.76,243,171.3,181.23,215.18,225.16,166.71,225.39,347.39,186.71
16,Gain (Loss) on Sale of Investments,4.33,6.19,-0.38,10.34,-2.19,2.19,-,4.56,-,-,-,6.26,0.42,0.19,-0.61,-0.56,-0.87,1.46,-
17,Gain (Loss) on Sale of Assets,6.44,-6.3,-0.15,-5.08,3.67,-3.67,-,-15.84,8.63,-8.63,-,-0.15,3.35,-2.89,-0.01,-0.14,-0.08,-1.3,-
18,Asset Writedown,-54.05,8.83,-8.83,1.25,-1.25,1.02,-1.02,9.73,-9.79,7.9,-7.9,11.63,-20.94,4.08,-4.08,-3.43,2.68,-4.56,-
19,Other Unusual Items,-0.8,2.74,-1.94,6.04,-,-,-,10.24,-,-,-,16.65,-,-,-,24.03,-,-,-
20,Pretax Income,200.54,230.07,234.02,138.1,146.64,184.27,228.63,205.2,262.3,333.03,235.1,205.7,164.06,216.56,220.46,186.62,227.12,343,186.71
21,Income Tax Expense,26.27,24.28,35.44,15.78,15.85,22.39,33.66,5.94,35.94,38.34,34.8,21.12,20.45,23.89,35.1,13.89,35.64,57.97,25.64
22,Earnings From Continuing Operations,174.27,205.79,198.58,122.32,130.8,161.89,194.97,199.27,226.36,294.69,200.31,184.58,143.62,192.67,185.36,172.72,191.48,285.03,161.06
23,Minority Interest in Earnings,0.02,0.08,0.15,1.07,0.8,0.96,-0.34,0.57,-0.33,-0.04,0.09,0.37,-0.22,-0.08,-0.26,0.02,-0.85,0.26,0.28
24,Net Income,174.29,205.87,198.73,123.39,131.6,162.84,194.63,199.84,226.03,294.64,200.39,184.95,143.39,192.59,185.1,172.74,190.63,285.29,161.34
25,Net Income to Common,174.29,205.87,198.73,123.39,131.6,162.84,194.63,199.84,226.03,294.64,200.39,184.95,143.39,192.59,185.1,172.74,190.63,285.29,161.34
26,Net Income Growth,32.43%,26.42%,2.11%,-38.26%,-41.78%,-44.73%,-2.88%,8.05%,57.63%,52.99%,8.26%,7.06%,-24.78%,-32.49%,14.73%,-,-,-,-
27,Shares Outstanding (Basic),561,556,552,560,550,561,556,556,564,556,557,572,531,470,475,468,476,475,-
28,Shares Outstanding (Diluted),561,556,552,560,550,561,556,556,564,556,557,572,531,470,475,468,476,475,-
29,Shares Change (YoY),2.03%,-0.81%,-0.73%,0.76%,-2.52%,0.94%,-0.10%,-2.82%,6.39%,18.35%,17.28%,22.15%,11.36%,-1.16%,-,-,-,-,-
30,EPS (Basic),0.31,0.37,0.36,0.22,0.24,0.29,0.35,0.36,0.40,0.53,0.36,0.32,0.27,0.41,0.39,0.37,0.40,0.60,-
31,EPS (Diluted),0.31,0.37,0.36,0.22,0.24,0.29,0.35,0.36,0.40,0.53,0.36,0.32,0.27,0.41,0.39,0.37,0.40,0.60,-
32,EPS Growth,29.80%,27.46%,2.86%,-38.72%,-40.27%,-45.25%,-2.78%,11.18%,48.16%,29.27%,-7.69%,-12.35%,-32.45%,-31.70%,-,-,-,-,-
33,Free Cash Flow,250.51,-215.86,-206.05,233.68,-156.42,-366.01,57.07,-0.46,231.09,-12.14,-4.57,-199.05,-360.55,67.45,-132.07,-55.4,9.6,118.63,173.45
34,Free Cash Flow Per Share,0.45,-0.39,-0.37,0.42,-0.28,-0.65,0.10,-0.00,0.41,-0.02,-0.01,-0.35,-0.68,0.14,-0.28,-0.12,0.02,0.25,-
35,Dividend Per Share,-,-,-,0.302,-,-,-,0.600,-,-,-,0.200,0.500,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-49.74%,-,-,-,200.00%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,28.54%,22.75%,27.43%,16.17%,26.56%,20.98%,26.61%,22.62%,27.18%,27.42%,31.07%,23.18%,32.05%,31.11%,29.84%,27.00%,36.84%,45.11%,21.25%
38,Operating Margin,17.32%,13.17%,17.11%,8.77%,11.28%,10.55%,16.15%,11.60%,15.93%,19.42%,20.60%,13.79%,18.30%,20.78%,20.23%,18.49%,25.78%,28.88%,21.25%
39,Profit Margin,11.42%,13.25%,14.85%,9.52%,10.58%,11.64%,13.80%,12.43%,16.03%,19.29%,17.04%,14.31%,14.77%,17.51%,16.20%,16.30%,18.78%,23.15%,17.94%
40,Free Cash Flow Margin,16.42%,-13.89%,-15.39%,18.03%,-12.58%,-26.15%,4.05%,-0.03%,16.39%,-0.79%,-0.39%,-15.40%,-37.14%,6.13%,-11.56%,-5.23%,0.95%,9.63%,19.29%
41,EBITDA,344.52,307.32,309.31,193.86,205.38,225.25,292.74,251.53,274.8,355.53,292.53,228.38,216.97,278.06,270.37,235.2,296.24,390.52,225.7
42,EBITDA Margin,22.58%,19.78%,23.10%,14.96%,16.51%,16.09%,20.76%,15.65%,19.49%,23.28%,24.87%,17.67%,22.35%,25.27%,23.67%,22.19%,29.19%,31.69%,25.10%
43,D&A For EBITDA,80.22,102.63,80.22,80.22,65.05,77.61,65.05,65.05,50.22,58.92,50.22,50.22,39.28,49.44,39.28,39.28,34.59,34.59,34.59
44,EBIT,264.3,204.69,229.08,113.64,140.32,147.65,227.68,186.47,224.57,296.61,242.31,178.15,177.69,228.62,231.1,195.93,261.65,355.93,191.11
45,EBIT Margin,17.32%,13.17%,17.11%,8.77%,11.28%,10.55%,16.15%,11.60%,15.93%,19.42%,20.60%,13.79%,18.30%,20.78%,20.23%,18.49%,25.78%,28.88%,21.25%
46,Effective Tax Rate,13.10%,10.55%,15.15%,11.42%,10.80%,12.15%,14.72%,2.89%,13.70%,11.51%,14.80%,10.27%,12.46%,11.03%,15.92%,7.45%,15.69%,16.90%,13.73%
47,Revenue as Reported,1526,1554,1339,1296,1244,1400,1410,1608,1410,1527,1176,1292,970.81,1100,1142,1060,1015,2132,-
