,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2015,Q1 2015
13,Gain (Loss) on Sale of Assets,-0,-0.19,-0.04,-0.1,0.1,-0.13,-,-,0,-0,-,-,0,-0,-0,-,-
14,Asset Writedown,-3.15,1.76,-1.76,-0.47,0.47,-0.35,0.35,2.1,-2.1,1.15,-1.15,1.97,-1.97,-,-,0.24,0.24
15,Other Unusual Items,-1.18,1.18,0,3.31,0,-0,-,3.58,-,-,-,4.43,-,-,-,-,-
16,Pretax Income,-34.29,29.49,-20.25,128.8,84.67,91.18,15.41,145.82,65.43,75.99,-1.46,75.65,36.65,28.14,28.14,7.7,7.7
17,Income Tax Expense,-7.18,-17.84,-4.38,11.07,3.01,-1.7,3.6,10.55,0.01,13.93,-0.06,5.21,1.93,2.33,2.33,1.1,1.1
18,Earnings From Continuing Operations,-27.11,47.33,-15.87,117.73,81.66,92.88,11.81,135.26,65.43,62.05,-1.41,70.43,34.72,25.81,25.81,6.61,6.61
19,Minority Interest in Earnings,0.88,-0.7,2.25,-5.96,0.41,0.66,0.39,-3.05,-0.14,0.04,0.26,-0.22,-0.51,0,0,-0.24,-0.24
20,Net Income,-26.24,46.63,-13.61,111.77,82.08,93.54,12.21,132.21,65.29,62.09,-1.15,70.22,34.2,25.82,25.82,6.37,6.37
21,Net Income to Common,-26.24,46.63,-13.61,111.77,82.08,93.54,12.21,132.21,65.29,62.09,-1.15,70.22,34.2,25.82,25.82,6.37,6.37
22,Net Income Growth,-,-50.15%,-,-15.46%,25.72%,50.64%,-,88.29%,90.88%,140.52%,-,1002.82%,437.19%,-,-,-,-
23,Shares Outstanding (Basic),283,350,350,355,339,346,359,349,360,177,372,261,264,261,261,258,258
24,Shares Outstanding (Diluted),283,350,350,355,339,346,359,349,360,177,372,261,264,261,261,258,258
25,Shares Change (YoY),-16.46%,1.15%,-2.53%,1.86%,-6.03%,95.61%,-3.41%,33.61%,36.38%,-32.35%,42.17%,1.20%,2.47%,-,-,-,-
26,EPS (Basic),-0.09,0.13,-0.04,0.31,0.24,0.27,0.03,0.38,0.18,0.35,-0.00,0.27,0.13,0.10,0.10,0.02,0.02
27,EPS (Diluted),-0.09,0.13,-0.04,0.31,0.24,0.27,0.03,0.38,0.18,0.35,-0.00,0.27,0.13,0.10,0.10,0.02,0.02
28,EPS Growth,-,-50.72%,-,-17.01%,33.79%,-22.99%,-,40.92%,39.96%,255.55%,-,989.77%,424.24%,-,-,-,-
29,Free Cash Flow,-1.11,-9.89,-195.11,248.59,-31.43,-4.14,-89.68,272.81,36.72,50.61,-139.37,328.01,6.69,-62.86,-62.86,-10.35,-10.35
30,Free Cash Flow Per Share,-0.00,-0.03,-0.56,0.70,-0.09,-0.01,-0.25,0.78,0.10,0.29,-0.37,1.26,0.03,-0.24,-0.24,-0.04,-0.04
31,Dividend Per Share,-,-,-,0.556,-,-,-,0.309,-,0.309,-,-,-,-,-,-,-
32,Dividend Growth,-,-,-,79.98%,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Gross Margin,55.11%,57.82%,56.65%,55.86%,56.91%,55.11%,59.91%,56.48%,63.60%,57.15%,54.86%,52.37%,55.23%,55.22%,55.22%,59.41%,59.41%
34,Operating Margin,-28.96%,7.99%,-22.04%,26.57%,22.96%,22.52%,5.55%,33.27%,31.90%,25.90%,-5.47%,24.85%,22.53%,16.61%,16.61%,10.41%,10.41%
35,Profit Margin,-20.25%,20.06%,-10.35%,26.20%,25.67%,26.63%,11.08%,36.68%,32.21%,22.77%,-1.50%,26.16%,20.05%,17.26%,17.26%,22.78%,22.78%
36,Free Cash Flow Margin,-0.85%,-4.26%,-148.35%,58.27%,-9.83%,-1.18%,-81.39%,75.69%,18.12%,18.56%,-181.05%,122.19%,3.92%,-42.03%,-42.03%,-37.02%,-37.02%
37,EBITDA,-37.17,19.35,-28.64,113.71,73.74,79.52,6.44,120.22,64.81,70.86,-4.05,66.85,38.6,25.01,25.01,2.98,2.98
38,EBITDA Margin,-28.69%,8.32%,-21.77%,26.65%,23.06%,22.64%,5.84%,33.35%,31.97%,25.98%,-5.27%,24.90%,22.63%,16.72%,16.72%,10.65%,10.65%
39,D&A For EBITDA,0.35,0.78,0.35,0.35,0.32,0.44,0.32,0.32,0.15,0.23,0.15,0.15,0.17,0.17,0.17,0.07,0.07
40,EBIT,-37.52,18.56,-28.99,113.35,73.42,79.09,6.12,119.9,64.65,70.63,-4.21,66.7,38.43,24.85,24.85,2.91,2.91
41,EBIT Margin,-28.96%,7.99%,-22.04%,26.57%,22.96%,22.52%,5.55%,33.27%,31.90%,25.90%,-5.47%,24.85%,22.53%,16.61%,16.61%,10.41%,10.41%
42,Effective Tax Rate,-,-,-,8.60%,3.55%,-,23.34%,7.24%,0.01%,18.34%,-,6.89%,5.26%,8.27%,8.27%,14.23%,14.23%
43,Revenue as Reported,129.57,232.42,131.52,426.61,319.79,351.23,110.18,360.43,202.69,272.76,76.98,268.44,170.61,149.57,149.57,-,-
