,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2017,Q1 2017
18,Total Assets,2091,1971,1956,1824,1840,1842,1357,1214,-,-,-,455.7,455.7
19,Accounts Payable,60.53,62.27,68.15,122.65,95.87,49.5,89.32,72.57,-,-,-,32.09,32.09
20,Accrued Expenses,20.09,67.27,18.47,73.95,17.13,48.82,14.48,31.93,-,-,-,24.21,24.21
21,Short-Term Debt,514.18,414.06,150.51,186.88,209.64,278.56,243.03,244.38,-,-,-,85,85
22,Current Portion of Long-Term Debt,1.45,0.8,102.38,102.12,201.05,152.38,2.37,2.42,-,-,-,-,-
23,Current Portion of Leases,-,0.61,-,0.41,-,0.17,-,0.28,-,-,-,-,-
24,Current Income Taxes Payable,56.61,0.19,39.41,1.21,53.25,1.32,34.26,1.44,-,-,-,2.33,2.33
25,Current Unearned Revenue,10.86,15.96,23.87,16.94,26.98,21.14,23.47,24.18,-,-,-,-,-
26,Other Current Liabilities,19.79,52.32,174.45,50.95,5.8,33.48,131.51,36.09,-,-,-,66.13,66.13
27,Total Current Liabilities,683.51,613.47,577.24,555.12,609.72,585.37,538.43,413.29,-,-,-,209.76,209.76
28,Long-Term Debt,128.72,88.92,90,-,-,48.51,198.08,198.07,-,-,-,11.46,11.46
29,Long-Term Leases,0.81,0.93,0.52,0.41,0.04,0.07,0.09,0.02,-,-,-,-,-
30,Long-Term Unearned Revenue,25.77,25.98,31.53,31.77,14.08,8.78,9.05,9.14,-,-,-,27.06,27.06
31,Long-Term Deferred Tax Liabilities,0.5,0.38,0.24,0.25,0.05,0.05,0.05,0.12,-,-,-,-,-
32,Total Liabilities,839.3,729.68,699.53,587.55,623.89,642.78,745.7,620.63,-,-,-,248.27,248.27
33,Common Stock,98.67,98.67,98.67,98.67,98.67,98.67,74,74,-,-,-,66,66
34,Additional Paid-In Capital,675.37,675.37,675.37,675.37,675.37,675.37,136.35,136.35,-,-,-,64.35,64.35
35,Retained Earnings,499.46,475.78,483.62,463.36,441.72,424.42,400.18,382.37,-,-,-,77.07,77.07
36,Treasury Stock,-22.99,-10.19,-,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,0.35,-,-,-,-,-,-,-,-,-,-,-,-
38,Total Common Equity,1251,1240,1258,1237,1216,1198,610.53,592.73,-,-,514.71,207.42,207.42
39,Minority Interest,1.34,1.67,-1.06,-0.63,0.48,0.65,0.86,1,-,-,-,-,-
40,Shareholders' Equity,1252,1241,1257,1237,1216,1199,611.4,593.73,-,-,514.99,207.42,207.42
41,Total Liabilities & Equity,2091,1971,1956,1824,1840,1842,1357,1214,-,-,-,455.7,455.7
42,Total Debt,645.16,505.32,343.41,289.83,410.73,479.68,443.57,445.17,-,-,281.28,96.46,96.46
43,Net Cash (Debt),-412.92,-199.43,-2.22,92.18,6.34,38.71,-314.75,-178.34,-,-,-201.76,-61.3,-61.3
44,Net Cash Per Share,-4.10,-2.02,-0.02,0.94,0.06,0.47,-4.25,-2.42,-,-,-2.65,-0.92,-0.92
45,Filing Date Shares Outstanding,97.79,98.29,98.67,98.67,98.67,98.67,74,74,73.1,72.14,76.16,66,66
46,Total Common Shares Outstanding,97.79,98.29,98.67,98.67,98.67,98.67,74,74,73.1,72.14,76.16,66,66
47,Working Capital,995.69,1009,1059,999.82,1042,1066,624.28,598.78,-,-,-,9.78,9.78
48,Book Value Per Share,12.79,12.61,12.75,12.54,12.32,12.15,8.25,8.01,-,-,6.98,3.14,3.14
49,Tangible Book Value,1233,1222,1239,1221,1199,1181,592.08,573.21,-,-,491.03,182.43,182.43
50,Tangible Book Value Per Share,12.61,12.43,12.56,12.38,12.16,11.97,8.00,7.75,-,-,6.66,2.76,2.76
51,Buildings,-,273,-,196.95,-,196.95,-,196.95,-,-,-,187.13,187.13
52,Machinery,-,38.04,-,38.84,-,36.87,-,35.41,-,-,-,38.36,38.36
53,Construction In Progress,-,67.24,-,36.08,-,-,-,-,-,-,-,3.25,3.25
