,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2017,Q1 2017
33,Free Cash Flow,-45.31,26.68,-136.77,-36.61,-3.01,-56,-147.59,69.03,17.75,24.64,-28.82,-14.24,-14.24
34,Free Cash Flow Per Share,-0.45,0.27,-1.42,-0.37,-0.03,-0.69,-1.99,0.94,0.24,0.34,-0.38,-0.21,-0.21
35,Dividend Per Share,-,0.100,-,0.300,-,-,-,-,-,-,-,-,-
36,Gross Margin,25.28%,22.12%,23.10%,19.78%,23.85%,25.47%,26.06%,24.90%,19.99%,24.17%,24.35%,30.38%,30.38%
37,Operating Margin,4.90%,7.17%,8.26%,12.11%,5.76%,14.45%,9.56%,4.83%,9.08%,14.38%,7.97%,12.34%,12.34%
38,Profit Margin,7.52%,6.77%,6.96%,7.16%,6.65%,9.42%,7.18%,10.99%,6.79%,10.95%,5.11%,9.79%,9.79%
39,Free Cash Flow Margin,-14.40%,8.32%,-46.98%,-12.11%,-1.16%,-21.75%,-59.57%,28.56%,7.50%,10.82%,-13.80%,-11.00%,-11.00%
40,EBITDA,17.82,23.98,26.45,39.02,18.29,40.49,26.99,14.97,25.15,36.07,20.29,18.45,18.45
41,EBITDA Margin,5.66%,7.48%,9.09%,12.90%,7.03%,15.72%,10.89%,6.19%,10.62%,15.84%,9.72%,14.25%,14.25%
42,D&A For EBITDA,2.4,1,2.4,2.4,3.3,3.27,3.3,3.3,3.65,3.32,3.65,2.47,2.47
43,EBIT,15.41,22.98,24.05,36.62,14.99,37.21,23.69,11.67,21.5,32.75,16.65,15.98,15.98
44,EBIT Margin,4.90%,7.17%,8.26%,12.11%,5.76%,14.45%,9.56%,4.83%,9.08%,14.38%,7.97%,12.34%,12.34%
45,Effective Tax Rate,8.21%,11.03%,2.81%,11.90%,6.29%,9.13%,5.08%,8.27%,7.50%,1.61%,9.93%,14.66%,14.66%
46,Revenue as Reported,314.77,320.51,291.11,302.39,260.2,257.48,247.74,241.75,236.72,227.76,208.78,-,-
