,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2015,Q1 2015
34,Shareholders' Equity,1009,999.89,1018,1010,977.79,968.45,336.49,336.49,-,292.2,292.2,295.01,295.01,251.96,251.96,135.94,135.94
35,Total Liabilities & Equity,1100,1086,1118,1123,1069,1084,-,453.19,-,372.76,372.76,404.44,404.44,347.57,347.57,154.09,154.09
36,Total Debt,0.22,0.3,0.38,0.46,0.54,0.35,0.24,0.24,-,0.05,0.05,0.3,0.3,0.48,0.48,-,-
37,Net Cash (Debt),781.17,823.38,848.6,869.76,777.01,831.74,218.24,218.24,-,120,120,189.9,189.9,133.14,133.14,55.05,55.05
38,Net Cash Growth,0.53%,-1.00%,288.83%,298.53%,-,593.09%,81.86%,14.93%,-,-9.87%,-9.87%,244.94%,244.94%,-,-,-,-
39,Net Cash Per Share,8.65,9.23,10.03,10.03,8.95,12.79,3.20,3.28,-,1.82,1.82,2.88,2.88,2.02,2.02,0.96,0.96
40,Filing Date Shares Outstanding,88,88,88,88,88,88,68.12,66,66.04,66,66,66,66,66,66,66,66
41,Total Common Shares Outstanding,88,88,88,88,88,88,68.12,66,66.04,66,66,66,66,66,66,66,66
42,Working Capital,943.19,932.22,947.83,938.33,905.27,896.74,-,261.99,-,214.54,214.54,214.83,214.83,176.94,176.94,55.62,55.62
43,Book Value Per Share,11.47,11.36,11.56,11.48,11.11,11.01,5.10,5.10,-,4.43,4.43,4.47,4.47,3.82,3.82,2.06,2.06
44,Tangible Book Value,1009,999.89,1018,1010,977.79,968.45,336.49,336.49,-,292.19,292.19,294.95,294.95,251.85,251.85,135.27,135.27
45,Tangible Book Value Per Share,11.47,11.36,11.56,11.48,11.11,11.01,5.10,5.10,-,4.43,4.43,4.47,4.47,3.82,3.82,2.05,2.05
46,Buildings,-,89.36,-,87.56,-,85.31,-,85.31,-,85.61,85.61,116.62,116.62,116.29,116.29,54.75,54.75
47,Machinery,-,7.3,-,7.06,-,7.6,-,7.91,-,7.27,7.27,6.95,6.95,6.46,6.46,4.42,4.42
