,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q1 2018,Q3 2017,Q1 2017,Q3 2016,Q1 2016,Q3 2014,Q3 2013
21,Net Income Growth,261.37%,-,-,348.15%,-81.18%,-,-,-98.21%,11.53%,896.69%,2343.44%,1935.83%,225.98%,-9.54%,68.21%,2829.51%,-,-,-,-
22,Shares Outstanding (Basic),112,112,112,112,112,112,112,112,112,104,71,65,7,17,14,11,11,11,-,-
23,Shares Outstanding (Diluted),112,112,112,112,112,112,112,112,112,104,71,65,7,17,14,11,11,11,-,-
24,Shares Change (YoY),0.01%,0.04%,0.06%,0.05%,0.07%,8.13%,57.47%,71.66%,1504.40%,495.43%,410.44%,487.14%,-37.11%,56.73%,-,-,-,-,-,-
25,EPS (Basic),122.35,307.73,247.65,58.41,33.86,-3142.00,-54.95,13.04,180.04,373.36,1208.42,1250.00,2589.99,223.05,252.44,360.51,499.70,386.44,-,-
26,EPS (Diluted),122.35,307.73,247.65,58.41,33.86,-3142.00,-54.95,13.04,180.04,373.36,1208.42,1250.00,2589.99,223.05,252.44,360.51,499.70,386.44,-,-
27,EPS Growth,261.34%,-,-,347.93%,-81.19%,-,-,-98.96%,-93.05%,67.39%,378.69%,246.73%,418.31%,-42.28%,-,-,-,-,-,-
28,Free Cash Flow,-,-62461,-62461,165416,165416,-,-1910,159920,159920,-,-11854,-11854,-,-25969,-,-34393,-,-24086,-,-
29,Free Cash Flow Per Share,-,-557.20,-557.19,1475.66,1475.71,-,-17.05,1427.33,1427.67,-,-166.62,-181.61,-,-1492.25,-,-3093.85,-,-2169.24,-,-
30,Operating Margin,-,86.28%,81.35%,28.14%,31.37%,-6.59%,-25.49%,4.70%,52.73%,66.73%,85.72%,86.69%,67.19%,33.47%,28.55%,56.98%,64.95%,57.40%,45.85%,9.75%
31,Profit Margin,-,62.09%,64.32%,38.12%,21.40%,-1536.06%,-39.88%,6.80%,43.60%,69.45%,65.68%,70.28%,55.09%,49.92%,71.91%,61.26%,63.73%,57.71%,64.18%,5.52%
32,Free Cash Flow Margin,-,-112.42%,-144.72%,963.08%,932.69%,-,-12.37%,744.14%,345.77%,-,-9.06%,-10.21%,-,-333.96%,-,-525.75%,-,-323.95%,-,-
33,Effective Tax Rate,-,15.60%,15.81%,19.49%,22.84%,-,-,-,18.18%,19.92%,19.78%,19.88%,19.78%,20.04%,20.06%,20.00%,2.06%,-,-,-
34,Revenue as Reported,-6925,55777,43316,17322,19081,26371,18767,26739,51691,62436,137762,121337,39413,8117,5270,7527,9631,8343,3259,2484
