,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q4 2019,Q4 2018
14,Other Intangible Assets,6818,6644,6699,6754,6810,-,4708,4710,4712,4714,4717,-,-,-,-,4588,9633
15,Other Long-Term Assets,17954,16585,16963,16391,17060,-,6621,8027,10199,8814,8551,-,-,-,-,9201,3164
16,Total Assets,251797,242849,237315,230057,231733,-,219234,229528,228480,213759,196153,-,-,-,-,275862,273820
17,Accounts Payable,17027,14078,19716,22745,15004,-,11211,24541,16279,16806,13779,-,-,-,-,19627,58482
18,Accrued Expenses,57569,52536,42473,28364,40738,-,50761,40512,50304,47801,35601,-,-,-,-,34027,44816
19,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30500,21200
20,Current Income Taxes Payable,4472,2801,2130,2258,5858,-,2475,1774,4746,2298,3082,-,-,-,-,3308,1130
21,Current Unearned Revenue,-,279.14,1.36,313.75,373.89,-,-,272.73,30.55,308.96,166.2,-,-,-,-,-,-
22,Other Current Liabilities,3151,12490,17140,4280,2525,-,9672,3615,4179,5392,4949,-,-,-,-,21690,24721
23,Total Current Liabilities,82218,82184,81460,57961,64499,-,74120,70713,75538,72607,57577,-,-,-,-,109152,150349
24,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51746,14629
25,Other Long-Term Liabilities,15409,15733,15771,13924,14606,-,14253,13443,14323,14446,14669,-,-,-,-,2839,-
26,Total Liabilities,97626,97917,97230,71885,79105,-,88373,84157,89862,87053,72246,-,-,-,-,163736,164978
27,Common Stock,73269,73269,73269,73269,73269,-,73269,73269,73269,73269,73269,-,-,-,-,58616,58616
28,Retained Earnings,73789,64550,59703,77790,72246,-,50480,64990,58236,46325,43525,-,-,-,-,46398,43114
29,Treasury Stock,-0.8,-0.8,-0.8,-0.8,-0.8,-,-0.8,-0.8,-0.8,-0.8,-0.8,-,-,-,-,-0.8,-0.8
30,Comprehensive Income & Other,7113,7113,7113,7113,7113,-,7113,7113,7113,7113,7113,-,-,-,-,7113,7113
31,Shareholders' Equity,154170,144932,140085,158172,152627,-,130861,145371,138618,126706,123906,-,-,-,-,112125,108841
32,Total Liabilities & Equity,251797,242849,237315,230057,231733,-,219234,229528,228480,213759,196153,-,-,-,-,275862,273820
33,Total Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82246,35829
34,Net Cash (Debt),33495,50847,34281,40425,78095,-,63302,55174,74187,53761,31377,-,-,-,-,-70330,-33331
35,Net Cash Growth,-57.11%,-,-45.85%,-26.73%,5.27%,-,101.75%,-,-,-,-,-,-,-,-,-,-
36,Net Cash Per Share,4571.94,6934.69,4681.73,5512.15,10670.21,-,8675.18,7516.08,10151.92,7296.72,4307.68,-,-,-,-,-11989.88,-5686.34
37,Filing Date Shares Outstanding,7.33,7.33,7.32,7.33,7.32,7.33,7.3,7.34,7.31,7.37,7.28,7.33,7.31,7.35,7.35,5.87,5.86
38,Total Common Shares Outstanding,7.33,7.33,7.32,7.33,7.32,7.33,7.3,7.34,7.31,7.37,7.28,7.33,7.31,7.35,7.35,5.87,5.86
39,Working Capital,900.1,11859,6294,45136,65970,-,39295,42674,56046,37657,25758,-,-,-,-,-44502,-86215
40,Book Value Per Share,21041.78,19766.15,19131.15,21567.46,20853.59,-,17933.72,19803.05,18968.70,17197.23,17010.73,-,-,-,-,19115.08,18568.40
41,Tangible Book Value,147352,138288,133386,151417,145818,-,126154,140661,133906,121992,119190,-,-,-,-,107537,99208
42,Tangible Book Value Per Share,20111.22,18860.06,18216.26,20646.46,19923.17,-,17288.56,19161.45,18323.88,16557.37,16363.21,-,-,-,-,18332.93,16925.01
43,Buildings,49595,-,-,-,49137,-,-,-,-,-,-,-,-,-,-,-,-
44,Machinery,476328,-,-,-,409944,-,-,-,-,-,-,-,-,-,-,-,-
45,Construction In Progress,33358,7572,7298,20098,7277,-,8551,37818,8395,7236,7723,-,-,-,-,7491,20570
