,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
9,Operating Expenses,38.58,33.04,31.66,-,19.06,25.11,28.45,42.26,32.35,25.47,29.6,42.44,23.9,31.69,35.02,459.17,48.87,43.3,54.46,168.41,Upgrade
10,Operating Income,4.12,29.66,14.15,-,24.39,10.88,-11.02,-22.16,-17.16,3.45,-14.38,-24.22,-8.66,9.55,-3.67,-541.18,-28.27,18.85,-19.64,-216.38,Upgrade
11,Interest Expense,-4.89,-4.29,-3.67,-,-1.47,-0.98,-0.95,-0.36,-0.67,-0.17,-0.12,-,-0.02,-1.25,-2.05,-2.26,-,-6.64,-4.37,-2.22,Upgrade
12,Interest & Investment Income,38.39,41.2,53.13,-,39.23,59.41,55.73,48.56,183.75,62.86,383.7,33.35,285.17,70.2,96.96,42.55,101.41,132.05,40.6,83.39,Upgrade
13,Currency Exchange Gain (Loss),-0.65,0.65,-,-,-0.74,0.74,-,33.26,-1.16,1.16,-,-8.18,0.05,-0.05,-,-25.55,-4.8,4.8,-,5.48,Upgrade
14,Other Non Operating Income (Expenses),11.42,-1.19,1.19,-,-1.62,2.27,-0.24,-64.31,5.58,-0.97,0.14,-53.64,-25.24,14.45,0.97,-149.36,-2.93,-17.59,6.39,-0.58,Upgrade
15,EBT Excluding Unusual Items,48.39,66.03,64.8,-,59.79,72.32,43.52,-4.99,170.33,66.34,369.35,-52.68,251.29,92.9,92.2,-675.8,65.4,131.47,22.98,-130.31,Upgrade
16,Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-467.23,-,-,-,-718.21,Upgrade
17,Gain (Loss) on Sale of Investments,10.08,-7.26,-2.44,-,0.98,0.16,0.16,-26.31,-20.75,-,-,-1.93,-,-,-,-23.71,-,-,-,-46.71,Upgrade
18,Gain (Loss) on Sale of Assets,0.31,-0.31,0.83,-,0.12,-0.01,-,-0.77,-,-,-0.01,0.75,0.19,-0.89,0.07,14.25,0.38,0.15,-0,0.33,Upgrade
19,Asset Writedown,-1,-,-,-,-1.77,-,-,-18.6,-,-,-,-17.9,17.5,-17.42,17.42,14.79,-27,-,-,-1.16,Upgrade
20,Other Unusual Items,15.78,-1.34,0.29,-,-0.06,0.06,-,1.19,-0.32,0.51,-,2.83,-0.1,0.1,-,-0.56,-,-,-,6.45,Upgrade
21,Pretax Income,73.56,57.11,63.48,-,59.06,72.54,43.68,-49.48,149.26,66.86,369.34,-68.93,268.88,74.7,109.69,-1138,38.78,131.62,22.98,-889.61,Upgrade
22,Income Tax Expense,11.65,10.95,7.92,-,7.72,6.55,1.62,17.78,0.31,3.51,35.72,2.26,-0.04,4.96,2.15,-3.99,-1.57,1.57,2.02,-16.49,Upgrade
23,Earnings From Continuing Operations,61.91,46.17,55.56,-,51.34,65.99,42.07,-67.26,148.95,63.35,333.62,-71.19,268.92,69.74,107.54,-1134,40.36,130.05,20.96,-873.12,Upgrade
24,Minority Interest in Earnings,8.91,7.22,7.61,-,1.11,0.73,0.93,3.1,0.07,0.28,0.03,0.02,-,-0.02,0.02,-0.01,0.02,-0.27,0.9,0.03,Upgrade
25,Net Income,70.82,53.38,63.18,-,52.45,66.72,42.99,-64.15,149.01,63.63,333.65,-71.17,268.92,69.72,107.56,-1134,40.38,129.79,21.86,-873.1,Upgrade
26,Net Income to Common,70.82,53.38,63.18,-,52.45,66.72,42.99,-64.15,149.01,63.63,333.65,-71.17,268.92,69.72,107.56,-1134,40.38,129.79,21.86,-873.1,Upgrade
27,Net Income Growth,35.04%,-19.99%,46.94%,-,-64.80%,4.85%,-87.11%,-,-44.59%,-8.74%,210.20%,-,565.99%,-46.28%,392.12%,-,-39.23%,91.70%,-73.69%,-,Upgrade
28,Shares Outstanding (Basic),3541,2669,3159,-,2622,1186,4299,2951,2993,3079,3033,2940,3652,2324,3585,2962,3535,3880,2186,3183,Upgrade
29,Shares Outstanding (Diluted),3541,2669,3159,-,2622,1186,4299,2951,2993,3079,3033,2940,3652,2324,3585,2962,3535,3880,2186,3183,Upgrade
30,Shares Change (YoY),35.04%,125.01%,-26.53%,-,-12.39%,-61.47%,41.74%,0.40%,-18.04%,32.48%,-15.40%,-0.77%,3.30%,-40.10%,64.04%,-6.93%,6.41%,18.95%,-21.08%,44.04%,Upgrade
31,EPS (Basic),0.02,0.02,0.02,-,0.02,0.06,0.01,-0.02,0.05,0.02,0.11,-0.02,0.07,0.03,0.03,-0.38,0.01,0.03,0.01,-0.27,Upgrade
32,EPS (Diluted),0.02,0.02,0.02,-,0.02,0.06,0.01,-0.02,0.05,0.02,0.11,-0.02,0.07,0.03,0.03,-0.38,0.01,0.03,0.01,-0.27,Upgrade
33,EPS Growth,0%,-64.44%,100.00%,-,-59.82%,172.14%,-90.91%,-,-32.39%,-31.11%,266.67%,-,544.73%,-10.31%,200.00%,-,-42.89%,61.16%,-66.67%,-,Upgrade
34,Free Cash Flow,-20.75,-20.5,-109.77,-,-155.34,-129.57,-145.48,-188.12,-26.25,-104.59,-9.48,-7.07,-116.86,109.1,101.24,7.14,23.44,25.95,-25.21,40.63,Upgrade
35,Free Cash Flow Per Share,-0.01,-0.01,-0.03,-,-0.06,-0.11,-0.03,-0.06,-0.01,-0.03,-0.00,-0.00,-0.03,0.05,0.03,0.00,0.01,0.01,-0.01,0.01,Upgrade
36,Gross Margin,12.31%,17.61%,22.33%,-,27.48%,23.67%,13.48%,11.67%,12.93%,18.81%,9.60%,9.46%,9.47%,23.84%,20.26%,-92.75%,14.69%,34.55%,23.66%,-33.55%,Upgrade
37,Operating Margin,1.19%,8.33%,6.90%,-,15.43%,7.15%,-8.53%,-12.86%,-14.61%,2.25%,-9.07%,-12.56%,-5.39%,5.52%,-2.37%,-612.08%,-20.17%,10.48%,-13.34%,-151.37%,Upgrade
38,Profit Margin,20.41%,14.99%,30.79%,-,33.17%,43.89%,33.26%,-37.23%,126.83%,41.39%,210.44%,-36.93%,167.19%,40.31%,69.53%,-1282.89%,28.80%,72.16%,14.85%,-610.80%,Upgrade
39,Free Cash Flow Margin,-5.98%,-5.76%,-53.51%,-,-98.23%,-85.24%,-112.56%,-109.18%,-22.34%,-68.03%,-5.98%,-3.67%,-72.65%,63.07%,65.45%,8.08%,16.72%,14.43%,-17.13%,28.42%,Upgrade
40,EBITDA,15.55,36.29,25.57,-,36.43,21.98,1.01,-10.12,-4.77,15.17,-1.93,-11.77,8.12,22.22,13.11,-524.4,-9.02,35.95,-0.39,-197.13,Upgrade
41,EBITDA Margin,4.48%,10.19%,12.46%,-,23.04%,14.46%,0.78%,-5.88%,-4.06%,9.87%,-1.22%,-6.11%,5.05%,12.84%,8.47%,-,-6.44%,19.99%,-0.27%,-137.91%,Upgrade
42,D&A For EBITDA,11.42,6.64,11.42,-,12.03,11.1,12.03,12.03,12.39,11.72,12.45,12.45,16.78,12.67,16.78,16.78,19.25,17.11,19.25,19.25,Upgrade
43,EBIT,4.12,29.66,14.15,-,24.39,10.88,-11.02,-22.16,-17.16,3.45,-14.38,-24.22,-8.66,9.55,-3.67,-541.18,-28.27,18.85,-19.64,-216.38,Upgrade
44,EBIT Margin,1.19%,8.33%,6.90%,-,15.43%,7.15%,-8.53%,-12.86%,-14.61%,2.25%,-9.07%,-12.56%,-5.39%,5.52%,-2.37%,-,-20.17%,10.48%,-13.34%,-151.37%,Upgrade
45,Effective Tax Rate,15.83%,19.17%,12.48%,-,13.08%,9.03%,3.70%,-,0.21%,5.25%,9.67%,-,-,6.64%,1.96%,-,-,1.19%,8.79%,-,Upgrade
46,Revenue as Reported,347.02,356.02,205.16,-,158.13,152.01,129.25,172.31,117.49,153.75,158.55,192.73,160.85,172.98,154.69,88.42,140.2,179.86,147.18,142.94,Upgrade
