,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
28,Retained Earnings,3490780,3625441,3463856,3532619,3366977,3472150,3279978,3431889,3249896,3527501,3326323,3606544,3255355,3107685,2622539,2600867,2532472,2378094,1975397,1794358,Upgrade
29,Treasury Stock,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-293331,-293331,-293331,-,Upgrade
30,Comprehensive Income & Other,18551,18551,18551,18551,18551,18551,18551,18551,18551,18551,18551,18551,18551,18551,18551,18551,18551,18551,18551,18551,Upgrade
31,Total Common Equity,5109622,5244282,5082698,5151460,4985818,5090992,4898820,5050731,4868738,5146343,4945165,5225386,4874197,4726526,4241381,4219548,3857821,3703443,3300746,3413039,Upgrade
32,Shareholders' Equity,5109622,5244282,5082698,5151460,4985818,5090992,4898820,5050731,4868738,5146343,4945165,5225386,4874197,4726526,4241381,4219548,3857821,3703443,3300746,3413039,Upgrade
33,Total Liabilities & Equity,6468478,6407184,6130764,6424677,6468249,6437409,6660355,6653221,6589905,7061537,6889963,7011386,6892914,6884388,6514587,6272064,6055334,5965227,5660569,5560093,Upgrade
34,Total Debt,965158,855700,745814,1003369,1104386,1069965,1383134,1313267,1434430,1543529,1456596,1520758,1625608,1684161,1710713,1721623,1732724,1792238,1827348,1849699,Upgrade
35,Net Cash (Debt),1289539,1281655,1200397,634697,346370,-21172,-146494,-330521,-332754,-510649,-480781,-178705,-520187,-468281,-848389,-1117078,-942374,-1218919,-1428657,-1471636,Upgrade
36,Net Cash Growth,272.30%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
37,Net Cash Per Share,7722.65,7589.43,7190.78,3803.63,2070.48,-124.79,-873.99,-1978.40,-1871.01,-3018.03,-2681.84,-1049.99,-2903.08,-2618.69,-4759.68,-6227.42,-5468.38,-6980.01,-8243.78,-8478.14,Upgrade
38,Filing Date Shares Outstanding,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,155.2,155.2,155.2,160,Upgrade
39,Total Common Shares Outstanding,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,155.2,155.2,155.2,160,Upgrade
40,Working Capital,4146807,4353340,4187018,4251387,4075119,4174230,3965006,4107858,3913041,4188121,3979839,4310696,3956681,3794456,3293435,3268959,2902592,2787171,2399927,2554989,Upgrade
41,Book Value Per Share,31935.14,32776.77,31766.86,32196.63,31161.37,31818.70,30617.62,31567.07,30429.61,32164.64,30907.28,32658.66,30463.73,29540.79,26508.63,26372.18,24857.09,23862.39,21267.69,21331.49,Upgrade
42,Tangible Book Value,5106811,5241216,5079361,5147853,4983814,5088262,4895365,5046551,4865595,5142806,4940994,5220582,4868759,4721115,4235387,4212972,3850664,3695685,3292378,3404143,Upgrade
43,Tangible Book Value Per Share,31917.57,32757.60,31746.01,32174.08,31148.84,31801.64,30596.03,31540.94,30409.97,32142.54,30881.21,32628.63,30429.74,29506.97,26471.17,26331.08,24810.98,23812.40,21213.78,21275.89,Upgrade
44,Buildings,314754,297482,297482,297410,297410,297410,297410,297410,297238,295182,295182,294906,294906,294906,293625,288671,287921,287921,287921,287867,Upgrade
45,Machinery,1928004,1897579,1897560,1895269,1894464,1893230,1892232,1889189,1871045,1816078,1814702,1810622,1805649,1801651,1793624,1667854,1666648,1663597,1640381,1589441,Upgrade
46,Construction In Progress,184382,123060,101541,74573,67337,55474,51511,38795,54251,93766,83560,20808,9671,9111,14322,128726,118195,76655,53607,56903,Upgrade
