,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
10,P/OCF Ratio,10.13,-,32.36,22.52,16.76,-,9.04,11.34,-,17.40,43.15,42.98,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,0.35,0.35,0.38,0.52,0.57,0.58,0.54,0.47,0.53,0.45,0.59,0.59,0.81,0.90,-,-,-,-,-,-
12,EV/EBITDA Ratio,7.17,7.45,7.71,9.19,10.00,9.46,9.23,8.80,9.57,8.30,10.66,10.35,15.15,15.28,-,-,-,-,-,-
13,EV/EBIT Ratio,7.73,7.60,7.87,9.38,10.23,9.69,9.47,9.08,9.90,8.56,11.03,10.66,15.64,15.76,-,-,-,-,-,-
14,EV/FCF Ratio,7.85,-,26.07,19.69,14.31,-,6.98,8.93,-,14.08,38.15,36.76,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.03,0.03,0.03,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.01,0.03,-,-,-,-,-
16,Debt / EBITDA Ratio,0.14,0.16,0.12,0.07,0.08,0.05,0.05,0.04,0.10,0.12,0.17,0.08,0.11,0.10,0.13,-,-,-,-,-
17,Debt / FCF Ratio,0.15,-,0.37,0.21,0.10,-,0.05,0.08,-,0.20,0.47,0.44,-,-,0.14,-,-,-,-,-
18,Asset Turnover,2.60,2.80,3.84,2.67,2.64,2.19,3.48,1.86,2.62,1.50,2.65,2.51,1.92,-,-,-,-,1.54,-,
19,Inventory Turnover,5.59,5.05,5.68,7.20,4.85,5.28,4.71,6.76,3.63,5.63,3.28,4.92,4.92,4.08,-,-,-,-,2.98,-
20,Quick Ratio,0.97,0.97,1.05,1.17,0.98,1.02,1.25,1.22,1.07,1.38,1.61,1.41,0.94,1.45,0.99,-,0.83,-,0.70,0.70
21,Current Ratio,2.25,2.25,2.26,2.48,2.43,2.38,2.34,2.42,2.57,2.73,3.09,2.79,2.53,2.74,2.25,-,2.02,-,1.78,1.78
22,Return on Equity (ROE),16.58%,13.29%,27.80%,12.51%,20.13%,20.00%,26.69%,12.52%,13.10%,8.26%,21.86%,12.49%,10.26%,16.30%,19.56%,-,-,16.79%,-,
23,Return on Assets (ROA),7.55%,6.93%,13.60%,6.13%,9.38%,9.88%,12.95%,5.41%,7.66%,4.09%,11.45%,7.10%,5.60%,-,-,-,-,6.23%,-,
24,Return on Capital (ROIC),13.07%,11.63%,22.26%,10.16%,15.74%,16.47%,20.92%,8.36%,11.25%,5.99%,17.67%,11.05%,8.95%,13.15%,20.43%,-,-,12.91%,-,
25,Return on Capital Employed (ROCE),22.44%,22.51%,24.35%,23.20%,23.73%,23.73%,22.69%,17.36%,16.85%,18.28%,17.28%,17.30%,16.21%,17.02%,24.43%,-,22.66%,-,10.01%,5.00%
26,Earnings Yield,7.21%,7.24%,7.01%,6.57%,6.10%,6.15%,6.07%,6.45%,5.81%,6.27%,4.91%,5.17%,3.47%,3.70%,-,-,-,-,-,-
27,FCF Yield,9.51%,9.55%,2.82%,4.11%,5.68%,2.73%,10.61%,8.22%,7.05%,5.16%,1.92%,2.05%,-4.21%,2.25%,-,-,-,-,-,-
28,Dividend Yield,6.03%,-,-,-,4.94%,-,-,-,4.94%,-,-,-,3.02%,-,-,-,-,-,-,-
29,Payout Ratio,81.31%,0.13%,427.71%,-,-,0.12%,201.51%,-,-,4.41%,399.64%,-,-,-,-,-,-,365.75%,-,-
30,Buyback Yield / Dilution,0.71%,0.78%,-2.07%,0.44%,3.59%,-1.87%,-0.11%,-0.10%,0.94%,-9.66%,-9.74%,-11.87%,-14.40%,-6.54%,0.96%,1.73%,-,-,-,-
31,Total Shareholder Return,6.75%,0.78%,-2.07%,0.44%,8.53%,-1.87%,-0.11%,-0.10%,5.88%,-9.66%,-9.74%,-11.87%,-11.38%,-6.54%,0.96%,1.73%,-,-,-,-
