,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
14,Gain (Loss) on Sale of Investments,-0.58,3.76,2.56,-5.74,-19.21,-13.16,1.26,14.36,22.7,9.94,-0.25,0.65,-0.32,0.06,0.25,0.25
15,Gain (Loss) on Sale of Assets,0.01,-0,-0.01,-0,0,0,-0,-,-,0,-,-,-,0,-0,-0
16,Asset Writedown,17.82,-17.82,4.57,-4.57,10.68,-10.68,3.42,-3.42,4.4,-4.37,0.09,-0.75,3.37,-3.37,-,-
17,Other Unusual Items,-0.19,-50.4,50.55,0.04,80.08,-,-,-,71.49,-38.83,-,-,79.28,-,-,-
18,Pretax Income,300.07,321.43,262.34,230.06,178.86,200.69,190.51,219.78,179.7,164.45,108.26,104.48,47.64,77.64,35.27,35.27
19,Income Tax Expense,0.35,33.37,31.83,27.91,19.04,10.86,10.27,25.91,21,7.26,13.78,13.24,-2.46,-,-,-
20,Net Income,299.72,288.05,230.51,202.15,159.82,189.83,180.23,193.87,158.7,157.19,94.47,91.24,50.1,77.64,35.27,35.27
21,Net Income to Common,299.72,288.05,230.51,202.15,159.82,189.83,180.23,193.87,158.7,157.19,94.47,91.24,50.1,77.64,35.27,35.27
22,Net Income Growth,87.54%,51.74%,27.89%,4.27%,0.70%,20.77%,90.77%,112.49%,216.78%,102.47%,167.85%,158.67%,-,-,-,-
23,Shares Outstanding (Basic),236,237,237,237,238,236,238,237,140,335,295,178,177,178,178,178
24,Shares Outstanding (Diluted),236,237,237,237,238,236,238,237,140,335,295,178,177,178,178,178
25,Shares Change (YoY),-0.91%,0.32%,-0.33%,0.17%,70.32%,-29.37%,-19.55%,33.26%,-20.84%,88.55%,65.97%,-0.16%,-,-,-,-
26,EPS (Basic),1.27,1.21,0.97,0.85,0.67,0.80,0.76,0.82,1.14,0.47,0.32,0.51,0.28,0.44,0.20,0.20
27,EPS (Diluted),1.27,1.21,0.97,0.85,0.67,0.80,0.76,0.82,1.14,0.47,0.32,0.51,0.28,0.44,0.20,0.20
28,EPS Growth,89.26%,51.26%,28.32%,4.09%,-40.88%,70.98%,137.13%,59.45%,300.20%,7.38%,61.39%,159.08%,-,-,-,-
29,Free Cash Flow,-,404.72,116.06,103.47,131.1,38.36,98.1,45.83,146.55,5.1,-148.22,-153.19,32.29,65.03,59.08,59.08
30,Free Cash Flow Per Share,-,1.71,0.49,0.44,0.55,0.16,0.41,0.19,1.05,0.02,-0.50,-0.86,0.18,0.37,0.33,0.33
31,Dividend Per Share,-,-,-,-,0.369,-,-,-,0.225,-,-,-,-,-,-,-
32,Dividend Growth,-,-,-,-,63.90%,-,-,-,-,-,-,-,-,-,-,-
33,Gross Margin,238.04%,46.34%,43.46%,47.92%,41.35%,47.73%,45.01%,46.66%,46.71%,48.25%,46.74%,47.33%,45.14%,45.67%,41.45%,41.45%
34,Operating Margin,33.83%,39.59%,23.08%,32.58%,11.44%,32.67%,27.25%,31.94%,13.15%,44.42%,28.38%,28.86%,-14.56%,31.61%,22.24%,22.24%
35,Profit Margin,31.15%,30.16%,28.24%,29.72%,23.93%,31.33%,29.15%,31.46%,30.79%,37.77%,25.62%,26.19%,19.19%,31.02%,24.03%,24.03%
36,Free Cash Flow Margin,-,42.38%,14.22%,15.21%,19.63%,6.33%,15.87%,7.44%,28.43%,1.22%,-40.19%,-43.97%,12.37%,25.99%,40.24%,40.24%
37,EBITDA,342.53,395.11,208.58,238.6,93.4,210.84,184.78,209.72,80.66,191.94,116.2,107.61,-30.94,84.5,38.07,38.07
38,EBITDA Margin,35.60%,41.37%,25.55%,35.08%,13.99%,34.80%,29.89%,34.04%,15.65%,46.12%,31.51%,30.89%,-11.85%,33.77%,25.93%,25.93%
39,D&A For EBITDA,17,17,20.2,17,17,12.9,16.31,12.9,12.9,7.08,11.54,7.08,7.08,5.41,5.41,5.41
40,EBIT,325.53,378.11,188.38,221.6,76.4,197.94,168.47,196.82,67.77,184.86,104.66,100.53,-38.01,79.09,32.66,32.66
41,EBIT Margin,33.83%,39.59%,23.08%,32.58%,11.44%,32.67%,27.25%,31.94%,13.15%,44.42%,28.38%,28.86%,-14.56%,31.61%,22.24%,22.24%
42,Effective Tax Rate,0.12%,10.38%,12.13%,12.13%,10.65%,5.41%,5.39%,11.79%,11.68%,4.42%,12.73%,12.68%,-,-,-,-
43,Revenue as Reported,-,955.02,816.27,680.25,667.72,605.85,618.26,616.16,515.44,416.2,-,348.38,261.03,250.24,146.81,146.81
