,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
12,EV/EBIT Ratio,28.97,20.82,-,21.13,-,19.47,22.12,27.07,35.58,35.55,-,14.39,16.20,14.67,-,-,-,-,-,-
13,EV/FCF Ratio,-22.21,-,-10.66,-,-15.45,-,-,-,-4.72,-,-,-,-36.17,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.10,0.10,0.08,0.07,0.06,0.05,0.04,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,-,-,-,-,-
15,Debt / EBITDA Ratio,1.22,0.62,13.69,0.41,1.99,0.35,0.95,0.06,0.14,0.14,-,0.14,0.21,0.09,0.17,-,-,-,-,-
16,Debt / FCF Ratio,-,-,-0.67,-,-0.51,-,-,-,-0.05,-,-,-,-0.37,-,0.46,-,-,-,-,-
17,Asset Turnover,0.88,0.77,0.92,1.27,0.84,0.82,0.90,1.24,0.88,0.63,0.81,1.23,1.02,1.21,1.43,-,-,-,-,
18,Inventory Turnover,2.23,1.81,2.07,2.26,3.21,1.86,2.47,3.12,3.93,2.11,1.83,2.38,3.63,1.94,2.25,2.67,-,-,-,-
19,Quick Ratio,0.76,0.76,0.91,1.12,0.94,1.10,1.33,2.08,2.43,2.27,2.60,5.06,3.42,4.03,1.19,1.78,1.47,-,-,-
20,Current Ratio,2.33,2.33,2.35,2.65,2.05,2.79,2.67,3.42,3.54,4.43,4.75,7.22,4.82,6.21,3.01,3.65,2.67,-,-,-
21,Return on Equity (ROE),2.81%,-0.62%,20.15%,3.26%,5.33%,9.36%,9.78%,-5.93%,-0.61%,-5.87%,7.48%,9.40%,7.98%,13.98%,23.19%,-,-,-,-,
22,Return on Assets (ROA),6.43%,-1.22%,6.66%,-0.83%,5.88%,0.47%,7.83%,1.83%,4.18%,-4.31%,5.04%,1.81%,8.61%,6.02%,14.86%,-,-,-,-,
23,Return on Capital (ROIC),8.27%,-1.56%,8.91%,-1.11%,7.53%,0.59%,9.57%,2.18%,4.87%,-4.97%,5.96%,2.17%,10.59%,7.94%,20.17%,-,-,-,-,
24,Return on Capital Employed (ROCE),5.50%,5.65%,-,6.01%,-,7.60%,6.67%,4.53%,3.21%,3.19%,-,7.73%,9.04%,12.26%,25.40%,29.37%,28.43%,-,-,-
25,Earnings Yield,3.61%,4.54%,5.04%,6.12%,3.70%,2.51%,1.70%,-0.41%,-0.84%,1.75%,2.66%,4.35%,3.98%,5.06%,-,-,-,-,-,-
26,FCF Yield,-4.47%,-5.63%,-8.65%,-9.30%,-5.96%,-3.83%,-0.56%,-12.56%,-17.21%,-15.09%,-15.77%,-3.75%,-2.03%,-2.00%,-,-,-,-,-,-
27,Dividend Yield,0.56%,-,-,-,0.56%,-,-,-,3.05%,-,-,-,-,1.98%,-,-,-,-,-,-
28,Payout Ratio,13.13%,98.10%,-,0.80%,6.86%,-,179.15%,-,-,-,-,16.12%,158.97%,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,4.18%,4.27%,-1.40%,0.74%,3.87%,81.24%,-3.95%,-1.58%,-2.58%,-509.17%,-26.14%,-33.34%,-36.98%,-20.05%,1.91%,0.18%,-,-,-,-
30,Total Shareholder Return,4.74%,4.27%,-1.40%,0.74%,4.43%,81.24%,-3.95%,-1.58%,0.47%,-509.17%,-26.14%,-33.34%,-36.98%,-18.06%,1.91%,0.18%,-,-,-,-
