,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.07,Upgrade
10,Other Current Assets,178.25,71.51,149.9,-,-,4.18,33.36,7.33,59.96,-,42.4,25.53,23.57,20.84,47.18,8.6,14.17,9.71,17.11,15.16,Upgrade
11,Total Current Assets,836.66,771.18,1050,-,-,373.91,384.19,419.12,444.98,-,398.02,524.85,503.44,526.67,570.81,643.37,705.69,711.68,683.33,713.27,Upgrade
12,"Property, Plant & Equipment",1699,1649,1612,-,-,839,686.43,584.74,510.06,-,442.77,441.81,365.77,335.58,266.07,216.75,154.34,153.92,156.14,160.96,Upgrade
13,Long-Term Investments,101.49,101.42,98.17,-,-,58.11,55.96,54.54,54.72,-,51.86,51.86,50.67,50.68,48.74,48.74,47.72,48.27,37.41,45.53,Upgrade
14,Goodwill,0.23,0.23,0.23,-,-,0.23,0.23,0.23,0.23,-,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,Upgrade
15,Other Intangible Assets,266.41,268.56,241,-,-,249.26,251.57,202.09,184.85,-,78.93,80.07,54.71,55.08,55.45,55.83,56.12,56.57,56.86,27.71,Upgrade
16,Long-Term Deferred Tax Assets,27.8,24.34,18.83,-,-,13.56,11.31,9.5,1.19,-,0.32,0.28,0.33,0.33,0.6,0.6,1.68,1.72,1.61,1.55,Upgrade
17,Long-Term Deferred Charges,5.96,6.35,6.59,-,-,7.62,7.99,8.37,9.32,-,8.75,9.29,1.53,1.73,1.94,3.46,1.95,2.24,2.58,0.79,Upgrade
18,Other Long-Term Assets,25.54,31.32,70.97,-,-,184.51,140.89,108.15,80.23,-,161.41,78.85,73.42,22.91,32.09,30.41,28.76,4.85,4.78,7.72,Upgrade
19,Total Assets,2963,2852,3097,-,-,1726,1539,1387,1286,-,1142,1187,1050,993.22,975.92,999.38,996.49,979.46,942.94,957.76,Upgrade
20,Accounts Payable,197.82,187.46,234.57,-,-,80.71,95.03,46.92,65.53,-,66.01,81.5,72.88,50.28,46.08,39.71,19.85,27.32,26.93,27.65,Upgrade
21,Accrued Expenses,25.55,56.27,19.71,-,-,31.27,14.09,55.51,8.91,-,5.13,54.55,5.08,5.29,6.44,25.37,7.88,12.94,11.98,29.92,Upgrade
22,Short-Term Debt,64.86,70.02,56.02,-,-,9.5,9.5,6.5,9.5,-,10,10,10,11.05,10,8,6.36,14.2,5.86,6.8,Upgrade
23,Current Portion of Long-Term Debt,18.12,14.51,21.6,-,-,1,2.12,1,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
24,Current Portion of Leases,-,1.6,-,-,-,1.15,-,0.94,1.1,-,0.97,0.97,-,-,-,-,-,-,-,-,Upgrade
25,Current Income Taxes Payable,59.34,8.01,54.71,-,-,13.63,28.82,11.68,15.15,-,12.55,10.09,9.81,3.84,6.85,7.16,11.09,2.85,10.04,12.69,Upgrade
26,Current Unearned Revenue,74.34,63.48,72.22,-,-,37.7,43.43,38.82,43.67,-,32.01,34.81,30.35,20.52,16.29,26.25,32.67,24.76,20.18,17.36,Upgrade
27,Other Current Liabilities,77.35,106.23,81.1,-,-,80.36,60.81,84.39,84.89,-,23.21,32.19,13.14,13.78,18.26,16.55,63.12,58.23,25.47,22.1,Upgrade
28,Total Current Liabilities,517.37,507.58,539.94,-,-,255.33,253.78,245.75,228.75,-,149.89,224.11,141.26,104.76,103.91,123.03,140.97,140.3,100.46,116.51,Upgrade
29,Long-Term Debt,143.42,80.63,300.71,-,-,284.15,149,49,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
30,Long-Term Leases,3.01,3.14,4.13,-,-,5.1,4,2.03,2.01,-,3.25,3.25,-,-,-,-,-,-,-,-,Upgrade
31,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.23,0.23,0.23,0.23,Upgrade
32,Long-Term Deferred Tax Liabilities,13.77,13.68,13.55,-,-,11.25,10.71,10.36,10.4,-,10.29,10.29,10,9.84,9.11,8.93,8.95,9.12,6.15,6.25,Upgrade
33,Other Long-Term Liabilities,1.21,1.21,1.14,-,-,2.62,0.37,0.37,-,-,-,-,-,-,-,-,-,-,24.45,-,Upgrade
34,Total Liabilities,678.78,606.24,859.46,-,-,558.45,417.87,307.51,241.16,-,163.43,237.64,151.26,114.6,113.02,131.95,150.14,149.65,131.29,122.99,Upgrade
35,Common Stock,369.7,369.7,369.7,-,-,308.08,306.33,306.33,306.33,-,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15,284.91,284.91,Upgrade
36,Additional Paid-In Capital,1077,1071,1065,-,-,144.74,122.86,117.51,111.18,-,68.32,68.46,70.36,70.36,70.36,70.36,70.36,70.36,70.36,70.36,Upgrade
37,Retained Earnings,701.69,682.27,687.79,-,-,616.46,581.58,565.08,539.02,-,500.58,488.78,455.73,437,422.27,427.98,406.11,388.8,395.49,422.21,Upgrade
38,Treasury Stock,-50.28,-64.38,-64.38,-,-,-64.38,-47,-47,-47,-,-,-,-,-,-,-,-,-,-,-,Upgrade
39,Comprehensive Income & Other,66.48,64.09,62.57,-,-,56.42,52.81,47.83,48.45,-,46.61,44.76,45.27,47.75,49.98,47.78,47.68,47.57,37.64,35.31,Upgrade
40,Total Common Equity,2165,2123,2121,-,-,1061,1017,989.76,957.98,-,914.66,901.15,870.52,854.26,841.76,845.27,823.3,805.88,788.39,812.78,Upgrade
41,Minority Interest,119.25,122.95,117.22,-,-,106.42,104.13,89.47,86.44,-,64.21,48.44,28.31,24.36,21.14,22.15,23.05,23.92,23.26,21.98,Upgrade
42,Shareholders' Equity,2284,2246,2238,-,-,1168,1121,1079,1044,-,978.87,949.59,898.83,878.62,862.9,867.42,846.35,829.81,811.65,834.77,Upgrade
43,Total Liabilities & Equity,2963,2852,3097,-,-,1726,1539,1387,1286,-,1142,1187,1050,993.22,975.92,999.38,996.49,979.46,942.94,957.76,Upgrade
44,Total Debt,229.41,169.9,382.45,-,-,300.9,164.61,59.46,12.62,-,14.22,14.22,10,11.05,10,8,6.36,14.2,5.86,6.8,Upgrade
45,Net Cash (Debt),156.61,209.55,233.52,-,-,-152.93,15.96,179.77,258.74,-,206.3,374.42,321.53,394.88,434.11,540.98,598.07,579.13,559.58,568.8,Upgrade
46,Net Cash Growth,-,-,1363.12%,-,-,-,-92.26%,-51.99%,-19.53%,-,-52.48%,-30.79%,-46.24%,-31.82%,-22.42%,-4.89%,-2.25%,4.66%,1.81%,0.05%,Upgrade
47,Net Cash Per Share,0.43,0.50,0.77,-,-,-0.50,0.05,0.60,0.86,-,0.68,1.24,1.09,1.32,1.44,1.72,2.17,1.92,1.86,1.92,Upgrade
48,Filing Date Shares Outstanding,369.7,369.7,369.7,-,300.09,308.08,306.33,306.33,306.33,293.17,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15,Upgrade
49,Total Common Shares Outstanding,369.7,369.7,369.7,-,300.09,308.08,306.33,306.33,306.33,293.17,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15,Upgrade
50,Working Capital,319.29,263.6,509.95,-,-,118.58,130.41,173.37,216.23,-,248.13,300.74,362.18,421.91,466.9,520.35,564.73,571.37,582.87,596.76,Upgrade
51,Book Value Per Share,5.86,5.74,5.74,-,-,3.44,3.32,3.23,3.13,-,3.06,3.01,2.91,2.86,2.81,2.83,2.75,2.69,2.64,2.72,Upgrade
52,Tangible Book Value,1898,1854,1879,-,-,811.84,764.78,787.44,772.9,-,835.5,820.85,815.58,798.95,786.08,789.22,766.96,749.09,731.31,784.85,Upgrade
53,Tangible Book Value Per Share,5.14,5.02,5.08,-,-,2.64,2.50,2.57,2.52,-,2.79,2.74,2.73,2.67,2.63,2.64,2.56,2.50,2.44,2.62,Upgrade
54,Buildings,-,413.53,-,-,-,280.82,-,280.38,-,-,-,-,-,128.64,-,133.26,-,135.68,-,135.65,Upgrade
55,Machinery,-,549.79,-,-,-,521.1,-,510.49,-,-,-,-,-,325.27,-,323.56,-,350.84,-,349.34,Upgrade
56,Construction In Progress,-,1120,-,-,-,414.8,-,149.36,-,-,-,-,-,200.87,-,82.67,-,11.35,-,8.96,Upgrade
