,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
11,Interest Expense,-0.56,-1.75,-0.89,-,-2.2,-1.18,-0.82,-0.21,-1.86,-0.22,-0.12,-0.16,-0.22,-0.29,-0.12,-0.16,-0.18,-0.16,-0.14,-0.26,Upgrade
12,Interest & Investment Income,1.39,1.17,0.84,-,1.65,0.7,0.65,2.69,0.34,1.06,3.88,1.56,3.1,1.9,1.46,9.2,4.25,1.03,1.57,12.73,Upgrade
13,Earnings From Equity Investments,0.46,-0.28,-0.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Currency Exchange Gain (Loss),-0.39,0.39,-,-,0.1,-0.1,-,1.87,-0.8,0.8,-,-0.17,0.07,-0.07,-,-0.02,-0.03,0.03,-,0.08,Upgrade
15,Other Non Operating Income (Expenses),-0.75,-0.65,-0.12,-,-0.39,0.1,-0.31,-1.58,3.09,-0.23,0.18,-1.29,1.01,0.11,-0.27,26.72,-26.75,24.42,-24.38,0.04,Upgrade
16,EBT Excluding Unusual Items,15.53,35.14,25.06,-,28.15,43.53,22.28,35.42,23.94,27.37,19.46,42.95,27.34,23.6,-6.63,47.79,-4.13,40.2,-24.52,22.1,Upgrade
17,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-2.39,-0.06,0.67,0.99,0.72,-1.1,-0.15,0.95,-0.11,0.48,Upgrade
18,Gain (Loss) on Sale of Assets,5.86,-,-,-,-,0.06,-,0.01,-,0.03,-0.02,0.04,-,-0.2,0,6.78,-0.02,0.02,-,0.13,Upgrade
19,Asset Writedown,-0.29,0.12,-0.08,-,-1.93,1.54,-1.54,-1.45,0.24,-0.3,0.3,-2.11,0.14,-0.14,0.12,-0.47,-0.1,0.34,-0.34,-5.32,Upgrade
20,Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,1.11,-0.57,0.57,-,-25.11,24.45,-24.45,-,-,Upgrade
21,Other Unusual Items,0.31,-0.08,5.69,-,-,-,-,0.35,0,-0,-,-0,0.01,-0.24,-,-0.39,-,-,-,2.46,Upgrade
22,Pretax Income,21.42,35.19,30.66,-,26.22,45.12,20.75,34.33,24.18,27.09,17.35,41.92,27.58,24.59,-5.79,27.51,20.05,17.07,-24.97,19.85,Upgrade
23,Income Tax Expense,5.85,3.35,13.54,-,7.58,11.9,4.27,3.74,1.27,3.83,2.86,5.75,4.85,3.57,1.52,6.26,3.45,1.62,1.02,8.81,Upgrade
24,Earnings From Continuing Operations,15.57,31.84,17.12,-,18.63,33.22,16.48,30.59,22.91,23.26,14.48,36.17,22.73,21.02,-7.31,21.25,16.6,15.45,-25.99,11.04,Upgrade
25,Minority Interest in Earnings,3.85,-0.39,4.48,-,3.58,1.67,0.01,-0.86,-3.05,-4.68,-2.69,-3.12,-3.99,-3.3,1.59,0.62,0.71,-0.77,-0.73,1.04,Upgrade
26,Net Income,19.42,31.45,21.6,-,22.22,34.88,16.49,29.73,19.86,18.58,11.8,33.05,18.74,17.72,-5.71,21.87,17.31,14.68,-26.72,12.08,Upgrade
27,Net Income to Common,19.42,31.45,21.6,-,22.22,34.88,16.49,29.73,19.86,18.58,11.8,33.05,18.74,17.72,-5.71,21.87,17.31,14.68,-26.72,12.08,Upgrade
28,Net Income Growth,-12.58%,-9.84%,30.97%,-,11.86%,87.73%,39.80%,-10.04%,6.01%,4.84%,-,51.08%,8.25%,20.75%,-,81.10%,-19.90%,-26.10%,-,16.43%,Upgrade
29,Shares Outstanding (Basic),360,422,300,-,300,298,300,301,301,293,302,303,295,300,301,315,276,302,300,296,Upgrade
30,Shares Outstanding (Diluted),366,422,304,-,300,305,300,301,301,293,302,303,295,300,301,315,276,302,300,296,Upgrade
31,Shares Change (YoY),21.78%,38.72%,1.45%,-,-0.35%,3.88%,-0.87%,-0.52%,2.19%,-2.17%,0.57%,-4.02%,6.96%,-0.70%,0.19%,6.66%,-8.09%,-0.45%,1.80%,0.16%,Upgrade
32,EPS (Basic),0.05,0.07,0.07,-,0.07,0.12,0.06,0.10,0.07,0.06,0.04,0.11,0.06,0.06,-0.02,0.07,0.06,0.05,-0.09,0.04,Upgrade
33,EPS (Diluted),0.05,0.07,0.07,-,0.07,0.11,0.06,0.10,0.07,0.06,0.04,0.11,0.06,0.06,-0.02,0.07,0.06,0.05,-0.09,0.04,Upgrade
34,EPS Growth,-28.21%,-35.01%,29.09%,-,12.26%,80.71%,41.03%,-9.56%,3.74%,7.17%,-,57.41%,1.21%,21.61%,-,69.80%,-12.85%,-25.77%,-,16.24%,Upgrade
35,Free Cash Flow,-51.69,-7.81,-249.21,-,-167.08,-162.74,-176.22,-80.43,-18.65,7.79,-182.58,-62.03,-75.43,-70.59,-95.15,-55.41,9.61,30.35,-30.57,-32.71,Upgrade
36,Free Cash Flow Per Share,-0.14,-0.02,-0.82,-,-0.56,-0.53,-0.59,-0.27,-0.06,0.03,-0.60,-0.21,-0.26,-0.24,-0.32,-0.18,0.03,0.10,-0.10,-0.11,Upgrade
37,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.010,-,-,-,0.024,Upgrade
38,Dividend Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-57.98%,-,-,-,31.49%,Upgrade
39,Gross Margin,17.65%,16.33%,18.86%,-,23.91%,14.01%,9.29%,11.91%,8.60%,8.77%,5.84%,15.31%,8.27%,11.45%,6.22%,9.01%,10.61%,10.41%,7.67%,10.21%,Upgrade
40,Operating Margin,1.50%,3.42%,3.06%,-,3.44%,6.70%,3.03%,3.81%,2.88%,3.34%,1.98%,6.44%,3.84%,5.92%,-2.53%,2.83%,4.64%,4.31%,-0.55%,1.98%,Upgrade
41,Profit Margin,1.89%,2.97%,2.60%,-,2.63%,5.31%,2.19%,3.47%,2.47%,2.39%,1.51%,4.95%,3.08%,4.78%,-1.88%,5.13%,4.32%,4.25%,-9.42%,2.51%,Upgrade
42,Free Cash Flow Margin,-5.03%,-0.74%,-29.97%,-,-19.81%,-24.76%,-23.44%,-9.38%,-2.32%,1.00%,-23.30%,-9.28%,-12.38%,-19.04%,-31.30%,-12.99%,2.40%,8.79%,-10.78%,-6.80%,Upgrade
43,EBITDA,28.94,55.86,38.97,-,41.33,59.14,35.11,44.97,29.71,37.56,22.06,49.55,29.2,27.01,-1.88,17.87,24.24,20.66,4.1,15.16,Upgrade
44,EBITDA Margin,2.82%,5.27%,4.69%,-,4.90%,9.00%,4.67%,5.24%,3.70%,4.83%,2.82%,7.41%,4.79%,7.28%,-0.62%,4.19%,6.05%,5.99%,1.45%,3.15%,Upgrade
45,D&A For EBITDA,13.56,19.61,13.56,-,12.34,15.12,12.34,12.33,6.54,11.6,6.54,6.54,5.81,5.06,5.81,5.81,5.66,5.77,5.66,5.66,Upgrade
46,EBIT,15.39,36.26,25.41,-,28.99,44.02,22.77,32.65,23.16,25.96,15.52,43.01,23.39,21.95,-7.7,12.05,18.58,14.89,-1.56,9.51,Upgrade
47,EBIT Margin,1.50%,3.42%,3.06%,-,3.44%,6.70%,3.03%,3.81%,2.88%,3.34%,1.98%,6.44%,3.84%,5.92%,-2.53%,2.83%,4.64%,4.31%,-0.55%,1.98%,Upgrade
48,Effective Tax Rate,27.30%,9.53%,44.17%,-,28.92%,26.38%,20.57%,10.89%,5.25%,14.14%,16.50%,13.71%,17.59%,14.50%,-,22.74%,17.19%,9.49%,-,44.38%,Upgrade
49,Revenue as Reported,1027,1060,831.49,-,843.47,657.19,751.84,857.5,-,777.65,783.48,668.32,609.26,370.83,303.97,426.49,400.65,345.19,283.5,480.71,Upgrade
