,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
15,Debt / EBITDA Ratio,1.42,1.98,0.75,2.45,-,-,1.26,1.17,0.32,0.11,-,0.16,0.07,0.09,0.10,-,0.11,0.07,0.17,0.36,0.11,Upgrade
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.27,0.71,-,-,Upgrade
17,Asset Turnover,1.41,1.43,-,-,-,1.61,2.06,-,2.60,-,2.69,2.39,2.39,1.51,1.23,1.71,1.62,1.44,1.19,1.99,Upgrade,
18,Inventory Turnover,-,25.92,25.73,-,-,-,30.32,42.78,-,38.64,-,34.61,29.65,30.71,22.53,22.86,33.72,30.25,23.18,19.50,35.07,Upgrade
19,Quick Ratio,1.00,1.00,1.14,1.38,-,-,1.09,1.14,1.40,1.36,-,1.70,1.91,2.81,4.23,4.52,4.79,4.58,4.66,6.05,5.57,Upgrade
20,Current Ratio,1.62,1.62,1.52,1.94,-,-,1.46,1.51,1.71,1.95,-,2.66,2.34,3.56,5.03,5.49,5.23,5.01,5.07,6.80,6.12,Upgrade
21,Return on Equity (ROE),2.75%,5.68%,-,-,-,11.61%,5.99%,-,8.88%,-,6.01%,15.65%,10.23%,9.66%,-3.38%,9.92%,7.92%,7.53%,-12.63%,5.32%,Upgrade,
22,Return on Assets (ROA),1.32%,3.05%,-,-,-,6.74%,3.89%,-,4.69%,-,3.33%,9.61%,5.72%,5.57%,-1.95%,3.02%,4.70%,3.87%,-0.41%,2.46%,Upgrade,
23,Return on Capital (ROIC),1.56%,3.60%,-,-,-,7.99%,4.70%,-,5.54%,-,3.96%,11.48%,6.50%,6.23%,-2.20%,3.49%,5.48%,4.48%,-0.47%,2.84%,Upgrade,
24,Return on Capital Employed (ROCE),4.16%,3.15%,3.87%,3.85%,-,-,8.33%,8.14%,8.53%,10.19%,-,10.47%,8.37%,5.47%,5.05%,-,5.02%,4.84%,5.96%,-,8.51%,Upgrade
25,Earnings Yield,1.62%,1.08%,1.14%,1.44%,-,1.75%,1.68%,1.39%,1.17%,1.60%,1.89%,2.25%,1.16%,2.44%,2.76%,2.54%,1.34%,0.81%,0.94%,1.17%,2.61%,Upgrade
26,FCF Yield,-7.37%,-4.61%,-6.42%,-10.63%,-,-9.95%,-7.30%,-4.41%,-4.01%,-4.92%,-7.20%,-10.79%,-5.50%,-13.77%,-11.42%,-5.83%,-2.27%,-1.09%,0.86%,-1.30%,0.66%,Upgrade
27,Dividend Yield,0.59%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.15%,-,-,-,0.31%,Upgrade
28,Payout Ratio,35.83%,7.39%,99.89%,4.76%,-,6.76%,3.45%,4.55%,0.40%,0.51%,0.56%,0.85%,2.37%,2.94%,10.98%,-,12.49%,2.67%,30.18%,-,11.80%,Upgrade
29,Buyback Yield / Dilution,-15.64%,-21.78%,-38.72%,-1.45%,-,0.35%,-3.88%,0.87%,0.52%,-2.19%,2.17%,-0.57%,4.02%,-6.96%,0.70%,-0.19%,-6.66%,8.09%,0.45%,-1.80%,-0.16%,Upgrade
30,Total Shareholder Return,-15.06%,-21.78%,-38.72%,-1.45%,-,0.35%,-3.88%,0.87%,0.52%,-2.19%,2.17%,-0.57%,4.02%,-6.96%,0.70%,-0.19%,-6.51%,8.09%,0.45%,-1.80%,0.15%,Upgrade
