,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,P/FCF Ratio,-,-7.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-1049.26,-,-,-14.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.68,1.65,1.51,1.52,1.74,1.76,1.96,2.35,2.57,3.02,3.45,6.53,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,22.13,24.36,20.00,-,20.97,23.28,25.88,-,27.88,29.94,31.33,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,29.16,28.14,22.49,-,22.40,24.68,27.46,-,29.39,31.41,32.97,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-9.39,-9.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.34,0.34,0.36,0.34,0.24,0.23,0.13,0.07,0.01,0.01,0.01,0.01,0.23,0.30,0.29,0.09,0.09,0.09,0.39,0.39
16,Debt / EBITDA Ratio,5.26,3.62,5.76,-,1.45,2.02,1.19,-,0.07,0.08,0.13,-,0.55,1.22,1.35,-,0.22,0.61,4.79,4.79
17,Debt / FCF Ratio,-,-2.23,-,-,-,-,-,-,-,-,-,-,3.55,1.97,-,-,0.26,-2.03,-,-
18,Asset Turnover,0.68,0.45,0.32,0.64,0.67,0.74,0.41,0.73,0.73,0.54,0.34,1.28,0.81,-,-,-,1.09,0.62,-,
19,Inventory Turnover,2.70,3.54,2.27,2.31,3.54,3.66,3.62,2.38,3.73,4.38,3.57,2.18,5.62,2.78,-,-,-,4.62,2.42,-
20,Quick Ratio,1.54,1.54,1.54,1.62,1.61,1.64,2.00,2.68,2.67,3.30,3.58,4.86,1.59,1.60,1.90,-,1.90,1.90,1.51,1.51
21,Current Ratio,1.97,1.97,1.97,1.96,1.95,1.99,2.47,3.23,3.09,3.82,4.05,5.45,1.85,2.01,2.38,-,2.27,2.27,1.98,1.98
22,Return on Equity (ROE),6.88%,4.91%,-7.37%,10.84%,8.58%,9.76%,-4.19%,11.37%,10.09%,6.56%,-3.23%,34.70%,18.32%,14.62%,-8.60%,42.42%,17.22%,4.46%,-,
23,Return on Assets (ROA),3.17%,1.71%,-2.56%,5.31%,4.37%,3.88%,-2.28%,5.26%,5.07%,2.65%,-1.08%,11.78%,8.41%,-,-,-,5.26%,2.29%,-,
24,Return on Capital (ROIC),4.11%,2.11%,-3.25%,7.03%,5.84%,5.18%,-3.12%,7.23%,6.68%,3.34%,-1.48%,18.76%,11.74%,9.54%,-4.50%,22.50%,7.70%,3.15%,-,
25,Return on Capital Employed (ROCE),4.46%,4.54%,5.22%,-,6.88%,6.29%,6.22%,-,6.19%,6.81%,6.38%,-,15.97%,17.43%,15.74%,-,16.96%,6.64%,3.38%,1.69%
26,Earnings Yield,3.08%,3.22%,3.99%,3.95%,3.97%,3.66%,3.25%,2.49%,2.71%,2.48%,2.19%,1.42%,-,-,-,-,-,-,-,-
27,FCF Yield,-12.68%,-13.26%,-29.50%,-31.29%,-27.15%,-28.15%,-20.53%,-12.44%,-12.36%,-4.06%,-0.73%,-0.57%,-,-,-,-,-,-,-,-
28,Dividend Yield,0.49%,-,-,-,0.39%,-,-,-,0.37%,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,43.08%,15.06%,69.36%,-,11.90%,6.87%,35.02%,-,1.13%,0.39%,39.45%,-,3.32%,6.86%,9.11%,-,3.18%,9.30%,26.17%,26.17%
30,Buyback Yield / Dilution,1.97%,8.65%,-3.91%,1.18%,2.06%,-5.13%,7.82%,-13.43%,-32.30%,-25.50%,-44.85%,-21.58%,30.62%,0.61%,1.27%,0.94%,-,-,-,-
31,Total Shareholder Return,2.46%,8.65%,-3.91%,1.18%,2.45%,-5.13%,7.82%,-13.43%,-31.94%,-25.50%,-44.85%,-21.58%,30.62%,0.61%,1.27%,0.94%,-,-,-,-
