,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
35,Operating Margin,-20.00%,-30.30%,-27.62%,-21.56%,-0.29%,-13.46%,2.06%,-6.81%,4.83%,21.45%,-4.65%,-10.28%
36,Profit Margin,-29.73%,-17.25%,-2.78%,-14.01%,15.17%,-4.45%,12.87%,-5.64%,14.46%,20.79%,9.22%,-15.46%
37,Free Cash Flow Margin,-,-72.14%,10.74%,-30.55%,15.81%,-45.39%,-81.97%,-45.81%,22.50%,24.34%,-22.95%,-36.64%
38,EBITDA,-22.7,-27.94,-26.48,-19.85,0.1,-14.49,3.49,-4.81,8.27,32.61,-3.08,-5.23
39,EBITDA Margin,-19.51%,-29.69%,-26.73%,-20.96%,0.07%,-12.88%,2.89%,-6.01%,5.24%,21.76%,-3.95%,-9.43%
40,D&A For EBITDA,0.57,0.57,0.88,0.57,0.57,0.65,1.01,0.65,0.65,0.47,0.55,0.47
41,EBIT,-23.27,-28.51,-27.36,-20.42,-0.46,-15.13,2.48,-5.45,7.63,32.14,-3.62,-5.7
42,EBIT Margin,-20.00%,-30.30%,-27.62%,-21.56%,-0.29%,-13.46%,2.06%,-6.81%,4.83%,21.45%,-4.65%,-10.28%
43,Effective Tax Rate,-,-,-,-,-,-,-,-,-,14.98%,-,-
44,Revenue as Reported,-,94.09,99.06,94.67,-,112.47,120.59,80.05,-,-,-,-
