,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
20,Current Portion of Leases,2.19,2.27,2.29,2.31,1.83,1.81,-,1.53,-,-,-,1.21,1.21,1.15,1.15
21,Current Income Taxes Payable,1.52,0.18,0.1,5.71,1.88,2.95,-,11.07,-,-,-,5.67,5.67,1.95,1.95
22,Current Unearned Revenue,9.54,8.19,6.68,2.1,1.65,2.73,-,1.54,-,-,-,4.45,4.45,3.76,3.76
23,Other Current Liabilities,0.51,0.58,0.52,0.27,0.07,0.27,-,0.36,-,-,-,0.37,0.37,0.37,0.37
24,Total Current Liabilities,33.25,31.05,27.45,45.09,42.23,28.19,-,48.54,-,-,-,31.2,31.2,21.39,21.39
25,Long-Term Leases,1.53,2.04,2.52,3.12,3.1,3.57,-,4.16,-,-,-,5.33,5.33,5.95,5.95
26,Long-Term Unearned Revenue,2.25,1.05,-,0.53,2.28,0.26,-,0.63,-,-,-,1.36,1.36,1.69,1.69
27,Total Liabilities,37.03,34.14,29.97,48.74,47.61,32.02,-,53.33,-,-,-,37.88,37.88,29.04,29.04
28,Common Stock,61.9,61.9,61.9,61.9,61.9,46.4,-,46.4,-,-,-,46.4,46.4,46.4,46.4
29,Additional Paid-In Capital,1101,1101,1101,1101,1101,108.82,-,108.82,-,-,-,108.82,108.82,108.82,108.82
30,Retained Earnings,315.35,304.72,291.93,295.55,261.64,247.49,-,217.74,-,-,-,132.2,132.2,86.89,86.89
31,Total Common Equity,1478,1468,1455,1459,1425,402.71,372.96,372.96,-,-,287.42,287.42,287.42,242.11,242.11
32,Minority Interest,1.17,1.43,1.44,1.49,1.54,1.66,-,1.36,-,-,-,1.22,1.22,0.3,0.3
33,Shareholders' Equity,1480,1469,1457,1460,1426,404.38,374.32,374.32,-,-,288.65,288.65,288.65,242.41,242.41
34,Total Liabilities & Equity,1517,1503,1486,1509,1474,436.4,-,427.65,-,-,-,326.53,326.53,271.45,271.45
35,Total Debt,3.72,4.31,4.81,5.43,4.94,5.38,5.69,5.69,-,-,6.53,6.53,6.53,7.1,7.1
36,Net Cash (Debt),947.33,939.73,619.81,969.74,1215,177.01,188.62,188.62,-,-,171.5,171.5,171.5,142.38,142.38
37,Net Cash Growth,-22.04%,430.88%,228.60%,414.11%,-,-,9.98%,9.98%,-,-,20.46%,-,-,-,-
38,Net Cash Per Share,15.31,15.18,10.01,15.67,23.57,3.82,4.06,4.07,-,-,3.70,3.70,3.70,3.07,3.07
39,Filing Date Shares Outstanding,61.9,61.9,61.9,61.9,61.9,46.4,46.44,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4
40,Total Common Shares Outstanding,61.9,61.9,61.9,61.9,61.9,46.4,46.44,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4
41,Working Capital,1128,1128,1153,1163,1407,384.85,-,356.37,-,-,-,280.26,280.26,236.16,236.16
42,Book Value Per Share,23.89,23.71,23.51,23.57,23.02,8.68,8.04,8.04,-,-,6.19,6.19,6.19,5.22,5.22
43,Tangible Book Value,1478,1467,1454,1458,1424,401.9,372.07,372.07,-,-,287.07,287.07,287.07,241.72,241.72
44,Tangible Book Value Per Share,23.87,23.70,23.50,23.55,23.01,8.66,8.02,8.02,-,-,6.19,6.19,6.19,5.21,5.21
45,Machinery,-,26.11,-,21.84,-,18.35,-,16.95,-,-,-,14.83,14.83,12.33,12.33
46,Construction In Progress,-,-,-,-,-,-,-,-,-,-,-,-,-,0.31,0.31
