,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
28,Shares Change (YoY),-0.01%,-0.00%,0.00%,-0.00%,-0.00%,20.01%,33.35%,33.32%,33.36%,11.10%,-0.01%,0.01%,-,-,-,-
29,EPS (Basic),0.37,0.09,0.46,0.70,1.07,0.70,0.64,0.64,0.38,0.36,0.53,0.58,0.14,0.29,0.37,0.37
30,EPS (Diluted),0.37,0.09,0.46,0.70,1.07,0.70,0.64,0.64,0.38,0.36,0.53,0.58,0.14,0.29,0.37,0.37
31,EPS Growth,-65.37%,-87.76%,-28.40%,8.57%,180.61%,92.87%,20.32%,11.54%,169.10%,24.32%,42.44%,54.81%,-,-,-,-
32,Free Cash Flow,-,-113.6,19.51,-169.62,-277.94,-71.23,37.55,-57.53,-118.16,-165.98,-17.6,-69.55,-45.87,-44.2,12.04,12.04
33,Free Cash Flow Per Share,-,-0.57,0.10,-0.85,-1.39,-0.36,0.19,-0.29,-0.59,-1.00,-0.12,-0.46,-0.31,-0.29,0.08,0.08
34,Dividend Per Share,-,-,-,-,0.703,-,-,-,0.379,-,-,-,-,-,-,-
35,Dividend Growth,-,-,-,-,85.49%,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,195.59%,71.29%,58.98%,71.57%,79.53%,72.24%,69.95%,72.17%,73.09%,72.73%,81.43%,80.09%,73.09%,74.87%,73.12%,73.12%
37,Operating Margin,46.23%,24.36%,24.15%,45.33%,54.87%,51.55%,44.66%,49.23%,33.37%,46.70%,49.00%,65.70%,29.56%,52.23%,50.15%,50.15%
38,Profit Margin,27.37%,9.43%,34.90%,40.12%,66.45%,42.75%,39.48%,39.77%,37.46%,34.65%,36.97%,46.77%,19.50%,34.87%,41.79%,41.79%
39,Free Cash Flow Margin,-,-62.48%,7.44%,-48.68%,-86.32%,-21.74%,11.60%,-17.77%,-58.04%,-95.01%,-8.17%,-37.57%,-42.10%,-35.16%,8.99%,8.99%
40,EBITDA,131.82,50.96,70.82,164.61,183.35,173.67,149.99,164.09,72.67,85.48,109.85,125.54,36.12,68.5,69.97,69.97
41,EBITDA Margin,48.69%,28.03%,27.01%,47.24%,56.94%,53.00%,46.34%,50.69%,35.70%,48.93%,50.98%,67.81%,33.14%,54.50%,52.28%,52.28%
42,D&A For EBITDA,6.67,6.67,7.51,6.67,6.67,4.74,5.42,4.74,4.74,3.9,4.27,3.9,3.9,2.85,2.85,2.85
43,EBIT,125.14,44.28,63.31,157.94,176.67,168.93,144.57,159.35,67.93,81.58,105.58,121.64,32.22,65.65,67.12,67.12
44,EBIT Margin,46.23%,24.36%,24.15%,45.33%,54.87%,51.55%,44.66%,49.23%,33.37%,46.70%,49.00%,65.70%,29.56%,52.23%,50.15%,50.15%
45,Effective Tax Rate,32.32%,0.92%,7.94%,15.15%,10.96%,15.68%,13.60%,15.23%,-,15.55%,13.26%,14.50%,6.55%,14.09%,13.98%,13.98%
46,Revenue as Reported,-,181.82,262.15,348.42,322.01,327.71,323.7,323.71,203.58,174.69,215.47,185.13,108.97,393.36,-,-
