,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
21,Accrued Expenses,212.68,204.74,184.24,274.44,197.28,196.12,158.56,237.21,165.95,158.56,134.11,200.17,-,134.45,-,169.32
22,Current Portion of Leases,0.09,0.17,0.24,0.24,0.28,0.28,0.27,0.27,0.14,0.14,0.14,0.14,-,-,-,-
23,Current Income Taxes Payable,18.82,9.91,40.31,0.03,6.26,-,5.54,0.01,4.42,0.01,3.84,-,-,0.09,-,0.03
24,Current Unearned Revenue,160.87,150.82,139.95,157.54,171.23,123.12,151.23,139.27,136.24,114.17,148.37,137.52,-,101.94,-,114.47
25,Other Current Liabilities,73.4,42.01,64.51,38.36,36.34,74.27,77.09,33.59,64,36.22,55.26,28.4,-,28.63,-,26.97
26,Total Current Liabilities,1731,1444,1493,1536,1576,1429,1453,1399,1396,1135,1185,1208,-,1046,-,1071
27,Long-Term Leases,0.13,0.16,0.34,0.22,0.32,0.28,0.46,0.5,0.25,0.32,0.31,0.31,-,0.46,-,-
28,Long-Term Unearned Revenue,272.95,280.43,290.43,291.51,301.94,316.78,321.23,314.24,325.1,326.43,337.18,335.01,-,348.8,-,353.19
29,Long-Term Deferred Tax Liabilities,0.04,0.01,0.14,-,-,-,-,-,-,-,-,-,-,-,-,-
30,Other Long-Term Liabilities,0.13,0.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,Total Liabilities,2004,1725,1784,1828,1879,1746,1774,1713,1721,1462,1523,1544,-,1396,-,1424
32,Common Stock,353.52,353.52,353.52,353.52,353.52,353.52,353.52,353.52,353.52,353.52,353.52,353.52,-,265.14,-,265.14
33,Additional Paid-In Capital,877.1,877.1,877.1,877.1,877.1,877.1,877.1,877.1,877.1,877.1,877.1,877.1,-,52.64,-,52.64
34,Retained Earnings,1478,1304,1470,1342,1356,1183,1222,1080,1108,935.94,946.85,835.4,-,712.74,-,606.89
35,Comprehensive Income & Other,-0.33,-0.28,-0.33,-0.3,-0.98,-0.44,-0.59,-0.59,-0.92,-0.92,-0.73,-0.73,-,-0.8,-,-0.79
36,Total Common Equity,2708,2534,2700,2572,2585,2413,2452,2310,2338,2166,2177,2065,-,1030,923.88,923.88
37,Minority Interest,4.25,3.84,3.78,3.59,3.76,3.51,3.5,3.08,3.08,3.08,2.81,2.87,-,3.15,-,2.91
38,Shareholders' Equity,2712,2538,2704,2576,2589,2417,2456,2313,2341,2169,2180,2068,-,1033,926.8,926.8
39,Total Liabilities & Equity,4716,4263,4488,4404,4468,4163,4230,4027,4062,3631,3702,3612,-,2428,-,2351
40,Total Debt,0.22,0.32,0.58,0.46,0.59,0.56,0.73,0.77,0.39,0.46,0.45,0.45,-,0.46,-,-
41,Net Cash (Debt),2198,2596,2506,2775,2419,2379,2237,2351,2112,2177,1994,2170,-,943.68,959.63,959.63
42,Net Cash Growth,-9.13%,9.15%,12.01%,18.03%,14.53%,9.28%,12.20%,8.34%,-,130.67%,107.77%,126.15%,-,-,-,-
43,Net Cash Per Share,6.48,7.21,7.05,7.87,6.83,6.73,6.30,6.67,6.01,6.17,5.65,8.10,-,3.61,3.58,3.72
44,Filing Date Shares Outstanding,353.52,353.52,353.52,353.52,353.52,353.52,353.52,353.52,353.52,353.52,353.52,353.52,265.7,353.52,268.06,265.14
45,Total Common Shares Outstanding,353.52,353.52,353.52,353.52,353.52,353.52,353.52,353.52,353.52,353.52,353.52,353.52,265.7,265.14,268.06,265.14
46,Working Capital,1511,1687,1969,1798,1825,1674,1719,1570,1702,1560,1587,1465,-,458.26,-,371.52
47,Book Value Per Share,7.66,7.17,7.64,7.28,7.31,6.83,6.94,6.53,6.61,6.13,6.16,5.84,-,3.88,3.48,3.48
48,Tangible Book Value,2576,2407,2569,2457,2463,2293,2331,2190,2215,2044,2055,1945,-,902.09,810.6,810.6
49,Tangible Book Value Per Share,7.29,6.81,7.27,6.95,6.97,6.49,6.59,6.19,6.27,5.78,5.81,5.50,-,3.40,3.06,3.06
50,Buildings,-,867.63,-,800.73,-,847.51,-,813.14,-,733.52,-,725.2,-,734.89,-,733.95
51,Machinery,-,130.67,-,129.8,-,101.01,-,100.24,-,101.76,-,97.65,-,90.29,-,85.87
52,Construction In Progress,-,38.94,-,36.91,-,56.87,-,41.77,-,68.89,-,64.13,-,40.29,-,42.49
