,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
9,Operating Income,203.97,-12.84,114.93,-50.34,172.62,2.75,131.89,-88.72,175.17,-9.39,106.58,-78,156.97,-8.85,107.07,-60.76
10,Interest Expense,-,-0.01,-,-0.01,-0.01,-0.01,-0,-,-0.1,-0.01,-0.01,-0.03,-,-0.01,-,-
11,Interest & Investment Income,2.68,6.52,18.33,0.23,9,18.44,6.2,14.27,7.05,5.4,6.87,6.09,7.32,4.34,4.42,4.46
12,Other Non Operating Income (Expenses),9.18,-7.2,-0.05,-1.58,1.16,-0.73,-0.21,-19.25,5.18,13.25,-0.51,-3.16,3.05,-2.98,2.28,0.06
13,EBT Excluding Unusual Items,215.83,-13.53,133.21,-51.7,182.77,20.46,137.88,-93.7,187.29,9.25,112.94,-75.1,167.34,-7.51,113.77,-56.24
14,Gain (Loss) on Sale of Investments,6.38,3.92,3.51,11.59,-0.6,-6.59,4.48,5.61,1.68,1.55,-,-,-,-,-,-
15,Gain (Loss) on Sale of Assets,-,-0.03,-,3.39,-,0.1,-,-0.01,0.01,-0.01,-,-,-,-,-,0
16,Asset Writedown,-21.67,0.6,-0.6,8.43,-8.4,-0.03,-,15.76,-16.54,0.11,-0.11,5.18,-5.31,9.21,-9.23,-0.01
17,Other Unusual Items,-11,11,-,13.91,-,-,-,44.2,-,-,-,30.65,-,-,-,6.54
18,Pretax Income,189.54,1.95,136.12,-14.38,173.77,13.93,142.36,-28.13,172.45,10.91,112.83,-39.27,162.03,1.7,104.54,-49.71
19,Income Tax Expense,15.4,8.2,7.92,0.34,-0,0.01,-,0.02,-0.01,0.01,0,-0.15,0.1,0.07,0,-0.08
20,Earnings From Continuing Operations,174.14,-6.25,128.2,-14.72,173.77,13.93,142.36,-28.16,172.45,10.9,112.83,-39.12,161.93,1.63,104.54,-49.63
21,Minority Interest in Earnings,-0.4,-0.06,-0.19,0.17,-0.25,-0.01,-0.42,-,-,-0.26,0.06,-0,-0.15,-0.32,0,0.22
22,Net Income,173.74,-6.31,128.02,-14.56,173.53,13.91,141.93,-28.16,172.45,10.64,112.89,-39.13,161.79,1.31,104.54,-49.41
23,Net Income to Common,173.74,-6.31,128.02,-14.56,173.53,13.91,141.93,-28.16,172.45,10.64,112.89,-39.13,161.79,1.31,104.54,-49.41
24,Net Income Growth,0.12%,-,-9.81%,-,0.62%,30.78%,25.73%,-,6.59%,711.85%,7.98%,-,-,-,-,-
25,Shares Outstanding (Basic),339,360,356,352,354,354,355,353,351,353,353,268,266,261,268,258
26,Shares Outstanding (Diluted),339,360,356,352,354,354,355,353,351,353,353,268,266,261,268,258
27,Shares Change (YoY),-4.20%,1.91%,0.21%,-0.03%,0.82%,0.14%,0.59%,31.60%,32.18%,35.17%,31.60%,3.73%,-,-,-,-
28,EPS (Basic),0.51,-0.02,0.36,-0.04,0.49,0.04,0.40,-0.08,0.49,0.03,0.32,-0.15,0.61,0.01,0.39,-0.19
29,EPS (Diluted),0.51,-0.02,0.36,-0.04,0.49,0.04,0.40,-0.08,0.49,0.03,0.32,-0.15,0.61,0.01,0.39,-0.19
30,EPS Growth,4.51%,-,-10.00%,-,-0.20%,30.60%,25.00%,-,-19.36%,500.62%,-17.95%,-,-,-,-,-
31,Free Cash Flow,-447.94,210.2,-253.35,295.85,130.04,151.66,-121.79,230.21,-66.8,234.27,-196.31,270.81,29.6,96.45,-111.94,-107.44
32,Free Cash Flow Per Share,-1.32,0.58,-0.71,0.84,0.37,0.43,-0.34,0.65,-0.19,0.66,-0.56,1.01,0.11,0.37,-0.42,-0.42
33,Dividend Per Share,-,-,-,0.450,-,-,-,0.150,-,-,-,0.065,-,-,-,-
34,Dividend Growth,-,-,-,200.00%,-,-,-,130.77%,-,-,-,-,-,-,-,-
35,Gross Margin,44.31%,35.82%,41.89%,33.82%,42.53%,30.27%,46.63%,35.42%,39.11%,34.65%,44.38%,30.10%,41.76%,28.14%,46.51%,32.74%
36,Operating Margin,30.02%,-5.56%,20.55%,-13.57%,26.66%,0.91%,25.48%,-34.12%,25.61%,-3.72%,23.05%,-29.48%,25.54%,-3.07%,25.24%,-35.38%
37,Profit Margin,25.57%,-2.73%,22.90%,-3.92%,26.80%,4.58%,27.42%,-10.83%,25.22%,4.22%,24.42%,-14.79%,26.32%,0.45%,24.65%,-28.77%
38,Free Cash Flow Margin,-65.94%,91.05%,-45.31%,79.74%,20.08%,49.98%,-23.52%,88.54%,-9.77%,92.90%,-42.46%,102.33%,4.82%,33.45%,-26.39%,-62.56%
39,EBITDA,218.03,1.7,128.98,-36.29,186.47,14.7,145.74,-74.87,186.65,2.42,118.07,-66.52,165.82,1.57,115.92,-51.79
40,EBITDA Margin,32.09%,0.74%,23.07%,-9.78%,28.80%,4.84%,28.15%,-28.79%,27.29%,0.96%,25.54%,-25.14%,26.98%,0.54%,27.33%,-30.16%
41,D&A For EBITDA,14.05,14.54,14.05,14.05,13.85,11.95,13.85,13.85,11.49,11.81,11.49,11.49,8.85,10.42,8.85,8.97
42,EBIT,203.97,-12.84,114.93,-50.34,172.62,2.75,131.89,-88.72,175.17,-9.39,106.58,-78,156.97,-8.85,107.07,-60.76
43,EBIT Margin,30.02%,-5.56%,20.55%,-13.57%,26.66%,0.91%,25.48%,-34.12%,25.61%,-3.72%,23.05%,-29.48%,25.54%,-3.07%,25.24%,-35.38%
44,Effective Tax Rate,8.12%,419.90%,5.82%,-,-,0.06%,-,-,-,0.07%,-,-,0.06%,3.90%,0.00%,-
45,Revenue as Reported,679.36,230.85,559.14,371.02,647.49,303.47,517.72,260.01,683.9,252.19,462.35,264.64,614.62,288.38,424.15,-
