,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,+9 Quarters
9,Operating Expenses,23.12,28.92,25.74,-,26.2,28.86,18.51,26.74,20.42,18.22,17.97,20.16,14.97,-0.12,28.24,7.7,7.7,8.43,8.42,5.5,Upgrade
10,Operating Income,5.21,6.13,3.39,-,2.09,7.51,9.46,3.9,4.4,15.79,10.97,12.03,10.81,21.5,13.3,5.86,5.86,3.6,3.6,5.6,Upgrade
11,Interest Expense,-0.02,-0.02,-0.03,-,-,-0.08,-,-0.18,-0.01,-0.09,-,-0.14,-,-0.05,-,-,-,-,-,-,Upgrade
12,Interest & Investment Income,3.8,2.23,1.2,-,2.78,3.96,1.59,2.25,0.09,0.54,0.54,0.54,0.62,0.94,-,-,-,-,0.33,0.02,Upgrade
13,Earnings From Equity Investments,-,-,-,-,-,-,-,0.19,-,-,-,-0.2,-0.06,-0.15,-,-,-,-,-,-0.02,Upgrade
14,Currency Exchange Gain (Loss),-0.24,0.24,-,-,-0.1,0.1,-,0.18,-0.2,0.2,-,-0.13,-0.02,0.02,-,-,-,-,-0.04,0,Upgrade
15,Other Non Operating Income (Expenses),0.22,-0.15,0.07,-,0.1,0.1,-0.16,-1.48,1.37,0.07,-0.13,0.05,-0.16,-0.12,-0,0.07,0.07,0.27,-0.02,-0.01,Upgrade
16,EBT Excluding Unusual Items,8.96,8.42,4.63,-,4.87,11.58,10.89,4.86,5.65,16.51,11.37,12.14,11.2,22.13,13.3,5.93,5.93,3.87,3.88,5.59,Upgrade
17,Gain (Loss) on Sale of Investments,0.02,1.01,1.71,-,0.85,2.15,1.59,0.23,-,-0.05,-0.14,-,-,-,-,-0,-0,-0,-0,-,Upgrade
18,Gain (Loss) on Sale of Assets,0,-0,-0.02,-,-0.01,-0.04,-,-0.1,0.18,-,-,-,-,-,-,-0,-0,0,0.01,-0,Upgrade
19,Asset Writedown,-0.32,-,-,-,-0.11,0.08,-0.08,0.27,-0.27,-0.16,0.16,0.57,-0.57,-0,-,-,-,0.02,-0,-,Upgrade
20,Other Unusual Items,0.13,-0.15,0,-,0.23,-0.23,-,1.67,-0.35,0.22,-,1.17,0.12,-0.12,-,-,-,-,0.01,0.29,Upgrade
21,Pretax Income,8.79,9.28,6.32,-,5.84,13.55,12.4,6.93,5.21,16.51,11.39,13.88,10.76,22.01,13.3,5.92,5.92,3.89,3.89,5.88,Upgrade
22,Income Tax Expense,-1.72,-0.47,-0.49,-,-1.33,0.23,0.18,-0.68,-0.15,1.35,0.67,1.42,0.83,2.83,2.25,0.38,0.38,0.69,0.69,0.3,Upgrade
23,Earnings From Continuing Operations,10.51,9.76,6.81,-,7.16,13.31,12.22,7.61,5.36,15.16,10.72,12.47,9.93,19.18,11.05,5.54,5.54,3.2,3.2,5.59,Upgrade
24,Minority Interest in Earnings,0.14,0.16,0.11,-,0.03,0.02,0.04,0.04,0.04,0.07,0.07,0.03,0.04,0.04,0.04,-,-,-,-,-,Upgrade
25,Net Income,10.65,9.91,6.92,-,7.19,13.33,12.26,7.65,5.4,15.23,10.79,12.5,9.96,19.23,11.09,5.54,5.54,3.2,3.2,5.59,Upgrade
26,Net Income to Common,10.65,9.91,6.92,-,7.19,13.33,12.26,7.65,5.4,15.23,10.79,12.5,9.96,19.23,11.09,5.54,5.54,3.2,3.2,5.59,Upgrade
27,Net Income Growth,48.04%,-25.63%,-43.59%,-,33.13%,-12.48%,13.63%,-38.78%,-45.77%,-20.78%,-2.67%,125.50%,79.77%,500.52%,246.34%,-0.76%,-0.76%,-35.23%,-35.23%,-11.07%,Upgrade
28,Shares Outstanding (Basic),86,99,99,-,103,103,102,96,77,76,77,74,77,77,-,69,69,46,69,70,Upgrade
29,Shares Outstanding (Diluted),86,99,99,-,103,103,102,96,77,76,77,74,77,77,-,69,69,46,69,70,Upgrade
30,Shares Change (YoY),-15.94%,-3.28%,-3.30%,-,33.51%,34.96%,32.57%,30.07%,-0.05%,-1.31%,-,6.20%,11.02%,67.58%,-,-0.76%,-0.76%,-33.20%,0.23%,205.69%,Upgrade
31,EPS (Basic),0.12,0.10,0.07,-,0.07,0.13,0.12,0.08,0.07,0.20,0.14,0.17,0.13,0.25,-,0.08,0.08,0.07,0.05,0.08,Upgrade
32,EPS (Diluted),0.12,0.10,0.07,-,0.07,0.13,0.12,0.08,0.07,0.20,0.14,0.17,0.13,0.25,-,0.08,0.08,0.07,0.05,0.08,Upgrade
33,EPS Growth,76.12%,-23.11%,-41.67%,-,-0.28%,-35.15%,-14.29%,-52.93%,-45.74%,-19.73%,-,112.33%,61.93%,258.35%,-,0%,0%,-3.05%,-35.38%,-70.91%,Upgrade
34,Free Cash Flow,-13.69,-8.12,-11.5,-,6.94,-8.01,-7.09,11.38,-4.79,2.66,4.37,8.78,-7.97,8.99,12.63,3.71,3.71,4.4,4.4,1.64,Upgrade
35,Free Cash Flow Per Share,-0.16,-0.08,-0.12,-,0.07,-0.08,-0.07,0.12,-0.06,0.03,0.06,0.12,-0.10,0.12,-,0.05,0.05,0.10,0.06,0.02,Upgrade
36,Dividend Per Share,-,-,-,-,-,-,-,0.200,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
37,Gross Margin,55.82%,58.74%,58.89%,-,62.84%,59.51%,58.29%,56.41%,65.33%,62.00%,57.01%,58.33%,56.42%,35.39%,100.00%,63.92%,63.92%,67.30%,67.30%,65.46%,Upgrade
38,Operating Margin,10.26%,10.27%,6.85%,-,4.65%,12.28%,19.71%,7.18%,11.58%,28.79%,21.61%,21.80%,23.66%,35.59%,32.02%,27.61%,27.61%,20.12%,20.17%,33.03%,Upgrade
39,Profit Margin,20.99%,16.61%,13.98%,-,15.98%,21.82%,25.56%,14.09%,14.22%,27.77%,21.27%,22.65%,21.80%,31.83%,26.70%,26.13%,26.13%,17.92%,17.92%,32.95%,Upgrade
40,Free Cash Flow Margin,-26.98%,-13.60%,-23.24%,-,15.41%,-13.11%,-14.78%,20.95%,-12.60%,4.85%,8.61%,15.91%,-17.43%,14.88%,30.40%,17.51%,17.51%,24.61%,24.61%,9.70%,Upgrade
41,EBITDA,6.97,7.14,5.16,-,3.66,8.53,11.02,5.47,5.49,17.28,12.05,13.11,11.38,22.38,13.87,6.35,6.35,3.92,3.89,5.82,Upgrade
42,EBITDA Margin,13.74%,11.97%,10.42%,-,8.12%,13.95%,22.97%,10.07%,14.44%,31.50%,23.75%,23.77%,24.91%,37.04%,33.40%,29.92%,29.92%,21.93%,21.78%,34.35%,Upgrade
43,D&A For EBITDA,1.77,1.01,1.77,-,1.57,1.02,1.57,1.57,1.09,1.49,1.09,1.09,0.57,0.88,0.57,0.49,0.49,0.32,0.29,0.22,Upgrade
44,EBIT,5.21,6.13,3.39,-,2.09,7.51,9.46,3.9,4.4,15.79,10.97,12.03,10.81,21.5,13.3,5.86,5.86,3.6,3.6,5.6,Upgrade
45,EBIT Margin,10.26%,10.27%,6.85%,-,4.65%,12.28%,19.71%,7.18%,11.58%,28.79%,21.61%,21.80%,23.66%,35.59%,32.02%,27.61%,27.61%,20.12%,20.17%,33.03%,Upgrade
46,Effective Tax Rate,-,-,-,-,-,1.73%,1.43%,-,-,8.19%,5.91%,10.22%,7.69%,12.84%,16.93%,6.45%,6.45%,17.67%,17.67%,5.03%,Upgrade
47,Revenue as Reported,50.74,59.67,49.48,-,45.03,61.1,47.99,54.33,37.99,54.85,50.75,55.17,45.7,101.94,-,21.21,21.21,17.87,17.87,16.95,Upgrade
