,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,+9 Quarters
12,EV/EBITDA Ratio,71.04,67.54,67.73,81.63,-,82.25,82.43,70.71,63.55,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
13,EV/EBIT Ratio,106.06,88.38,93.07,108.99,-,102.73,99.52,82.73,73.02,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,EV/FCF Ratio,-,-,-,-,-,733.03,-,-,187.91,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,-,-,0.00,0.00,0.01,0.01,0.01,0.03,0.03,-,0.03,0.01,-,-,-,-,-,Upgrade
16,Debt / EBITDA Ratio,0.01,0.01,0.06,0.02,-,-,0.10,0.10,0.21,0.14,0.05,0.16,0.15,-,0.07,0.04,-,-,-,-,-,Upgrade
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,0.33,-,0.48,0.56,0.35,-,0.20,0.09,-,-,-,-,-,Upgrade
18,Asset Turnover,0.21,0.24,-,-,-,0.25,0.20,0.34,0.47,-,-,-,-,-,-,0.71,0.73,0.64,0.68,0.68,Upgrade,
19,Inventory Turnover,-,1.46,1.57,-,-,-,1.72,1.38,1.58,0.95,-,-,-,-,-,-,2.03,2.13,1.71,1.68,1.65,Upgrade
20,Quick Ratio,13.20,13.20,13.00,16.98,-,-,23.10,25.17,21.67,5.03,5.69,-,5.10,-,4.70,-,8.99,8.99,6.76,6.76,9.67,Upgrade
21,Current Ratio,14.60,14.60,14.31,18.71,-,-,25.18,27.59,23.49,7.04,7.29,-,6.40,-,5.67,-,10.92,10.92,8.20,8.20,12.20,Upgrade
22,Return on Equity (ROE),4.59%,4.19%,-,-,-,5.78%,5.33%,5.08%,7.49%,22.40%,16.63%,-,-,35.62%,-,19.96%,21.01%,12.81%,13.23%,23.87%,Upgrade,
23,Return on Assets (ROA),1.33%,1.55%,-,-,-,1.95%,2.47%,1.52%,3.38%,-,-,-,-,-,-,12.17%,12.66%,8.09%,8.53%,13.97%,Upgrade,
24,Return on Capital (ROIC),1.42%,1.64%,-,-,-,2.03%,2.57%,1.62%,3.80%,14.27%,10.32%,-,-,24.48%,-,13.18%,13.87%,8.99%,9.31%,14.96%,Upgrade,
25,Return on Capital Employed (ROCE),1.70%,1.61%,1.25%,1.37%,-,-,2.73%,3.61%,3.82%,14.74%,17.23%,-,21.92%,-,19.41%,-,17.02%,16.79%,18.40%,20.72%,24.61%,Upgrade
26,Earnings Yield,1.36%,1.41%,1.36%,1.30%,-,1.32%,1.19%,1.40%,1.46%,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
27,FCF Yield,-2.10%,-1.71%,-0.72%,-0.59%,-,0.10%,-0.26%,0.07%,0.51%,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
28,Dividend Yield,0.45%,-,-,-,-,-,-,-,0.77%,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
29,Payout Ratio,27.67%,4.84%,97.84%,-,-,-,154.04%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
30,Buyback Yield / Dilution,3.53%,15.94%,3.28%,3.30%,-,-33.51%,-34.96%,-32.57%,-30.07%,0.05%,1.31%,-,-6.20%,-11.02%,-67.58%,-,0.76%,0.76%,33.20%,-0.23%,-205.69%,Upgrade
31,Total Shareholder Return,3.98%,15.94%,3.28%,3.30%,-,-33.51%,-34.96%,-32.57%,-29.30%,0.05%,1.31%,-,-6.20%,-11.02%,-67.58%,-,0.76%,0.76%,33.20%,-0.23%,-205.69%,Upgrade
