,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
36,Retained Earnings,-,1609,1564,1612,1546,1475,1332,1527,1447,1307,1100,1107,595.8,546,479.61,-,391.05,-,-,-
37,Comprehensive Income & Other,-,11.02,9.12,7.62,13.53,14.18,16.31,12.23,13.84,10.48,-4.79,-0.59,-0.12,-0.58,-0.53,-,-0.5,-,-,-
38,Total Common Equity,2652,2652,2596,2626,2560,2485,2324,2499,2417,2269,2040,2046,1526,1464,1398,767.79,767.79,-,-,579.4
39,Minority Interest,-,-52.09,-43.87,-36.36,-26.27,-16.17,0,14.63,28.1,22.08,-16.13,-11.3,-11.49,-2.19,-1.06,-,-3.81,-,-,-
40,Shareholders' Equity,2600,2600,2552,2590,2534,2469,2324,2514,2445,2291,2024,2035,1514,1462,1397,763.98,763.98,-,-,578.34
41,Total Liabilities & Equity,-,4088,4041,3862,3806,3768,3583,3743,4214,3427,3296,3117,2138,1955,1944,-,1324,-,-,-
42,Total Debt,846.48,846.48,720.85,585.48,557.6,656.07,645.51,465.6,473.55,350.34,490.22,330.06,233.69,224.52,300.64,315.03,315.03,-,-,283.75
43,Net Cash (Debt),-268.09,-268.09,59.63,67.81,153.25,27.73,147.36,364.7,959.74,424.69,412.61,709.66,261.31,293.71,346.52,-82.67,-82.67,-,-,-133.07
44,Net Cash Growth,-,-,-59.53%,-81.41%,-84.03%,-93.47%,-64.29%,-48.61%,267.28%,44.59%,19.07%,-,-,-,-,-,-,-,-,-
45,Net Cash Per Share,-0.49,-0.47,0.10,0.12,0.26,0.05,0.27,0.63,1.67,0.75,0.72,1.25,0.47,0.52,0.67,-0.16,-0.16,-,-,-0.26
46,Filing Date Shares Outstanding,570.27,569.28,569.28,568.31,568.13,568.13,568.13,567,567,567,567,567,567,567,567,527.52,509.6,520.15,503.48,503.48
47,Total Common Shares Outstanding,570.27,569.28,569.28,568.31,568.13,568.13,568.13,567,567,567,567,567,567,567,567,527.52,509.6,520.15,503.48,503.48
48,Working Capital,-,917.57,1016,1053,1009,1019,988.56,990.1,961.27,1012,864.03,1098,665.88,756.33,781.03,-,273.23,-,-,-
49,Book Value Per Share,4.66,4.66,4.56,4.62,4.51,4.37,4.09,4.41,4.26,4.00,3.60,3.61,2.69,2.58,2.47,1.51,1.51,-,-,1.15
50,Tangible Book Value,2459,2459,2398,2423,2366,2287,2111,2287,2202,2087,1937,1944,1422,1368,1302,732.04,732.04,-,-,546.3
51,Tangible Book Value Per Share,4.32,4.32,4.21,4.26,4.16,4.03,3.72,4.03,3.88,3.68,3.42,3.43,2.51,2.41,2.30,1.44,1.44,-,-,1.09
52,Buildings,-,-,763.35,-,342.69,-,323.56,-,322.37,-,222.47,-,222.47,-,219.87,-,163.14,-,-,-
53,Machinery,-,-,1229,-,1069,-,937.01,-,817.66,-,669.31,-,582.7,-,433.04,-,384.94,-,-,-
54,Construction In Progress,-,-,120.44,-,460.54,-,395.86,-,256.9,-,168.81,-,96.49,-,1.2,-,-,-,-,-
