,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q2 2017,Q1 2017,Q2 2016,Q1 2016
16,Debt / EBITDA Ratio,0.12,0.10,0.12,0.52,0.46,0.04,0.08,0.06,0.11,-,0.06,0.07,-,-,-,-,0.32,0.32,-,0.38
17,Debt / FCF Ratio,10.71,10.71,-,-,-,-0.10,-,-,-,-,0.11,0.26,-,-,-,-,-,-,-,5.75
18,Asset Turnover,0.31,0.28,0.24,0.28,0.35,0.30,0.35,-,-,-,-,0.86,0.92,0.62,-,1.23,-,-,-,
19,Inventory Turnover,7.81,8.06,7.84,6.61,7.96,8.95,6.56,5.26,-,-,-,-,10.19,9.33,4.44,-,4.18,-,-,-
20,Quick Ratio,6.46,6.46,8.99,6.14,5.06,12.22,12.61,15.98,4.72,-,5.37,-,6.17,6.17,7.07,7.07,1.96,1.96,-,-
21,Current Ratio,9.70,9.70,12.59,8.01,6.91,12.81,13.27,16.79,5.31,-,6.03,-,6.83,6.83,8.10,8.10,2.76,2.76,-,-
22,Return on Equity (ROE),8.88%,8.30%,7.82%,9.53%,9.61%,8.09%,9.63%,-,-,18.41%,-,24.08%,25.62%,13.90%,-,28.64%,-,-,-,
23,Return on Assets (ROA),5.67%,4.43%,4.42%,4.85%,6.05%,4.30%,5.39%,-,-,-,-,14.14%,15.10%,8.99%,-,14.84%,-,-,-,
24,Return on Capital (ROIC),6.07%,4.70%,4.72%,5.20%,6.42%,4.55%,5.83%,-,-,12.54%,-,15.94%,16.96%,10.05%,-,18.54%,-,-,-,
25,Return on Capital Employed (ROCE),8.06%,8.15%,8.32%,8.13%,7.93%,7.32%,6.57%,6.63%,15.21%,-,18.31%,-,19.55%,15.84%,13.75%,11.97%,28.10%,20.04%,-,-
26,Earnings Yield,4.05%,4.75%,5.32%,4.66%,3.88%,3.43%,2.87%,2.54%,-,-,-,-,-,-,-,-,-,-,-,-
27,FCF Yield,0.05%,0.06%,-1.40%,-2.36%,-2.58%,-2.17%,-1.72%,0.11%,-,-,-,-,-,-,-,-,-,-,-,-
28,Dividend Yield,1.99%,-,-,-,2.05%,-,1.89%,-,-,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,26.32%,-,102.81%,-,5.24%,87.52%,110.20%,-,-,-,-,-,-,-,-,-,35.61%,35.61%,-,-
30,Buyback Yield / Dilution,-12.74%,3.49%,-0.11%,-22.38%,-41.32%,-35.92%,-33.04%,-10.67%,0.47%,-0.27%,-0.84%,0.61%,-15.67%,-15.67%,-22.97%,-22.97%,-,-,-,-
31,Total Shareholder Return,-10.75%,3.49%,-0.11%,-22.38%,-39.27%,-35.92%,-31.14%,-10.67%,0.47%,-0.27%,-0.84%,0.61%,-15.67%,-15.67%,-22.97%,-22.97%,-,-,-,-
