,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,P/FCF Ratio,-,-131.78,-29.82,-21.38,-,-,-,-,-,-,-,-1119.27,-,-,-,-,-,-,-,-
10,P/OCF Ratio,16.47,16.47,14.92,19.32,29.71,31.09,44.89,50.03,52.54,51.52,47.99,53.06,60.08,68.06,-,-,-,-,-,-
11,PEG Ratio,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.51,-,-,-,-,-,-,-,-
12,EV/Sales Ratio,7.92,5.88,4.78,6.17,6.18,6.12,9.38,11.37,14.57,25.85,25.30,29.34,33.96,28.72,-,-,-,-,-,-
13,EV/EBITDA Ratio,14.49,11.13,8.15,10.76,10.71,11.09,17.29,18.96,23.70,40.78,40.02,47.42,56.04,49.03,-,-,-,-,-,-
14,EV/EBIT Ratio,25.93,18.28,11.72,14.34,14.15,14.07,21.25,21.96,26.68,45.31,44.66,53.03,63.35,55.92,-,-,-,-,-,-
15,EV/FCF Ratio,-100.04,-74.19,-15.61,-12.38,-,-,-,-,-,-,-,-1098.19,-,-,-,-,-,-,-,-
16,Debt / Equity Ratio,0.11,0.11,0.12,0.08,0.06,0.06,0.04,0.05,0.05,0.05,0.29,0.05,0.07,0.11,0.14,0.11,0.11,0.07,0.07,0.07
17,Debt / EBITDA Ratio,1.51,2.47,2.14,0.75,0.70,0.62,0.59,0.70,0.56,0.51,0.47,0.11,0.18,0.33,0.22,0.23,0.38,0.24,0.27,0.41
18,Debt / FCF Ratio,-,-10.43,-2.60,-1.00,-,-,-,-,-,-,-,-3.59,-,-,-9.26,-,-,2.29,15.80,-
19,Asset Turnover,0.10,0.09,0.15,0.12,0.12,0.12,0.11,0.15,0.23,0.59,0.53,0.44,0.42,-,-,0.42,-,-,-,
20,Inventory Turnover,1.27,1.16,1.15,1.46,1.34,1.24,1.99,1.41,2.15,2.43,2.40,1.75,1.69,1.58,-,-,1.67,-,-,-
21,Quick Ratio,4.72,4.72,3.78,5.34,4.87,5.20,5.75,7.56,7.93,9.21,1.78,1.62,1.60,1.58,0.85,-,0.98,1.18,-,1.10
22,Current Ratio,5.40,5.40,4.15,5.92,5.26,5.59,6.10,8.38,8.30,9.58,2.16,2.13,1.98,1.99,1.22,-,1.36,1.71,-,1.91
23,Return on Equity (ROE),2.16%,3.17%,7.93%,7.59%,6.89%,7.40%,5.64%,8.49%,14.12%,50.21%,40.11%,34.16%,29.63%,53.86%,36.66%,27.50%,18.11%,16.42%,-,
24,Return on Assets (ROA),1.02%,0.85%,3.94%,3.09%,4.17%,2.52%,3.05%,4.00%,7.80%,22.78%,19.86%,13.46%,13.15%,-,-,8.66%,-,-,-,
25,Return on Capital (ROIC),1.14%,0.97%,4.52%,3.60%,4.87%,2.87%,3.42%,4.47%,9.02%,30.36%,27.06%,18.96%,19.86%,35.34%,24.17%,13.62%,14.06%,11.80%,-,
26,Return on Capital Employed (ROCE),3.92%,4.12%,5.60%,6.11%,5.78%,6.02%,6.50%,7.99%,8.81%,8.58%,26.99%,28.57%,24.99%,21.54%,27.40%,-,15.40%,11.30%,-,2.55%
27,Earnings Yield,3.12%,3.65%,4.82%,4.49%,4.35%,4.31%,3.44%,3.08%,2.67%,1.98%,1.98%,1.66%,1.38%,1.56%,-,-,-,-,-,-
28,FCF Yield,-0.65%,-0.76%,-3.35%,-4.68%,-6.32%,-4.77%,-3.16%,-1.82%,-0.92%,-0.64%,-0.43%,-0.09%,-0.45%,-0.53%,-,-,-,-,-,-
29,Dividend Yield,1.14%,2.35%,-,-,1.59%,-,-,-,0.87%,-,-,-,0.65%,-,-,-,-,-,-,-
30,Payout Ratio,49.79%,434.22%,6.06%,2.29%,8.74%,2.58%,143.25%,3.37%,2.65%,2.74%,41.19%,0.70%,0.97%,1.19%,0.60%,1.72%,3.17%,-,0.67%,3.52%
31,Buyback Yield / Dilution,1.72%,0.18%,-0.30%,0.20%,6.52%,-19.98%,-19.37%,-19.99%,-26.56%,-34.23%,-32.96%,-33.15%,-32.38%,0.43%,-1.96%,1.15%,-,-,-,-
32,Total Shareholder Return,2.87%,2.53%,-0.30%,0.20%,8.10%,-19.98%,-19.37%,-19.99%,-25.69%,-34.23%,-32.96%,-33.15%,-31.73%,0.43%,-1.96%,1.15%,-,-,-,-
