,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
17,Asset Writedown,-4.77,4.08,-4.08,5.04,-5.37,5.12,-5.12,4.71,-4.74,3.01,-3.01,1.73,-1.8,2.18,-2.77
18,Other Unusual Items,4.4,2.23,-0.11,-3.01,-,-,-,4.63,-,-,-,15.81,0.01,-0.01,-
19,Pretax Income,38.33,55.32,39.76,45.89,35.37,60.49,51.66,35.12,40.21,46.91,35.98,34.2,56.11,41.48,37.55
20,Income Tax Expense,4.63,7.2,4.91,5.53,4.13,7.81,6.88,3.93,5.23,6.34,4.88,4.11,7.04,4.99,5.16
21,Net Income,33.7,48.12,34.85,40.36,31.24,52.68,44.78,31.19,34.98,40.56,31.1,30.08,49.07,36.49,32.4
22,Net Income to Common,33.7,48.12,34.85,40.36,31.24,52.68,44.78,31.19,34.98,40.56,31.1,30.08,49.07,36.49,32.4
23,Net Income Growth,7.86%,-8.66%,-22.18%,29.38%,-10.69%,29.87%,43.99%,3.69%,-28.71%,11.16%,-4.00%,-,-,-,-
24,Shares Outstanding (Basic),65,63,65,64,64,64,64,64,65,64,59,48,48,47,48
25,Shares Outstanding (Diluted),65,63,65,64,64,64,64,64,65,64,59,48,48,47,48
26,Shares Change (YoY),1.26%,-1.80%,0.88%,0.85%,-1.14%,0.69%,9.02%,31.21%,34.09%,34.87%,21.36%,-,-,-,-
27,EPS (Basic),0.52,0.76,0.54,0.63,0.49,0.82,0.70,0.49,0.54,0.64,0.53,0.62,1.02,0.77,0.67
28,EPS (Diluted),0.52,0.76,0.54,0.63,0.49,0.82,0.70,0.49,0.54,0.64,0.53,0.62,1.02,0.77,0.67
29,EPS Growth,6.52%,-6.98%,-22.86%,28.29%,-9.66%,28.98%,32.08%,-20.97%,-46.83%,-17.58%,-20.90%,-,-,-,-
30,Free Cash Flow,11.24,20.07,2.04,43.78,13.84,47.34,-7.64,44.73,35,23.04,-1.41,23.37,-15.17,19.74,16.66
31,Free Cash Flow Per Share,0.17,0.32,0.03,0.68,0.22,0.74,-0.12,0.70,0.54,0.36,-0.02,0.48,-0.31,0.42,0.34
32,Dividend Per Share,-,-,-,0.750,-,-,-,0.600,-,-,-,0.500,-,-,-
33,Dividend Growth,-,-,-,25.00%,-,-,-,20.00%,-,-,-,-,-,-,-
34,Gross Margin,37.12%,36.80%,40.15%,30.24%,41.50%,37.27%,39.26%,30.92%,36.58%,35.01%,41.78%,29.47%,50.10%,42.56%,44.33%
35,Operating Margin,18.87%,20.29%,21.30%,16.85%,19.85%,22.60%,23.54%,11.85%,20.38%,19.96%,26.35%,12.01%,32.13%,23.99%,27.34%
36,Profit Margin,17.33%,21.55%,18.47%,16.91%,16.92%,24.39%,19.31%,15.14%,18.30%,22.30%,21.28%,15.68%,29.96%,22.56%,22.42%
37,Free Cash Flow Margin,5.78%,8.99%,1.08%,18.34%,7.50%,21.92%,-3.29%,21.71%,18.31%,12.66%,-0.96%,12.18%,-9.26%,12.21%,11.53%
38,EBITDA,45.7,55.01,49.19,49.23,44.63,57.67,62.6,32.42,44.63,44.19,44.19,28.71,57.97,44.19,44.87
39,EBITDA Margin,23.50%,24.64%,26.08%,20.62%,24.18%,26.71%,26.98%,15.73%,23.35%,24.30%,30.24%,14.96%,35.40%,27.32%,31.05%
40,D&A For EBITDA,9.01,9.72,9.01,9.01,7.99,8.86,7.99,7.99,5.68,7.88,5.68,5.68,5.35,5.4,5.35
41,EBIT,36.69,45.29,40.19,40.22,36.64,48.81,54.61,24.43,38.96,36.31,38.51,23.03,52.62,38.8,39.52
42,EBIT Margin,18.87%,20.29%,21.30%,16.85%,19.85%,22.60%,23.54%,11.85%,20.38%,19.96%,26.35%,12.01%,32.13%,23.99%,27.34%
43,Effective Tax Rate,12.08%,13.02%,12.34%,12.06%,11.68%,12.91%,13.32%,11.18%,13.01%,13.52%,13.57%,12.03%,12.55%,12.02%,13.73%
44,Revenue as Reported,194.44,223.24,188.64,238.74,184.59,215.95,231.97,206.1,191.19,181.9,146.14,191.85,163.76,161.74,144.52
