,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021
18,Asset Writedown,-0.46,0.01,-0.01,0.29,-0.29,-,-,0.92,-0.92,0.34,-0.34,-0.01,-,-
19,Other Unusual Items,-4.54,2.59,1.63,15.14,-,-,-,9.53,0.02,-0.02,-,14.14,0.48,0.08
20,Pretax Income,24.87,40.16,26.65,19.61,24.94,28.81,21.53,18.55,28.63,24.9,19.73,34.18,37.85,22.86
21,Income Tax Expense,2.88,4.8,3.85,2.52,2.62,3.6,2.88,1.27,3.91,2.87,2.81,4.2,6.11,3.4
22,Net Income,21.99,35.36,22.79,17.09,22.32,25.21,18.65,17.28,24.72,22.03,16.92,29.99,31.74,19.46
23,Net Income to Common,21.99,35.36,22.79,17.09,22.32,25.21,18.65,17.28,24.72,22.03,16.92,29.99,31.74,19.46
24,Net Income Growth,-1.50%,40.28%,22.23%,-1.10%,-9.70%,14.41%,10.19%,-42.36%,-22.12%,13.22%,-,-,-,-
25,Shares Outstanding (Basic),146,141,142,143,149,140,143,119,102,111,106,108,106,102
26,Shares Outstanding (Diluted),146,141,142,143,149,140,143,119,102,111,106,108,106,102
27,Shares Change (YoY),-2.02%,1.24%,-0.69%,19.66%,45.81%,26.07%,35.62%,9.99%,-3.64%,8.03%,-,-,-,-
28,EPS (Basic),0.15,0.25,0.16,0.12,0.15,0.18,0.13,0.14,0.24,0.20,0.16,0.28,0.30,0.19
29,EPS (Diluted),0.15,0.25,0.16,0.12,0.15,0.18,0.13,0.14,0.24,0.20,0.16,0.28,0.30,0.19
30,EPS Growth,0.53%,38.56%,23.08%,-17.35%,-38.07%,-9.25%,-18.75%,-47.60%,-19.18%,4.80%,-,-,-,-
31,Free Cash Flow,28.99,23.26,-9.18,36.49,39.19,37.55,4.23,-2.1,21.94,38.7,-29.57,17.93,-,-18.26
32,Free Cash Flow Per Share,0.20,0.16,-0.06,0.26,0.26,0.27,0.03,-0.02,0.22,0.35,-0.28,0.17,-,-0.18
33,Dividend Per Share,-,-,-,0.200,-,-,-,0.170,-,-,-,-,-,-
34,Dividend Growth,-,-,-,17.65%,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,32.28%,34.93%,32.27%,31.13%,33.72%,32.06%,31.70%,34.26%,32.45%,32.01%,37.14%,31.65%,31.76%,36.77%
36,Operating Margin,17.92%,21.61%,17.74%,-2.84%,15.91%,20.79%,21.30%,6.47%,23.08%,20.21%,24.10%,12.85%,29.84%,23.85%
37,Profit Margin,15.81%,25.11%,22.30%,16.14%,17.94%,21.75%,26.51%,22.76%,20.81%,18.70%,22.12%,22.23%,26.06%,21.78%
38,Free Cash Flow Margin,20.85%,16.51%,-8.98%,34.46%,31.49%,32.40%,6.02%,-2.77%,18.47%,32.84%,-38.64%,13.29%,-,-20.44%
39,EBITDA,29.74,35.75,22.95,1.81,23.55,28.94,18.72,9.51,31.91,26.74,20.01,19.12,37.84,22.82
40,EBITDA Margin,21.38%,25.38%,22.45%,1.71%,18.92%,24.98%,26.62%,12.52%,26.86%,22.69%,26.15%,14.18%,31.06%,25.54%
41,D&A For EBITDA,4.82,5.31,4.82,4.82,3.74,4.86,3.74,4.59,4.49,2.92,1.57,1.79,1.49,1.51
42,EBIT,24.92,30.44,18.13,-3.01,19.8,24.09,14.98,4.92,27.41,23.82,18.44,17.34,36.34,21.32
43,EBIT Margin,17.92%,21.61%,17.73%,-2.84%,15.91%,20.79%,21.30%,6.47%,23.08%,20.21%,24.10%,12.85%,29.84%,23.85%
44,Effective Tax Rate,11.60%,11.95%,14.46%,12.85%,10.50%,12.48%,13.38%,6.82%,13.65%,11.51%,14.24%,12.28%,16.14%,14.87%
45,Revenue as Reported,139.05,140.85,102.22,105.9,124.43,115.89,70.33,75.94,118.79,117.86,76.52,451.48,-,-
