,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
16,Gain (Loss) on Sale of Assets,0.25,-0.01,-0.05,0.44,0.05,-0.04,-,0.2,0.03,0.01,-,-0.29,0.19,-0.19,-
17,Asset Writedown,-3.43,0.64,-0.65,1.9,-1.9,-0.04,0.04,3.77,-3.77,1.47,-1.47,1.22,-1.22,-0.65,0.65
18,Other Unusual Items,0.92,1.35,2.33,5.95,2.58,-2.58,-,28.61,0.03,-0.03,-,21.15,0.43,-0.43,-
19,Pretax Income,18.51,34.19,27.44,85.58,32.6,50.11,35.99,116.48,37.44,55.44,31.31,122.69,44.37,51.32,18.96
20,Income Tax Expense,4.07,-1.52,2.39,10.51,1.59,3.87,2.99,14.8,3.38,6.24,2.7,13.93,6.33,5.57,1.5
21,Earnings From Continuing Operations,14.44,35.71,25.05,75.07,31.01,46.24,33,101.68,34.06,49.2,28.61,108.76,38.04,45.75,17.45
22,Minority Interest in Earnings,-0.49,0.07,0.54,-0.17,0.15,0.31,-,-,-,-,-,-,-,0.13,0.27
23,Net Income,13.95,35.79,25.6,74.9,31.16,46.55,33,101.68,34.06,49.2,28.61,108.76,38.04,45.88,17.72
24,Net Income to Common,13.95,35.79,25.6,74.9,31.16,46.55,33,101.68,34.06,49.2,28.61,108.76,38.04,45.88,17.72
25,Net Income Growth,-55.24%,-23.12%,-22.44%,-26.34%,-8.52%,-5.39%,15.36%,-6.51%,-10.47%,7.25%,61.47%,-,-,-,-
26,Shares Outstanding (Basic),290,294,320,295,311,312,300,305,317,264,238,222,239,233,221
27,Shares Outstanding (Diluted),290,294,320,295,311,312,300,305,317,264,238,222,239,233,221
28,Shares Change (YoY),-6.60%,-5.79%,6.65%,-3.56%,-1.87%,18.33%,25.85%,37.68%,32.60%,13.24%,7.65%,-,-,-,-
29,EPS (Basic),0.05,0.12,0.08,0.25,0.10,0.15,0.11,0.33,0.11,0.19,0.12,0.49,0.16,0.20,0.08
30,EPS (Diluted),0.05,0.12,0.08,0.25,0.10,0.15,0.11,0.33,0.11,0.19,0.12,0.49,0.16,0.20,0.08
31,EPS Growth,-52.07%,-18.40%,-27.27%,-23.62%,-6.78%,-20.05%,-8.33%,-32.10%,-32.48%,-5.29%,50.00%,-,-,-,-
32,Free Cash Flow,-8.79,-220.39,-1009,842.17,-112.17,-155.91,-500.74,302.03,-78.71,-80,-455.31,430.71,-55.9,-63.44,-382.26
33,Free Cash Flow Per Share,-0.03,-0.75,-3.15,2.86,-0.36,-0.50,-1.67,0.99,-0.25,-0.30,-1.91,1.94,-0.23,-0.27,-1.73
34,Dividend Per Share,-,-,-,0.190,-,-,-,0.220,-,-,-,0.210,-,-,-
35,Dividend Growth,-,-,-,-13.64%,-,-,-,4.76%,-,-,-,-,-,-,-
36,Gross Margin,12.59%,12.85%,14.10%,16.30%,13.92%,14.56%,13.71%,15.23%,14.61%,14.99%,15.88%,15.17%,17.99%,16.10%,15.06%
37,Operating Margin,2.54%,3.21%,3.39%,5.14%,3.90%,5.17%,4.27%,5.52%,4.83%,6.19%,5.06%,6.70%,7.52%,7.11%,3.65%
38,Profit Margin,1.33%,3.04%,2.93%,4.68%,3.59%,4.46%,3.94%,6.85%,4.21%,5.32%,4.01%,6.97%,5.88%,5.87%,3.13%
39,Free Cash Flow Margin,-0.84%,-18.72%,-115.51%,52.61%,-12.91%,-14.95%,-59.74%,20.35%,-9.74%,-8.65%,-63.75%,27.61%,-8.64%,-8.11%,-67.50%
40,EBITDA,30.3,40.98,33.15,85.74,37.11,57.3,39.05,85.19,41.91,60.55,39.01,107.41,51.47,58.42,23.53
41,EBITDA Margin,2.88%,3.48%,3.79%,5.36%,4.27%,5.49%,4.66%,5.74%,5.18%,6.55%,5.46%,6.89%,7.96%,7.47%,4.16%
42,D&A For EBITDA,3.53,3.23,3.53,3.53,3.24,3.39,3.24,3.24,2.88,3.28,2.88,2.88,2.84,2.83,2.84
43,EBIT,26.77,37.75,29.62,82.21,33.87,53.91,35.8,81.94,39.03,57.27,36.12,104.53,48.63,55.59,20.69
44,EBIT Margin,2.54%,3.21%,3.39%,5.14%,3.90%,5.17%,4.27%,5.52%,4.83%,6.19%,5.06%,6.70%,7.52%,7.11%,3.65%
45,Effective Tax Rate,22.00%,-,8.71%,12.28%,4.88%,7.72%,8.31%,12.71%,9.04%,11.25%,8.63%,11.36%,14.26%,10.86%,7.94%
46,Revenue as Reported,1052,1177,873.74,1601,868.61,1043,838.19,1484,808.52,925.04,714.19,1560,646.67,781.87,566.32
