,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,P/FCF Ratio,-,-,-,-,-,-,-,27.92,-17.37,-,-10.47,-,-,-,-,-30.29,-,-,-,-
10,P/OCF Ratio,-,-,-73.64,-,33.63,-,-,10.48,66.31,-,-18.63,-,-,-,-,-232.53,-,-,-,-
11,EV/Sales Ratio,1.59,0.89,0.80,0.87,1.10,1.09,1.15,1.39,1.20,1.26,1.28,1.06,1.30,1.33,1.32,1.65,-,-,-,-
12,EV/EBITDA Ratio,27.10,16.10,14.16,14.88,19.81,17.65,20.04,23.79,15.18,15.80,13.55,10.20,12.03,10.56,10.18,12.79,-,-,-,-
13,EV/EBIT Ratio,141.37,79.00,59.67,61.29,-,68.52,86.19,-,-,28.74,22.70,15.90,18.95,15.87,14.73,18.54,-,-,-,-
14,EV/FCF Ratio,-20.65,-,-,-,-,-,-,34.17,-21.67,-,-11.70,-,-,-,-,-33.42,-,-,-,-
15,Debt / Equity Ratio,0.58,0.58,0.56,0.54,0.43,0.46,0.48,0.42,0.41,0.48,0.44,0.32,0.26,0.25,0.22,0.17,0.50,-,0.53,0.48
16,Debt / EBITDA Ratio,5.43,3.91,4.46,5.60,12.22,2.98,3.68,6.89,7.10,3.62,3.40,1.41,2.71,1.18,1.08,0.73,1.98,-,1.68,2.47
17,Debt / FCF Ratio,-,-,-,-,-,-,-,6.48,-4.35,-,-2.30,-,-,-,-,-2.15,-,-,-,11.82
18,Asset Turnover,1.14,1.01,0.95,1.20,1.16,0.97,0.80,1.03,1.21,0.93,1.20,1.49,1.18,1.08,1.19,-,-,-,-,
19,Inventory Turnover,6.65,7.11,6.51,6.17,7.66,7.01,5.51,4.22,5.63,6.37,4.51,5.59,8.10,6.76,7.49,8.09,-,-,-,-
20,Quick Ratio,1.18,1.18,1.37,1.43,1.58,1.51,1.26,0.87,0.96,0.98,0.97,1.03,1.11,1.16,1.47,1.53,0.78,-,0.78,-
21,Current Ratio,1.93,1.93,2.09,2.09,2.35,2.28,1.87,1.52,1.56,1.55,1.61,1.78,1.86,1.98,2.06,2.05,1.15,-,1.14,-
22,Return on Equity (ROE),0.09%,4.82%,1.95%,0.51%,4.91%,3.44%,-2.92%,6.17%,2.44%,-6.68%,16.47%,12.81%,8.77%,11.61%,17.20%,-,-,21.74%,-,
23,Return on Assets (ROA),2.46%,1.60%,0.60%,-1.77%,3.16%,1.77%,-0.44%,-0.64%,2.67%,2.17%,6.96%,1.33%,6.51%,6.00%,7.92%,-,-,-,-,
24,Return on Capital (ROIC),2.72%,1.76%,0.67%,-1.99%,3.57%,2.03%,-0.50%,-0.73%,2.98%,2.47%,8.02%,1.51%,7.36%,7.00%,9.53%,-,-,8.72%,-,
25,Return on Capital Employed (ROCE),1.64%,1.64%,1.91%,2.01%,-,2.07%,1.89%,-,-,7.72%,9.40%,10.78%,10.87%,12.77%,13.90%,13.77%,15.95%,-,6.53%,-
26,Earnings Yield,0.79%,1.64%,3.14%,2.30%,0.99%,1.99%,1.42%,-0.14%,2.78%,3.12%,3.87%,7.38%,5.74%,5.29%,5.51%,5.14%,-,-,-,-
27,FCF Yield,-5.96%,-12.41%,-14.31%,-13.84%,-2.69%,2.94%,1.12%,3.58%,-5.76%,-9.70%,-9.55%,-19.46%,-9.98%,-9.32%,-7.41%,-3.30%,-,-,-,-
28,Dividend Yield,0.12%,-,-,-,0.21%,-,-,-,0.29%,-,-,-,0.87%,-,-,-,-,-,-,-
29,Payout Ratio,76.95%,2168.94%,38.52%,49.96%,172.20%,30.67%,81.22%,-,-,48.16%,-,9.46%,6.09%,20.45%,54.61%,5.65%,7.69%,6.29%,6.29%,27.13%
30,Buyback Yield / Dilution,24.84%,50.59%,-32.91%,-12.81%,-38.40%,-112.70%,31.53%,9.28%,5.32%,1.79%,-1.11%,-35.77%,-33.82%,-31.49%,-45.16%,8.07%,-,-,-,-
31,Total Shareholder Return,24.96%,50.59%,-32.91%,-12.81%,-38.18%,-112.70%,31.53%,9.28%,5.61%,1.79%,-1.11%,-35.77%,-32.95%,-31.49%,-45.16%,8.07%,-,-,-,-
