,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,P/OCF Ratio,-,-,17.21,14.79,18.90,216.51,17.72,15.23,-,4.06,3.65,3.82,5.10,7.18,8.53,16.67,12.48,-,-,-,-
10,EV/Sales Ratio,3.67,2.60,3.08,1.27,2.58,3.51,2.03,0.53,1.34,0.59,0.54,0.70,1.75,2.20,2.10,4.33,5.08,-,-,-,-
11,EV/EBITDA Ratio,8.57,6.06,11.61,5.58,14.24,19.61,-44.34,-9.74,18.10,-,1.16,1.42,3.25,4.90,3.52,6.85,7.33,-,-,-,-
12,EV/EBIT Ratio,9.09,6.43,12.91,6.39,17.84,24.44,-27.16,-,23.74,-,1.18,1.43,3.26,4.93,3.54,6.89,7.36,-,-,-,-
13,EV/FCF Ratio,-,-,47.45,-6.59,-,-5.20,-,-,-,1.84,-,-,4.07,5.27,5.73,13.47,12.88,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,-,-,-,-,-
15,Debt / EBITDA Ratio,0.02,0.01,0.03,0.05,0.12,0.10,0.17,1.23,0.16,-,0.38,0.06,0.01,0.03,0.05,0.01,-,-,-,-,-
16,Debt / FCF Ratio,-,-,0.16,-0.07,-,-0.05,-,-,-,0.02,-,-,0.03,0.05,0.06,0.01,-,-,-,-,-
17,Asset Turnover,-,0.21,0.19,0.19,0.19,0.17,0.14,0.20,0.32,0.24,0.50,1.84,0.97,0.46,0.46,0.55,-,-,-,-,
18,Inventory Turnover,-,-,2.40,2.16,2.28,1.89,1.85,1.84,2.29,5.36,1.42,2.89,6.36,7.06,3.13,2.97,2.62,-,-,-,-
19,Quick Ratio,-,-,10.13,7.73,9.81,10.57,10.79,11.09,11.26,7.76,11.20,9.23,5.44,4.53,13.83,15.57,10.92,4.86,-,3.98,-
20,Current Ratio,-,-,11.02,8.43,10.72,11.53,11.77,11.98,12.01,8.20,12.59,10.35,6.23,5.14,15.02,16.58,11.61,5.75,-,4.61,-
21,Return on Equity (ROE),10.93%,7.70%,8.25%,4.65%,8.34%,3.25%,3.07%,3.85%,-16.47%,5.31%,23.31%,110.43%,36.19%,21.45%,25.12%,32.15%,-,-,251.03%,-,
22,Return on Assets (ROA),-,4.49%,2.70%,2.43%,2.09%,2.03%,-0.19%,2.41%,-7.67%,1.17%,8.23%,71.99%,20.43%,13.89%,16.58%,20.40%,-,-,-,-,
23,Return on Capital (ROIC),12.29%,4.85%,2.92%,2.60%,2.24%,2.17%,-0.20%,2.64%,-8.42%,1.27%,9.30%,85.40%,23.30%,14.75%,17.81%,22.72%,-,-,182.83%,-,
24,Return on Capital Employed (ROCE),-,-,4.99%,3.98%,2.69%,2.82%,-1.86%,-,2.04%,-,41.04%,44.12%,45.47%,25.43%,29.98%,28.45%,33.88%,82.57%,-,60.08%,-
25,Earnings Yield,5.20%,6.19%,5.35%,6.38%,4.05%,3.37%,-1.54%,-1.15%,3.17%,21.47%,28.74%,26.58%,18.59%,11.55%,14.04%,8.60%,10.87%,-,-,-,-
26,FCF Yield,-,1.02%,-4.03%,-5.37%,-9.49%,-5.61%,-3.02%,-1.56%,19.76%,22.75%,22.33%,17.69%,11.82%,10.00%,5.14%,7.29%,-,-,-,-,
27,Dividend Yield,1.97%,-,-,6.50%,-,2.30%,-,-,-,11.17%,-,-,-,3.91%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,89.79%,63.43%,-,0.02%,-,1724.94%,-,-,-,84.96%,-,-,-,61.32%,-,-,-,-,-
29,Buyback Yield / Dilution,-0.12%,-0.54%,0.88%,-0.17%,-0.64%,0.53%,-0.73%,0.10%,0.40%,-4.97%,5.93%,1.15%,-33.47%,-26.28%,-41.20%,-33.82%,0.49%,-,-,-,-
30,Total Shareholder Return,1.85%,-0.54%,0.88%,6.34%,-0.64%,2.84%,-0.73%,0.10%,0.40%,6.20%,5.93%,1.15%,-33.47%,-22.38%,-41.20%,-33.82%,0.49%,-,-,-,-
