,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
15,Long-Term Deferred Tax Assets,4.8,3.82,4.09,3.33,2.2,1.75,2.95,1.61,1.15,1.24,0.93,0.48,-,-,-
16,Long-Term Deferred Charges,30.96,31.21,27.51,24.35,23.66,23.27,17.96,11.41,8.33,8.08,8.73,8.71,-,-,-
17,Other Long-Term Assets,206.1,204.77,128.03,126.55,278.73,137.36,118.19,256.14,173.98,3.61,26.21,12.8,-,-,-
18,Total Assets,4236,4153,3921,3799,3689,3525,3421,2941,2606,2422,2366,1257,-,-,-
19,Accounts Payable,123.04,120.43,131.66,87.91,85.62,70.74,109.57,55.14,46.99,49.18,58.87,19.27,-,-,-
20,Accrued Expenses,22.54,27.31,16.54,29.99,28.91,26.41,20.92,22.94,18.38,15.92,13.76,15.18,-,-,-
21,Short-Term Debt,143.83,132.91,70.26,17.1,-,0.04,-,-,-,-,-,9.91,-,-,-
22,Current Portion of Long-Term Debt,323.71,338.07,365.74,340.67,275.94,237.09,222.83,198.88,139.01,100.6,93.07,73.87,-,-,-
23,Current Portion of Leases,-,1.89,-,-,-,1.1,-,-,-,-,-,-,-,-,-
24,Current Income Taxes Payable,36.18,29.1,28.32,24.82,18.3,15.08,25.61,17.43,23.5,19.21,18.24,20.88,-,-,-
25,Current Unearned Revenue,4.73,4.56,15.26,20.98,17.32,9.87,7.33,4.64,-,-,-,-,-,-,-
26,Other Current Liabilities,7.7,120.15,3.2,48.66,0.2,17.9,3.9,23.99,0.2,63.01,4.51,15.49,-,-,-
27,Total Current Liabilities,661.73,774.41,630.97,570.13,426.29,378.22,390.17,323.02,228.08,247.92,188.44,154.61,-,-,-
28,Long-Term Debt,824.57,795.05,769.19,771.49,761.91,683.33,612.94,584.15,390.12,239.41,267.07,231.44,-,-,-
29,Long-Term Leases,0.8,1.01,1.35,1.55,2.13,0.65,0.94,-,-,-,-,-,-,-,-
30,Long-Term Deferred Tax Liabilities,17.17,17.9,18.76,19.35,20.13,20.84,21.65,-,0.47,0.51,0.56,0.6,-,-,-
31,Other Long-Term Liabilities,49.4,-,-,-,189.12,190.21,181.88,-,-,-,-,-,-,-,-
32,Total Liabilities,1554,1588,1420,1363,1400,1273,1208,907.17,618.66,487.84,456.07,386.65,-,-,-
33,Common Stock,280,280,280,280,280,280,200,200,200,200,200,150,-,-,-
34,Additional Paid-In Capital,1221,1252,1252,1252,1252,1252,1332,1332,1332,1332,1332,391.71,-,-,-
35,Retained Earnings,963.88,866.24,804.76,727.31,657.21,612.18,582.13,505.12,455.72,401.81,377.82,328.87,-,-,-
36,Treasury Stock,-4.23,-65.69,-63.72,-48.37,-,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,-13.24,-0.52,-3.45,-4.13,-6.3,3.48,-4.77,-3.05,-,-,-,-,-,-,-
38,Total Common Equity,2448,2332,2270,2207,2183,2148,2109,2034,1988,1934,1910,870.58,-,-,671.5
39,Minority Interest,234.94,232.91,231.22,229.48,106.22,104.41,104.08,-,-,-,-,-,-,-,-
40,Shareholders' Equity,2683,2565,2501,2436,2289,2252,2213,2034,1988,1934,1910,870.58,-,-,671.5
41,Total Liabilities & Equity,4236,4153,3921,3799,3689,3525,3421,2941,2606,2422,2366,1257,-,-,-
42,Total Debt,1293,1269,1207,1131,1040,922.2,836.71,783.03,529.13,340.01,360.14,315.22,-,-,318.41
43,Net Cash (Debt),-823.53,-753.08,-716.06,-681.04,-456.36,-198.06,-167.02,-97.89,640.56,896.45,845.36,-76.54,-,-,-147.77
44,Net Cash Per Share,-3.04,-2.71,-2.59,-2.43,-1.62,-0.70,-0.61,-0.36,2.28,3.17,4.07,-0.37,-,-,-0.69
45,Filing Date Shares Outstanding,270.79,275.8,275.93,275.93,280,280,280,280,280,280,280,210,210.5,208.14,213.18
46,Total Common Shares Outstanding,270.79,275.8,275.93,277.06,280,280,280,280,280,280,280,210,210.5,208.14,213.18
47,Working Capital,-1.13,-73.42,105.55,115.26,383.61,589.15,604.15,720.1,1091,1121,1147,169.6,-,-,-
48,Book Value Per Share,9.04,8.46,8.23,7.96,7.80,7.67,7.53,7.26,7.10,6.91,6.82,4.15,-,-,3.20
49,Tangible Book Value,2399,2283,2221,2157,2135,2099,2061,2033,1987,1933,1909,869.55,-,-,670.54
50,Tangible Book Value Per Share,8.86,8.28,8.05,7.79,7.62,7.50,7.36,7.26,7.10,6.90,6.82,4.14,-,-,3.19
51,Buildings,-,24.38,-,24.38,-,24.38,-,10.19,-,10.19,-,10.19,-,-,-
52,Machinery,-,3207,-,2885,-,2801,-,1724,-,1176,-,984.36,-,-,-
53,Construction In Progress,-,358,-,359.42,-,192.09,-,167.75,-,135.67,-,171.02,-,-,-
