,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
12,Interest & Investment Income,2.18,2.4,2.96,0.97,0.84,0.18,0.6,1.06,0.12,0.16,0.16,0.17
13,Currency Exchange Gain (Loss),13.32,-13.32,-,14.44,-16.01,16.01,-,5.25,-1.42,0.71,0.71,-0.95
14,Other Non Operating Income (Expenses),-31.25,-3.91,3.39,-12.49,12.49,-5.64,4.75,-7.57,7.29,0.54,0.54,0.01
15,EBT Excluding Unusual Items,8.38,25.09,23.47,24.36,17.84,25.39,19.78,10.99,43.26,18.22,18.22,21.46
16,Gain (Loss) on Sale of Investments,-0.18,0.78,0.29,1.73,0.01,0.01,0.01,0.21,0.24,0.01,0.01,0.11
17,Gain (Loss) on Sale of Assets,-,0.1,-0.03,0.04,0,-,-,0.06,0.01,-0.01,-0.01,-0.05
18,Asset Writedown,-2.45,-0.15,0.03,-0.48,0.47,1.25,-1.27,3.85,-4.22,-0.44,-0.44,-0.01
19,Other Unusual Items,1.66,-1.14,3.28,2.03,0,-0,-,10.13,-5.67,2.84,2.84,2.34
20,Pretax Income,7.42,24.69,27.04,27.68,18.32,26.65,18.51,25.24,33.62,20.61,20.61,23.84
21,Income Tax Expense,2.39,3.01,3.72,4.13,-1.22,4.25,2.37,2.64,4.72,2.36,2.36,3.98
22,Earnings From Continuing Operations,5.03,21.68,23.32,23.55,19.53,22.4,16.14,22.61,28.91,18.25,18.25,19.86
23,Minority Interest in Earnings,0.6,0.92,0.49,0.42,0.52,0.68,0.91,0.58,0.91,0.63,0.63,0.71
24,Net Income,5.63,22.6,23.81,23.97,20.05,23.07,17.05,23.19,29.82,18.88,18.88,20.57
25,Net Income to Common,5.63,22.6,23.81,23.97,20.05,23.07,17.05,23.19,29.82,18.88,18.88,20.57
26,Net Income Growth,-71.93%,-2.08%,39.62%,3.38%,-32.76%,22.21%,-9.68%,12.70%,-,-,-,-
27,Shares Outstanding (Basic),87,84,85,85,63,64,64,63,63,64,64,64
28,Shares Outstanding (Diluted),87,84,85,85,63,64,64,63,63,64,64,64
29,Shares Change (YoY),39.13%,31.63%,33.30%,34.93%,-0.37%,-0.38%,-0.58%,-2.06%,-,-,-,-
30,EPS (Basic),0.06,0.27,0.28,0.28,0.32,0.36,0.27,0.37,0.47,0.29,0.29,0.32
31,EPS (Diluted),0.06,0.27,0.28,0.28,0.32,0.36,0.27,0.37,0.47,0.29,0.29,0.32
32,EPS Growth,-79.82%,-25.61%,4.74%,-23.38%,-32.51%,22.68%,-9.15%,15.07%,-,-,-,-
33,Free Cash Flow,-41.1,-76.45,-36.59,11.34,-3.4,-13.55,-61.71,-24.89,8.21,-1.35,-1.35,-6.34
34,Free Cash Flow Per Share,-0.47,-0.91,-0.43,0.13,-0.05,-0.21,-0.97,-0.40,0.13,-0.02,-0.02,-0.10
35,Dividend Per Share,-,-,-,0.300,-,-,-,-,-,-,-,0.157
36,Gross Margin,22.82%,24.26%,25.64%,23.75%,26.03%,24.94%,27.82%,25.97%,34.34%,28.06%,28.06%,28.88%
37,Operating Margin,7.36%,11.86%,6.60%,7.44%,8.67%,7.11%,8.56%,6.87%,20.13%,11.51%,11.51%,12.29%
38,Profit Margin,1.68%,6.55%,9.15%,7.77%,8.40%,10.34%,9.49%,11.77%,15.60%,12.38%,12.38%,10.99%
39,Free Cash Flow Margin,-12.26%,-22.15%,-14.05%,3.67%,-1.42%,-6.07%,-34.35%,-12.63%,4.29%,-0.89%,-0.89%,-3.39%
40,EBITDA,36.35,56.41,28.87,34.64,28.82,26.49,23.51,21.67,46.72,25.8,25.8,30.56
41,EBITDA Margin,10.85%,16.35%,11.09%,11.22%,12.07%,11.87%,13.09%,11.00%,24.44%,16.91%,16.91%,16.32%
42,D&A For EBITDA,11.69,15.47,11.69,11.69,8.13,10.62,8.13,8.13,8.24,8.24,8.24,7.56
43,EBIT,24.67,40.94,17.18,22.96,20.69,15.87,15.38,13.54,38.48,17.56,17.56,23
44,EBIT Margin,7.36%,11.86%,6.60%,7.44%,8.67%,7.11%,8.56%,6.87%,20.13%,11.51%,11.51%,12.29%
45,Effective Tax Rate,32.19%,12.18%,13.75%,14.92%,-,15.96%,12.80%,10.44%,14.04%,11.45%,11.45%,16.69%
46,Revenue as Reported,335.16,345.11,260.36,308.67,238.78,223.14,179.65,197.04,191.2,152.54,152.54,187.2
