,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
42,Net Cash Growth,-46.99%,-,-,-,-,-,-,-,-,-,-,-
43,Net Cash Per Share,3.63,4.05,4.62,6.37,9.52,-1.72,-0.51,-0.51,-,-,0.08,0.08
44,Filing Date Shares Outstanding,84.84,84.84,84.84,84.84,84.84,63.63,63.63,63.63,62.88,64,64,63.63
45,Total Common Shares Outstanding,84.84,84.84,84.84,84.84,84.84,63.63,63.63,63.63,62.88,64,64,63.63
46,Working Capital,557.44,598.23,642.03,724.65,807.35,158.47,-,190.19,-,-,-,204.76
47,Book Value Per Share,14.64,14.65,14.77,14.47,14.13,7.77,7.03,7.03,-,-,5.67,5.67
48,Tangible Book Value,1217,1218,1228,1203,1183,477.84,430.94,430.94,-,-,359.39,359.39
49,Tangible Book Value Per Share,14.35,14.36,14.48,14.18,13.94,7.51,6.77,6.77,-,-,5.65,5.65
50,Land,-,18.73,-,-,-,-,-,-,-,-,-,-
51,Buildings,-,65.05,-,65.05,-,-,-,-,-,-,-,-
52,Machinery,-,411.78,-,408.59,-,301.84,-,217.77,-,-,-,178.1
53,Construction In Progress,-,140.11,-,62.11,-,162.11,-,117.26,-,-,-,26.78
