,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
20,Short-Term Debt,51.77,51.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,Current Portion of Leases,16.03,24.83,33.73,42.09,47.78,61.02,60.64,53.19,51.34,51.59,52.34,40.53,29.5,24.36,23.9,2.89,3.86,-,-,22.75
22,Current Income Taxes Payable,15.09,16.97,16.33,21.39,14.62,29.03,21.29,25.98,27.58,35.48,17.92,66.18,21.15,29.53,4.09,7.07,3.8,-,-,7.05
23,Current Unearned Revenue,278.74,283.47,310.31,303.57,359.33,378.28,377.64,355.63,376.88,269.93,257.85,239.76,253.99,201.65,180.74,160,136.01,-,-,107.13
24,Other Current Liabilities,148.58,100.24,165.87,107.53,238.98,229.4,174.4,114.69,214.51,216.55,124.16,68.78,121.34,110.33,111.7,27.32,38.38,-,-,16.82
25,Total Current Liabilities,1638,1680,1892,1945,1912,2091,1941,1825,1917,2116,1874,1898,1603,1423,1234,1015,856.57,-,-,763.04
26,Long-Term Leases,2.63,2.07,2.86,3.64,3.66,19.76,33.62,43.37,54.15,66.85,80.26,82.13,62.23,52.68,49.11,-,0.54,-,-,2.89
27,Long-Term Deferred Tax Liabilities,7.43,8.03,21.51,22.57,23.64,24.71,11.03,11.63,12.23,12.83,13.43,14.03,11.03,-,-,-,-,-,-,-
28,Other Long-Term Liabilities,15,18.25,111.66,121.96,127.49,153.08,89.15,82.13,78.51,84.32,76.33,73.14,45,-,-,-,-,-,-,-
29,Total Liabilities,1664,1708,2028,2094,2066,2288,2075,1962,2062,2280,2044,2067,1722,1476,1283,1015,857.1,-,-,765.93
30,Common Stock,4289,0.23,4393,0.24,4894,0.25,5480,0.25,5886,6070,6350,0.24,7011,7115,7413,0.05,0.05,-,-,0.05
31,Additional Paid-In Capital,-,13372,-,13487,-,13635,-,13615,-,-,-,13350,-,-,-,-,-,-,-,-
32,Retained Earnings,-,-8954,-,-8708,-,-8323,-,-7862,-,-,-,-6281,-,-,-,-4949,-4755,-,-,-3940
33,Treasury Stock,-,-100.57,-,-161.64,-,-69.8,-,-33.81,-,-,-,-,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,-,-6.07,-,-17.87,-,28.63,-,-65.81,-,-,-,-339.12,-,-,-,-195.93,-106.2,-,-,-52.6
35,Total Common Equity,4289,4312,4393,4600,4894,5271,5480,5654,5886,6070,6350,6731,7011,7115,7413,-5144,-4862,-,-3992,-3992
36,Minority Interest,56.01,87.91,114.24,101.8,87.74,74.09,52.07,40.57,31.29,15.69,11.59,7.5,3.4,-,-,-,-,-,-,-
37,Shareholders' Equity,4345,4400,4508,4702,4982,5345,5532,5694,5917,6086,6361,6738,7014,7115,7413,2747,2860,-,3218,3218
38,Total Liabilities & Equity,6009,6108,6535,6795,7048,7634,7607,7656,7980,8365,8405,8805,8736,8591,8696,3761,3717,-,-,3984
39,Total Debt,70.44,78.68,36.59,45.73,51.44,80.78,94.26,96.56,105.49,118.44,132.6,122.66,91.73,77.03,73.02,2.89,4.4,-,25.64,25.64
40,Net Cash (Debt),4926,4931,5180,5417,5603,6078,6163,6165,6519,5731,6704,7090,6682,5669,7723,3094,3224,-,3518,3518
41,Net Cash Growth,-12.08%,-18.87%,-15.95%,-12.13%,-14.06%,6.05%,-8.06%,-13.04%,-2.44%,1.10%,-13.20%,129.15%,107.25%,-,119.53%,-12.06%,-,-,-,-
42,Net Cash Per Share,53.29,52.98,55.20,55.84,56.45,59.96,60.58,60.71,63.78,55.98,66.93,71.64,67.91,57.90,324.07,139.70,147.03,-,164.95,167.19
43,Filing Date Shares Outstanding,92.44,95.47,93.85,98.15,99.25,101.36,101.75,106.35,102.21,106.14,100.16,99.69,98.39,97.91,23.83,19.77,19.92,21.63,21.33,19.6
44,Total Common Shares Outstanding,92.44,95.47,93.85,98.15,99.25,101.36,101.75,106.35,102.21,106.14,100.16,99.69,98.39,97.91,23.83,19.77,19.6,21.63,21.33,19.6
45,Working Capital,4111,4157,4234,4432,4710,5069,5309,5495,5711,5074,6217,6436,6722,6291,7167,2706,2815,-,-,3139
46,Book Value Per Share,46.40,45.17,46.81,46.86,49.31,52.01,53.86,53.16,57.59,57.19,63.39,67.52,71.25,72.66,311.07,-260.22,-248.01,-,-203.66,-203.66
47,Tangible Book Value,4105,4124,4085,4286,4577,4949,5277,5447,5674,5938,6213,6589,6901,7097,7392,-5168,-4888,-,-4027,-4027
48,Tangible Book Value Per Share,44.41,43.20,43.53,43.67,46.11,48.82,51.86,51.22,55.52,55.95,62.03,66.09,70.13,72.48,310.20,-261.41,-249.35,-,-205.44,-205.44
49,Machinery,-,24.77,-,25.77,-,-,-,23.95,-,-,-,22.65,-,-,-,18.74,19.35,-,-,22.09
50,Leasehold Improvements,-,20.38,-,19.38,-,-,-,14.02,-,-,-,13.7,-,-,-,10.08,9.9,-,-,9.9
