,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
10,Total Current Assets,1575,1567,1645,1587,1513,807.53,813,767.77,767.31,795.29,739.68,736.53,708.93,702.36,769.94,570.62,-,-,-,501.66
11,"Property, Plant & Equipment",107.75,93.35,92.88,95.98,89.76,91.36,90.66,90.98,43.3,39.24,40.68,43.74,40.72,38.51,39.06,27.68,-,-,-,28.89
12,Long-Term Investments,0.02,0.02,0.02,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,0.53,0.51,0.57,0.64,0.81,1,1.22,1.48,1.58,1.84,2.1,2.27,2.39,2.38,2.37,2.6,-,-,-,3.1
14,Long-Term Deferred Tax Assets,1.83,2.02,2.11,1.81,1.92,1.29,1.73,1.18,1.82,1.88,1.93,1.92,1.88,1.9,1.86,2.01,-,-,-,2.54
15,Long-Term Deferred Charges,9.05,5.14,4.89,5.22,4.66,1.86,1.62,2.51,3.23,3.88,4.56,5.62,5.27,3.43,2.54,3.38,-,-,-,3.84
16,Other Long-Term Assets,105,50,-,-,7.22,7.22,7.2,7.2,59.52,59.52,59.52,59.65,59.52,59.52,-,-,-,-,-,-
17,Total Assets,1799,1718,1746,1691,1617,910.26,915.44,871.12,876.75,901.65,848.47,849.73,818.71,808.1,815.77,606.29,-,-,-,540.03
18,Accounts Payable,20.58,14.42,36.92,21.54,19.21,14.43,19.91,16.44,15.19,39.18,15.9,36.98,26.39,31.86,28.77,26.23,-,-,-,26.8
19,Accrued Expenses,10.93,12.7,7.5,18.71,10.15,12.55,6.17,10.2,7.75,21.48,7.1,15.03,6.02,11.16,6.54,21.15,-,-,-,14.67
20,Short-Term Debt,105,64,59,50,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-
21,Current Portion of Leases,14.38,9.83,8.94,10.84,9.83,9.51,8.7,9.08,8.53,6.97,8.11,8.79,0.49,0.25,-,-,-,-,-,-
22,Current Income Taxes Payable,17.07,7.18,15.66,3.47,15.04,6.75,13.72,2.43,14.78,6.88,11.64,4.98,9.23,8.08,21.24,7.32,-,-,-,8.64
23,Current Unearned Revenue,0.37,2.5,2.36,6.32,2.37,2.31,3.03,2.38,3.08,3.03,2.24,3.35,3.07,3.21,4.81,2.04,-,-,-,3.86
24,Other Current Liabilities,21.25,21.96,23.25,19.46,15.96,18.8,21.47,15.79,16.29,12.12,14.37,13.71,12.17,11.71,13.25,10.63,-,-,-,10.79
25,Total Current Liabilities,189.59,132.59,153.63,130.33,72.56,64.35,72.99,56.31,65.63,114.66,59.35,82.83,57.37,66.26,74.6,67.37,-,-,-,64.75
26,Long-Term Leases,12.08,2.98,2.75,3.4,4.04,3.85,3.67,4.76,5.34,2.74,2.66,4.48,11.28,9.93,10.85,-,-,-,-,-
27,Long-Term Deferred Tax Liabilities,0.01,0.01,0.03,0.03,0.07,0.07,0.01,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,-,-,-,0.03
28,Other Long-Term Liabilities,-,3.48,3.48,3.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,Total Liabilities,201.68,139.06,159.89,137.25,76.67,68.26,76.67,61.25,70.97,117.41,62.02,87.32,68.67,76.21,85.48,67.39,-,-,-,64.78
30,Common Stock,261.95,261.95,261.95,261.95,261.95,204.58,204.58,204.58,204.58,204,204,204,204,204,204,153,-,-,-,153
31,Additional Paid-In Capital,778.37,780.42,780.06,779.7,779.46,155.54,154.33,153.29,152.92,145.82,142.94,139.49,136.09,134.9,134.9,17.88,-,-,-,17.88
32,Retained Earnings,554.93,534.59,542.03,509.81,498.22,480.7,478.54,451.41,447.43,433.24,439.51,418.92,409.96,392.99,391.4,368.02,-,-,-,304.37
33,Total Common Equity,1595,1577,1584,1551,1540,840.82,837.45,809.28,804.93,783.06,786.45,762.42,750.04,731.89,730.3,538.9,-,-,475.25,475.25
34,Minority Interest,2.55,2.48,2.02,2.03,1.18,1.18,1.31,0.59,0.85,1.18,-,-,-,-,-,-,-,-,-,-
35,Shareholders' Equity,1598,1579,1586,1553,1541,841.99,838.77,809.87,805.78,784.24,786.45,762.42,750.04,731.89,730.3,538.9,-,-,475.25,475.25
36,Total Liabilities & Equity,1799,1718,1746,1691,1617,910.26,915.44,871.12,876.75,901.65,848.47,849.73,818.71,808.1,815.77,606.29,-,-,-,540.03
37,Total Debt,131.46,76.8,70.7,64.23,13.86,13.36,12.37,13.84,13.87,34.71,10.77,13.26,11.77,10.18,10.85,-,-,-,-,-
38,Net Cash (Debt),805.98,852.4,927.08,908.52,847.09,226.38,232.5,210.72,198.74,245.53,178.81,211.89,207.51,250.92,240.18,180.86,-,-,103.82,103.82
39,Net Cash Growth,-4.85%,276.53%,298.74%,331.15%,326.24%,-7.80%,30.03%,-0.55%,-4.23%,-2.15%,-25.55%,17.16%,-,-,131.33%,74.20%,-,-,-,-
40,Net Cash Per Share,2.86,3.45,3.45,3.45,3.32,1.11,1.14,1.10,0.92,1.14,0.87,1.04,1.02,1.55,1.13,1.23,-,-,0.65,0.68
41,Filing Date Shares Outstanding,261.95,261.95,261.95,261.95,261.95,204.58,204.58,204.58,204.58,204,204,204,204,204,204,204,153,147.41,158.6,153
42,Total Common Shares Outstanding,261.95,261.95,261.95,261.95,261.95,204.58,204.58,204.58,204.58,204,204,204,204,204,204,153,153,147.41,158.6,153
43,Working Capital,1386,1435,1492,1457,1441,743.18,740.01,711.45,701.68,680.64,680.33,653.7,651.56,636.1,695.33,503.25,-,-,-,436.91
44,Book Value Per Share,6.09,6.02,6.05,5.92,5.88,4.11,4.09,3.96,3.93,3.84,3.86,3.74,3.68,3.59,3.58,3.52,-,-,3.11,3.11
45,Tangible Book Value,1595,1576,1583,1551,1539,839.82,836.24,807.79,803.35,781.22,784.35,760.15,747.65,729.51,727.92,536.3,-,-,472.15,472.15
46,Tangible Book Value Per Share,6.09,6.02,6.04,5.92,5.87,4.11,4.09,3.95,3.93,3.83,3.84,3.73,3.66,3.58,3.57,3.51,-,-,3.09,3.09
47,Buildings,-,87.38,-,87.19,-,80.58,-,79.14,-,31.14,-,31.14,-,31.14,-,31.14,-,-,-,31.14
48,Machinery,-,11.74,-,11.75,-,11.47,-,11.31,-,11.26,-,11.52,-,10.85,-,10.5,-,-,-,10.32
49,Construction In Progress,-,0.39,-,-,-,1.55,-,0.14,-,-,-,-,-,-,-,-,-,-,-,-
