,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
32,Total Liabilities,-,895.82,894.04,915.64,943,963.56,805.49,907.53,850.83,851.9,836.04,1101,1291,993.16,734.81,-,616.82,493.95
33,Common Stock,-,418.3,418.3,418.3,418.3,418.3,418.3,418.3,418.3,418.3,418.3,418.3,376.47,376.47,376.47,-,376.47,376.47
34,Additional Paid-In Capital,-,10680,10641,10601,10561,10550,10550,10550,10550,10549,10549,10541,4045,4045,4023,-,4023,4007
35,Retained Earnings,-,-4437,-4289,-4150,-4025,-3945,-3855,-3715,-3519,-3453,-3355,-3300,-3267,-3162,-3049,-,-2678,-2467
36,Treasury Stock,-,-814.83,-767.7,-685.66,-639.61,-593.02,-269.39,-23.1,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,-,28.04,40.38,33.28,40.35,50.39,56.44,22.4,22.26,30.63,1.15,-16.34,-22.55,-15.44,-17.05,-,-13.74,-1.5
38,Shareholders' Equity,5875,5875,6043,6217,6356,6481,6901,7254,7472,7545,7613,7644,1131,1244,1333,-,1707,1915
39,Total Liabilities & Equity,-,6771,6937,7133,7299,7445,7706,8161,8323,8397,8449,8745,2422,2237,2067,-,2324,2408
40,Total Debt,146.14,146.14,239.01,138.23,47.61,51.6,55.68,48.27,54.14,73.75,98.72,295.07,495.99,351.51,85.48,-,-,-
41,Net Cash (Debt),3396,3396,3464,4104,4405,4543,5150,5824,6093,6323,6403,6631,22.84,-9.89,370.12,-,978.12,1097
42,Net Cash Growth,-22.92%,-25.25%,-32.72%,-29.53%,-27.70%,-28.16%,-19.57%,-12.17%,26576.63%,-,1629.90%,-,-97.66%,-,-,-,-,-
43,Net Cash Per Share,8.48,8.27,8.44,10.16,10.57,11.31,10.64,16.37,14.91,15.76,14.70,16.43,0.06,-0.03,0.98,-,2.59,3.43
44,Filing Date Shares Outstanding,400.32,410.67,406.26,408.46,409.3,401.79,414.38,417.95,418.3,418.3,418.3,418.3,376.47,376.47,376.47,372.97,376.47,376.47
45,Total Common Shares Outstanding,400.32,410.67,406.26,408.46,409.3,401.79,414.38,417.95,418.3,418.3,418.3,418.3,376.47,376.47,376.47,372.97,376.47,376.47
46,Working Capital,-,4841,4953,5473,5600,5751,6282,6761,6993,7084,7221,7216,684.22,757.07,889.7,-,1301,1506
47,Book Value Per Share,14.31,14.31,14.87,15.22,15.53,16.13,16.65,17.36,17.86,18.04,18.20,18.27,3.01,3.30,3.54,-,4.54,5.09
48,Tangible Book Value,5538,5538,5663,5951,6078,6190,6585,6922,7140,7187,7265,7282,745.88,870.03,942.4,-,1301,1496
49,Tangible Book Value Per Share,13.49,13.49,13.94,14.57,14.85,15.41,15.89,16.56,17.07,17.18,17.37,17.41,1.98,2.31,2.50,-,3.46,3.97
50,Buildings,-,-,2.66,-,2.66,-,2.66,-,2.66,-,-,-,-,-,-,-,-,-
51,Machinery,-,-,325.85,-,302.91,-,310.24,-,286.78,-,267.4,-,233.72,227.76,221.11,-,178.37,165.7
