,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
24,Net Income,-274.29,-147.76,-139.42,-125.29,-79.5,-90.35,-140.25,-195.72,-65.42,-97.97,-55.83,-32.29,-105.41,-112.44,-188.79,-182.76,-210.87,-1865
25,Net Income to Common,-274.29,-147.76,-139.42,-125.29,-79.5,-90.35,-140.25,-195.72,-65.42,-97.97,-55.83,-32.29,-105.41,-112.44,-188.79,-182.76,-210.87,-1865
26,Shares Outstanding (Basic),400,411,410,404,417,402,484,356,409,401,436,404,376,375,378,373,377,320
27,Shares Outstanding (Diluted),400,411,410,404,417,402,484,356,409,401,436,404,376,375,378,373,377,320
28,Shares Change (YoY),-3.93%,2.21%,-15.23%,13.57%,1.97%,0.11%,11.13%,-11.84%,8.66%,7.04%,15.35%,8.22%,-0.26%,17.17%,-,-,-,-
29,EPS (Basic),-0.69,-0.36,-0.34,-0.31,-0.19,-0.22,-0.29,-0.55,-0.16,-0.24,-0.13,-0.08,-0.28,-0.30,-0.50,-0.49,-0.56,-5.83
30,EPS (Diluted),-0.69,-0.36,-0.34,-0.31,-0.19,-0.22,-0.29,-0.55,-0.16,-0.24,-0.13,-0.08,-0.28,-0.30,-0.50,-0.49,-0.56,-5.83
31,Free Cash Flow,-,13.44,-369.22,-258.54,-64.94,-140.02,-332.58,-262.72,-158.3,-123.51,-260.03,68.51,45.53,-371.62,-262.49,-274.34,-111.71,-205.37
32,Free Cash Flow Per Share,-,0.03,-0.90,-0.64,-0.16,-0.35,-0.69,-0.74,-0.39,-0.31,-0.60,0.17,0.12,-0.99,-0.70,-0.74,-0.30,-0.64
33,Gross Margin,329.74%,25.43%,21.01%,23.79%,18.48%,28.64%,19.91%,24.54%,28.19%,42.19%,31.42%,37.99%,31.71%,34.94%,19.42%,16.29%,15.66%,33.34%
34,Operating Margin,124.62%,-10.35%,-17.81%,-19.40%,-22.92%,-9.03%,-31.80%,-57.21%,-29.20%,-18.82%,-22.53%,-7.99%,-18.38%,-19.69%,-36.68%,-43.84%,-56.68%,-753.44%
35,Profit Margin,-32.42%,-16.71%,-16.90%,-15.09%,-10.52%,-11.48%,-21.63%,-47.94%,-11.74%,-19.48%,-10.68%,-5.79%,-14.97%,-20.33%,-41.45%,-43.10%,-56.35%,-747.81%
36,Free Cash Flow Margin,-,1.52%,-44.75%,-31.14%,-8.59%,-17.79%,-51.28%,-64.35%,-28.41%,-24.56%,-49.74%,12.29%,6.46%,-67.19%,-57.63%,-64.70%,-29.85%,-82.35%
37,EBITDA,1096,-50.04,-106.19,-119.61,-131.79,-29.62,-163.35,-192.08,-121.21,-55.33,-76.61,-5.2,-86.07,-65.71,-133.46,-155.38,-178.25,-1850
38,EBITDA Margin,129.52%,-5.66%,-12.87%,-14.41%,-17.44%,-3.76%,-25.19%,-47.05%,-21.76%,-11.00%,-14.66%,-0.93%,-12.22%,-11.88%,-29.30%,-36.65%,-47.63%,-
39,D&A For EBITDA,41.47,41.47,40.71,41.47,41.47,41.47,42.87,41.47,41.47,39.32,41.17,39.32,43.39,43.22,33.61,30.52,33.88,28.76
40,EBIT,1054,-91.51,-146.9,-161.08,-173.26,-71.09,-206.21,-233.55,-162.68,-94.65,-117.78,-44.52,-129.46,-108.93,-167.07,-185.9,-212.13,-1879
41,EBIT Margin,124.62%,-10.35%,-17.81%,-19.40%,-22.92%,-9.03%,-31.80%,-57.21%,-29.20%,-18.82%,-22.53%,-7.99%,-18.38%,-19.69%,-36.68%,-43.84%,-56.68%,-
42,Revenue as Reported,-,884.45,825.05,830.13,755.82,787.28,648.56,408.25,557.17,502.83,522.72,557.47,704.33,553.11,455.46,424,1081,-
