,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
29,Shares Outstanding (Diluted),89,88,88,89,90,88,83,66,133,1,68,67
30,Shares Change (YoY),-1.21%,-0.23%,6.80%,33.92%,-32.38%,9296.36%,22.08%,-0.58%,-,-,-,-
31,EPS (Basic),1.26,-0.05,-0.51,-0.24,1.05,-0.06,-0.15,-0.29,0.77,-12.65,-0.32,-0.22
32,EPS (Diluted),1.26,-0.05,-0.51,-0.24,1.05,-0.06,-0.15,-0.29,0.77,-12.65,-0.32,-0.22
33,EPS Growth,20.06%,-,-,-,37.18%,-,-,-,-,-,-,-
34,Free Cash Flow,-,-40.5,-54.37,-38.44,23.69,-10.39,-25.96,-79.3,48.19,-35.67,-17.55,-25.27
35,Free Cash Flow Per Share,-,-0.46,-0.61,-0.43,0.26,-0.12,-0.31,-1.20,0.36,-38.09,-0.26,-0.38
36,Dividend Per Share,-,-,0.064,-,0.260,-,-,-,0.069,-,-,-
37,Dividend Growth,-,-,-,-,275.07%,-,-,-,-,-,-,-
38,Gross Margin,115.93%,50.35%,28.76%,43.76%,70.08%,74.08%,65.03%,33.98%,69.07%,22.90%,45.88%,30.37%
39,Operating Margin,54.18%,-83.93%,-290.75%,-99.24%,32.25%,-45.46%,-167.22%,-331.73%,37.06%,-60.28%,-282.81%,-249.62%
40,Profit Margin,37.61%,-13.56%,-227.10%,-66.75%,35.30%,-16.49%,-87.32%,-273.23%,44.40%,-52.72%,-246.87%,-207.35%
41,Free Cash Flow Margin,-,-130.22%,-273.38%,-120.63%,8.84%,-33.67%,-180.86%,-1110.47%,20.98%,-158.74%,-200.74%,-354.09%
42,EBITDA,162.91,-24.86,-56.01,-30.38,87.68,-9.83,-19.62,-19.48,89.35,-10.18,-20.54,-14.46
43,EBITDA Margin,54.60%,-79.93%,-281.64%,-95.33%,32.71%,-31.83%,-136.69%,-272.81%,38.90%,-45.32%,-234.99%,-202.53%
44,D&A For EBITDA,1.24,1.24,1.81,1.24,1.24,4.21,4.38,4.21,4.21,3.36,4.18,3.36
45,EBIT,161.66,-26.1,-57.82,-31.62,86.43,-14.03,-24,-23.69,85.14,-13.54,-24.72,-17.82
46,EBIT Margin,54.18%,-83.93%,-290.75%,-99.24%,32.25%,-45.46%,-167.22%,-,37.06%,-60.28%,-282.81%,-249.62%
47,Effective Tax Rate,14.48%,-,-,-,8.99%,-,-,-,12.14%,-,-,-
48,Revenue as Reported,-,31.1,19.89,31.86,268.02,30.87,14.35,7.14,229.7,22.47,8.74,7.14
