,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
26,EPS (Basic),0.16,0.16,0.15,0.14,0.12,0.16,0.15,0.09,0.10,0.35,0.29,0.27,0.23,0.36,0.27
27,EPS (Diluted),0.16,0.16,0.15,0.14,0.12,0.16,0.15,0.09,0.10,0.35,0.29,0.27,0.23,0.36,0.25
28,EPS Growth,34.05%,-0.06%,0%,51.90%,18.80%,-54.31%,-48.28%,-65.87%,-56.37%,-2.68%,16.00%,-,-,-,-
29,Free Cash Flow,60.53,1.34,19.96,1.42,-25.05,57.74,29.11,-79.87,-119.62,14.73,-18.11,-25.93,4.91,42.36,-55.85
30,Free Cash Flow Per Share,0.58,0.01,0.19,0.01,-0.24,0.53,0.27,-0.73,-1.12,0.18,-0.22,-0.31,0.06,0.53,-0.65
31,Dividend Per Share,-,-,-,0.250,-,-,-,0.100,-,0.250,-,-,-,-,-
32,Dividend Growth,-,-,-,150.00%,-,-,-,-,-,-,-,-,-,-,-
33,Gross Margin,23.36%,20.37%,20.59%,18.82%,22.68%,22.51%,20.58%,18.53%,25.54%,30.64%,28.94%,27.01%,30.48%,32.62%,30.49%
34,Operating Margin,14.44%,9.72%,10.76%,7.97%,11.60%,12.77%,11.25%,-2.06%,10.74%,20.86%,19.68%,15.18%,18.40%,23.24%,18.86%
35,Profit Margin,9.48%,9.14%,9.23%,9.94%,7.73%,10.25%,9.53%,7.04%,6.97%,15.22%,13.50%,12.56%,13.09%,17.10%,13.34%
36,Free Cash Flow Margin,34.58%,0.69%,11.53%,0.90%,-15.35%,34.05%,17.25%,-55.50%,-77.85%,7.86%,-10.34%,-14.58%,3.44%,24.97%,-34.48%
37,EBITDA,40.74,36.18,34.1,28.12,31.24,36.87,31.28,9.34,27.66,50.26,46,36.62,33.07,48.18,37.35
38,EBITDA Margin,23.27%,18.75%,19.69%,17.71%,19.14%,21.74%,18.54%,6.49%,18.00%,26.81%,26.27%,20.60%,23.16%,28.40%,23.05%
39,D&A For EBITDA,15.47,17.42,15.47,15.47,12.31,15.21,12.31,12.31,11.15,11.15,11.53,9.63,6.79,8.74,6.79
40,EBIT,25.28,18.76,18.64,12.65,18.93,21.66,18.97,-2.97,16.51,39.11,34.46,26.99,26.27,39.43,30.55
41,EBIT Margin,14.44%,9.72%,10.76%,7.97%,11.60%,12.77%,11.25%,-2.06%,10.74%,20.86%,19.68%,15.18%,18.40%,23.24%,18.86%
42,Effective Tax Rate,13.19%,11.81%,10.53%,6.58%,19.24%,13.46%,11.55%,-,21.40%,18.55%,16.54%,15.14%,7.40%,16.93%,14.05%
43,Revenue as Reported,175.07,192.97,173.21,158.79,163.2,169.57,168.68,143.91,153.65,187.49,175.12,177.8,142.78,331.66,-
