,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
38,Total Liabilities & Equity,-,2025,1962,1947,1984,1894,1817,1869,1872,1804,1820,-,807.07,734.04,664.77,664.77,557.54,-
39,Total Debt,11.29,11.29,14.87,12.41,14.08,12.19,13.5,14.82,12.63,10.87,9.55,8.15,8.15,8.82,7.07,7.07,-,-
40,Net Cash (Debt),825.85,825.85,666.14,720.37,926.99,959.95,1142,987.73,1178,1025,1179,286.48,286.48,267.51,238.97,238.97,141.42,-
41,Net Cash Growth,-10.91%,-13.97%,-41.67%,-27.07%,-21.30%,-6.30%,-3.11%,244.78%,311.14%,282.99%,393.24%,19.88%,102.57%,-,-,-,-,-
42,Net Cash Per Share,1.87,2.04,1.41,1.82,1.86,1.26,27.58,2.63,2.74,2.47,2.96,0.74,0.80,0.67,0.63,0.63,0.64,-
43,Filing Date Shares Outstanding,440.64,420.92,420.92,396.25,420.9,764.1,420,420,420,420,420,387.9,378,378,378,378,378,359.89
44,Total Common Shares Outstanding,420.92,420.92,420.92,396.25,424.27,764.1,420,420,420,420,420,387.9,378,378,378,378,378,359.89
45,Working Capital,-,1482,1454,1436,1486,1445,1526,1602,1574,1508,1497,-,507.58,459.36,454.74,454.74,370.27,-
46,Book Value Per Share,4.52,4.52,4.37,4.58,4.31,-,4.08,4.22,4.18,4.04,3.99,1.80,1.80,1.64,1.46,1.46,1.34,-
47,Tangible Book Value,1853,1853,1824,1799,1811,1728,1692,1747,1731,1688,1666,666.59,666.59,607.82,544.77,544.77,504.62,-
48,Tangible Book Value Per Share,4.40,4.40,4.33,4.54,4.27,-,4.03,4.16,4.12,4.02,3.97,1.76,1.76,1.61,1.44,1.44,1.33,-
49,Machinery,-,-,100.26,-,70.89,-,67.2,-,64.86,-,40.28,-,31.58,14.71,14.22,14.22,11.56,-
50,Construction In Progress,-,-,-,-,-,-,-,-,-,-,-,-,-,4.9,-,-,-,-
