,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
15,Other Non Operating Income (Expenses),2.51,-2.28,1.45,-1.71,-0.31,0.19,-0.32,0.66,1.45,-1.82,-0.77,0.76,51.83,0.01,-26.05,-26.05,-0.07,-0.02
16,EBT Excluding Unusual Items,9.68,60.37,38.28,6.09,12.9,16.32,15.93,-11.27,19.37,27.01,41,66.19,108.17,71.1,23.24,23.24,38.31,19.93
17,Gain (Loss) on Sale of Investments,6.27,-2.19,-4.08,-,-11.27,-2.12,-2.94,-,-0.63,0.05,-0.04,0.01,0.02,-,0.01,0.01,0.01,-
18,Gain (Loss) on Sale of Assets,-0.47,0.33,-0.02,0.16,0.12,-,-,-,-0,-,-,-,-,-,-,-,-,-
19,Asset Writedown,7.01,-7.01,2.22,-2.22,1.65,-1.65,2.17,-2.17,6.16,-6.16,2.28,-2.28,-2.28,2.28,-,-,-0,-
20,Other Unusual Items,-0.05,-0,0.03,0.02,14.89,-0.1,0.1,-,10.95,-0.13,0.13,-,-47.7,-0.11,0.06,0.06,-0.05,0.4
21,Pretax Income,22.44,51.5,36.43,4.06,18.3,12.45,15.26,-13.44,35.84,20.77,43.36,63.92,58.22,73.26,23.31,23.31,38.28,20.33
22,Income Tax Expense,-12.65,1.54,1.31,0.05,4.7,-1.13,-1.82,1.58,-2.87,2.94,3.49,6,3.81,7.65,4.67,4.67,3.22,2.36
23,Earnings From Continuing Operations,35.09,49.96,35.12,4,13.6,13.58,17.07,-15.02,38.71,17.82,39.87,57.91,54.41,65.61,18.64,18.64,35.06,17.97
24,Minority Interest in Earnings,0.04,0.03,-0.03,-0.04,0.04,0.08,0,0.02,0.11,-0.05,0.25,0.27,0.32,0.26,0.2,0.2,-,0.02
25,Net Income,35.13,49.99,35.09,3.96,13.64,13.66,17.08,-14.99,38.82,17.78,40.13,58.18,54.73,65.87,18.84,18.84,35.06,17.99
26,Net Income to Common,35.13,49.99,35.09,3.96,13.64,13.66,17.08,-14.99,38.82,17.78,40.13,58.18,54.73,65.87,18.84,18.84,35.06,17.99
27,Net Income Growth,157.62%,266.07%,105.48%,-,-64.88%,-23.17%,-57.45%,-,-29.06%,-73.01%,113.03%,208.89%,56.11%,266.05%,-,-,-,-
28,Shares Outstanding (Basic),441,404,472,396,498,764,41,375,430,414,399,388,357,397,377,377,222,360
29,Shares Outstanding (Diluted),441,404,472,396,498,764,41,375,430,414,399,388,357,397,377,377,222,360
30,Shares Change (YoY),-11.54%,-47.09%,1038.68%,5.71%,15.91%,84.38%,-89.61%,-3.36%,20.41%,4.39%,5.81%,2.96%,61.09%,10.31%,-,-,-,-
31,EPS (Basic),0.08,0.12,0.07,0.01,0.03,0.02,0.41,-0.04,0.09,0.04,0.10,0.15,0.15,0.17,0.05,0.05,0.16,0.05
32,EPS (Diluted),0.08,0.12,0.07,0.01,0.03,0.02,0.41,-0.04,0.09,0.04,0.10,0.15,0.15,0.17,0.05,0.05,0.16,0.05
33,EPS Growth,191.22%,591.88%,-81.95%,-,-69.70%,-58.33%,309.62%,-,-41.09%,-74.15%,101.35%,200.00%,-3.09%,231.83%,-,-,-,-
34,Free Cash Flow,-,164.37,-18.34,-137.82,-58.56,-35.53,141.65,-46.83,50.51,-130.23,10.33,-32.31,24.52,29.31,54.28,54.28,2.3,6.8
35,Free Cash Flow Per Share,-,0.41,-0.04,-0.35,-0.12,-0.05,3.42,-0.12,0.12,-0.31,0.03,-0.08,0.07,0.07,0.14,0.14,0.01,0.02
36,Dividend Per Share,-,-,-,-,0.028,-,-,-,0.250,-,-,-,-,-,-,-,-,-
37,Dividend Growth,-,-,-,-,-88.80%,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,267.65%,35.27%,33.05%,32.09%,32.18%,31.45%,28.63%,31.13%,31.51%,39.11%,42.53%,45.84%,47.60%,48.25%,40.66%,40.66%,34.42%,34.05%
39,Operating Margin,6.18%,13.68%,8.77%,1.01%,-1.25%,3.27%,0.86%,-7.35%,1.54%,10.50%,19.04%,29.36%,25.64%,31.95%,26.50%,26.50%,21.48%,15.68%
40,Profit Margin,8.67%,12.34%,9.81%,1.52%,3.66%,4.17%,5.79%,-6.80%,15.16%,8.86%,20.14%,27.56%,26.02%,30.71%,10.59%,10.59%,21.57%,15.11%
41,Free Cash Flow Margin,-,40.57%,-5.13%,-52.77%,-15.71%,-10.86%,48.01%,-21.23%,19.72%,-64.89%,5.18%,-15.30%,11.66%,13.67%,30.51%,30.51%,1.41%,5.71%
42,EBITDA,29.26,59.69,36.41,6.89,-0.42,14.19,8.36,-12.72,7.42,22.44,40.99,63.36,54.27,70.27,47.94,47.94,35.48,19.21
43,EBITDA Margin,7.22%,14.73%,10.18%,2.64%,-0.11%,4.34%,2.83%,-5.77%,2.90%,11.18%,20.57%,30.01%,25.80%,32.76%,26.94%,26.94%,21.83%,16.13%
44,D&A For EBITDA,4.24,4.24,5.05,4.24,4.24,3.49,5.82,3.49,3.49,1.36,3.05,1.36,0.32,1.74,0.78,0.78,0.57,0.54
45,EBIT,25.02,55.45,31.35,2.64,-4.67,10.7,2.53,-16.21,3.94,21.07,37.94,62,53.95,68.53,47.16,47.16,34.91,18.68
46,EBIT Margin,6.18%,13.68%,8.77%,1.01%,-1.25%,3.27%,0.86%,-7.35%,1.54%,10.50%,19.04%,29.36%,25.64%,31.95%,26.50%,26.50%,21.48%,15.68%
47,Effective Tax Rate,-,2.98%,3.59%,1.33%,25.69%,-,-,-,-,14.18%,8.04%,9.39%,6.54%,10.44%,20.03%,20.03%,8.41%,11.60%
48,Revenue as Reported,-,405.21,357.49,261.19,372.86,327.27,295.07,220.58,256.17,200.69,199.25,211.15,210.37,214.48,177.94,177.94,389.27,-
49,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.05
