,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
14,Other Non Operating Income (Expenses),-0.39,0.34,0.05,-0.22,0.17,1.32,-1.67,-0.92,0.48,0.01,-0.7,0.05,0.24,-0.1,-0.17,-0.17
15,EBT Excluding Unusual Items,-100.25,-36.87,-24.68,-14.95,-43.47,20.33,27.42,24.46,-18.62,39.7,37.07,20.66,4.88,40.22,28.48,28.48
16,Gain (Loss) on Sale of Investments,0.31,0.09,-0.14,-0.26,0.12,-0.39,-1.4,-1.41,0.02,0.65,-0.63,-0.07,-0.33,-0.41,-0.1,-0.1
17,Gain (Loss) on Sale of Assets,0.03,-0.03,-0,-,-1.69,-0.04,0.13,-,0.01,-,-0.08,-0.04,-0.03,-0.06,-,-
18,Asset Writedown,12.14,-12.14,1.59,-1.59,6.55,-6.55,1.5,-1.5,5.63,-5.78,1.27,-1.27,3.94,-3.94,-,-
19,Other Unusual Items,-,-3.11,3.11,-,24.27,0,-0,-,9.51,-0.16,0.16,-,12.33,-0.49,0.24,0.24
20,Pretax Income,-87.77,-52.04,-20.12,-16.8,-14.22,13.35,27.65,21.54,-3.45,34.4,37.8,19.29,20.78,35.33,28.62,28.62
21,Income Tax Expense,-15.45,-0.82,-3.31,0.07,-1.95,0.07,-1.83,0.14,-2.71,1.94,1.68,0.23,-0.25,2.01,1.63,1.63
22,Earnings From Continuing Operations,-72.32,-51.22,-16.82,-16.87,-12.26,13.28,29.48,21.4,-0.73,32.46,36.12,19.06,21.03,33.32,26.98,26.98
23,Minority Interest in Earnings,-4.27,-0.22,2.63,1.86,2.68,-0.16,-0.96,0.09,1.28,0.76,0.67,0.76,0.49,0.48,0.37,0.37
24,Net Income,-76.6,-51.44,-14.19,-15.01,-9.58,13.12,28.52,21.49,0.55,33.22,36.79,19.82,21.51,33.8,27.35,27.35
25,Net Income to Common,-76.6,-51.44,-14.19,-15.01,-9.58,13.12,28.52,21.49,0.55,33.22,36.79,19.82,21.51,33.8,27.35,27.35
26,Net Income Growth,-,-,-,-,-,-60.50%,-22.49%,8.47%,-97.46%,-1.72%,34.52%,-27.55%,-,-,-,-
27,Shares Outstanding (Basic),143,149,157,150,161,148,150,154,154,151,135,117,113,112,114,114
28,Shares Outstanding (Diluted),143,149,157,150,161,148,150,154,154,151,135,117,113,112,114,114
29,Shares Change (YoY),-11.51%,0.85%,5.10%,-2.24%,4.65%,-1.84%,10.78%,31.71%,35.90%,33.91%,18.48%,2.29%,-,-,-,-
30,EPS (Basic),-0.54,-0.34,-0.09,-0.10,-0.06,0.09,0.19,0.14,0.00,0.22,0.27,0.17,0.19,0.30,0.24,0.24
31,EPS (Diluted),-0.54,-0.34,-0.09,-0.10,-0.06,0.09,0.19,0.14,0.00,0.22,0.27,0.17,0.19,0.30,0.24,0.24
32,EPS Growth,-,-,-,-,-,-59.76%,-30.03%,-17.65%,-98.13%,-26.61%,13.53%,-29.17%,-,-,-,-
33,Free Cash Flow,-,-7.28,16.67,-136.4,-31.95,-65.39,-7.89,-176.18,-105.58,-165.21,-125.47,-91.03,-0.65,14.76,-21.18,-21.18
34,Free Cash Flow Per Share,-,-0.05,0.11,-0.91,-0.20,-0.44,-0.05,-1.15,-0.69,-1.10,-0.93,-0.78,-0.01,0.13,-0.19,-0.19
35,Dividend Per Share,-,-,-,-,0.110,-,-,-,0.180,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-,-38.68%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,373.97%,28.78%,23.95%,29.65%,23.09%,32.24%,28.49%,28.99%,19.55%,35.27%,31.03%,32.27%,28.54%,39.10%,37.99%,37.99%
38,Operating Margin,-60.85%,-21.93%,-8.27%,-6.78%,-18.39%,6.77%,8.70%,8.87%,-8.77%,15.48%,13.67%,10.91%,2.20%,23.09%,15.51%,15.51%
39,Profit Margin,-44.65%,-32.00%,-5.11%,-7.31%,-4.14%,4.63%,8.74%,7.80%,0.23%,14.15%,13.33%,10.38%,10.38%,19.33%,14.81%,14.81%
40,Free Cash Flow Margin,-,-4.53%,6.01%,-66.43%,-13.81%,-23.08%,-2.42%,-63.95%,-43.51%,-70.36%,-45.46%,-47.70%,-0.31%,8.44%,-11.47%,-11.47%
41,EBITDA,-95.89,-26.76,-9.87,-5.43,-34.07,25.51,36.52,30.77,-14.95,41.45,43.11,25.93,9.66,45.09,33.36,33.36
42,EBITDA Margin,-55.90%,-16.65%,-3.56%,-2.64%,-14.72%,9.00%,11.20%,11.17%,-6.16%,17.66%,15.62%,13.59%,4.66%,25.79%,18.06%,18.06%
43,D&A For EBITDA,8.49,8.49,13.09,8.49,8.49,6.34,8.13,6.34,6.34,5.1,5.39,5.1,5.1,4.72,4.72,4.72
44,EBIT,-104.39,-35.25,-22.96,-13.92,-42.57,19.17,28.39,24.43,-21.28,36.35,37.72,20.83,4.56,40.38,28.65,28.65
45,EBIT Margin,-60.85%,-21.93%,-8.27%,-6.78%,-18.39%,6.77%,8.70%,8.87%,-8.77%,15.48%,13.67%,10.91%,2.20%,23.09%,15.51%,15.51%
46,Effective Tax Rate,-,-,-,-,-,0.54%,-,0.65%,-,5.65%,4.44%,1.17%,-,5.69%,5.71%,5.71%
47,Revenue as Reported,-,160.73,277.53,205.33,231.43,283.35,326.17,275.52,242.67,234.8,275.99,190.84,207.2,174.84,184.71,184.71
