,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
27,Total Current Liabilities,-,486.07,322,298.01,274.18,264.95,220.02,-,236.34,-,-,-
28,Long-Term Debt,-,13.4,13.4,13.41,13.41,17.21,17.21,-,17.21,-,-,-
29,Long-Term Leases,-,1.15,1.96,4.82,4.86,5.29,5.18,-,6.7,-,-,-
30,Long-Term Unearned Revenue,-,81.75,84.77,86.48,90.04,91.74,95.88,-,104.04,-,-,-
31,Long-Term Deferred Tax Liabilities,-,27.2,27.36,28.65,28.87,29.37,29.9,-,30.96,-,-,-
32,Other Long-Term Liabilities,-,10.81,-,11.25,1.2,8.69,0.72,-,1.04,-,-,-
33,Total Liabilities,-,620.38,460.3,442.61,422.6,417.26,376.88,-,404.18,-,-,-
34,Common Stock,-,316.58,316.58,316.58,316.58,316.58,316.58,-,237.43,-,-,-
35,Additional Paid-In Capital,-,2127,2490,2490,2490,2490,2490,-,1509,-,-,-
36,Retained Earnings,-,351.15,225.25,253.78,207.19,168.87,125.88,-,103.99,-,-,-
37,Comprehensive Income & Other,-,0.26,0.26,0.01,0.01,-0.27,-0.27,-,0.08,-,-,-
38,Total Common Equity,2795,2795,3032,3060,3014,2975,2932,1851,1851,-,-,1719
39,Minority Interest,-,138.45,-,-,-,-,-,-,-,-,-,-
40,Shareholders' Equity,2933,2933,3032,3060,3014,2975,2932,1851,1851,-,-,1719
41,Total Liabilities & Equity,-,3554,3492,3503,3436,3392,3309,-,2255,-,-,-
42,Total Debt,22.16,22.16,22.89,25.67,25.71,29.51,29.39,30.84,30.84,-,-,37.63
43,Net Cash (Debt),1202,1202,1446,1351,1268,1040,1213,255.43,255.43,-,-,417.77
44,Net Cash Growth,-5.19%,15.61%,19.27%,429.08%,396.49%,-,-,-38.86%,-,-,-,-
45,Net Cash Per Share,3.90,3.80,4.45,4.27,4.01,3.37,5.07,1.08,1.08,-,-,-
46,Filing Date Shares Outstanding,316.58,316.58,316.58,316.58,316.58,316.58,316.58,237.43,237.43,241.11,235.89,-
47,Total Common Shares Outstanding,316.58,316.58,316.58,316.58,316.58,316.58,316.58,237.43,237.43,241.11,235.89,-
48,Working Capital,-,1047,1325,1292,1232,1040,1193,-,266.56,-,-,-
49,Book Value Per Share,8.83,8.83,9.58,9.67,9.52,9.40,9.26,7.79,7.79,-,-,7.24
50,Tangible Book Value,2645,2645,2908,2936,2887,2851,2807,1722,1722,-,-,1590
51,Tangible Book Value Per Share,8.35,8.35,9.19,9.27,9.12,9.01,8.87,7.25,7.25,-,-,6.70
52,Buildings,-,-,692.29,-,692.08,-,690.95,-,690.95,-,-,-
53,Machinery,-,-,1817,-,1770,-,1731,-,1718,-,-,-
54,Construction In Progress,-,-,1.35,-,6.84,-,2,-,2.63,-,-,-
