,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
24,Current Portion of Leases,-,-,3.33,-,2.35,-,3.34,-,2.28,1.69,1.91,-,2.25,-,-,-
25,Current Income Taxes Payable,-,9.09,1.87,10.92,6.76,12.69,2.66,10.08,6.65,9.4,5.16,-,2.49,-,-,-
26,Current Unearned Revenue,-,6.89,4.85,4.86,6.93,4.64,1.81,3.29,5.14,3,2.97,-,3.5,-,1.89,1.89
27,Other Current Liabilities,-,44.37,17.32,34.2,24.4,45.7,33.45,48.8,55.72,36.57,21.17,-,27.57,-,18.46,18.46
28,Total Current Liabilities,-,416.95,365.99,416.17,377.83,234.37,201.16,244.38,317.01,242.39,172.32,-,165.53,-,138.03,138.03
29,Long-Term Debt,-,-,-,18.54,18.54,23.77,23.77,29.72,31.88,71.32,71.37,-,40.26,-,4.7,4.7
30,Long-Term Leases,-,3.99,4.52,4.63,2.09,2.36,2.71,0.95,0.48,0.49,0.86,-,1.69,-,2.76,2.76
31,Long-Term Unearned Revenue,-,52.11,54.52,54.88,54.85,47.07,32.16,31.43,32.67,33.98,34.82,-,24.57,-,25.89,25.89
32,Long-Term Deferred Tax Liabilities,-,1.11,1.24,1.26,0.73,0.09,0.02,0,0.66,-,0,-,0,-,0,0
33,Total Liabilities,-,474.17,426.28,495.48,454.04,307.66,259.81,306.49,382.69,348.18,279.37,-,232.05,-,171.39,171.39
34,Common Stock,-,142.24,142.24,142.24,142.24,142.24,142.24,142.24,142.24,142.24,106.68,-,106.68,-,106.68,106.68
35,Additional Paid-In Capital,-,1848,1840,1834,1828,1823,1819,1819,1819,1819,367.17,-,367.17,-,367.17,367.17
36,Retained Earnings,-,329.17,302.44,317.85,304.07,285.11,251.57,267.85,243.79,203.74,164.46,-,120.79,-,69,69
37,Treasury Stock,-,-53.06,-42.94,-41.65,-4.26,-,-,-,-,-,-,-,-,-,-,-
38,Comprehensive Income & Other,-,0.01,-0.1,0,0.03,-,-,-,-,-,-,-,-,-,-,-
39,Total Common Equity,2266,2266,2242,2252,2270,2250,2213,2229,2205,2165,638.3,594.63,594.63,-,542.85,542.85
40,Minority Interest,-,15.15,15.5,15.87,16.25,17.3,-4.68,-4.56,-4.12,-3.18,-2.02,-,-2.41,-,-2.93,-2.93
41,Shareholders' Equity,2282,2282,2257,2268,2287,2267,2208,2225,2201,2162,636.28,592.22,592.22,-,539.92,539.92
42,Total Liabilities & Equity,-,2756,2683,2764,2741,2575,2468,2531,2584,2510,915.65,-,824.28,-,711.31,711.31
43,Total Debt,121.59,121.59,142.25,202.66,126.09,73.59,82.21,90.98,96.85,152.98,131.42,74.19,74.19,-,7.46,7.46
44,Net Cash (Debt),551.11,551.11,614.58,547.28,604.63,1184,1104,1210,1305,1377,-69.2,11.31,11.31,-,47.18,47.18
45,Net Cash Growth,-8.85%,-53.46%,-44.33%,-54.78%,-53.66%,-14.04%,-,10599.85%,11434.58%,-,-,-76.02%,-,-,-,-
46,Net Cash Per Share,3.90,3.91,4.30,3.97,4.17,8.53,7.52,8.55,8.99,12.99,-0.65,0.11,0.11,-,0.46,0.46
47,Filing Date Shares Outstanding,141.28,140.94,141.32,142.24,141.36,142.24,142.24,142.24,142.24,142.24,106.68,107.28,106.68,106.69,106.68,106.68
48,Total Common Shares Outstanding,140.94,140.94,141.32,142.24,142.16,142.24,142.24,142.24,142.24,142.24,106.68,107.28,106.68,106.69,106.68,106.68
49,Working Capital,-,869.6,887.16,953.43,1029,1598,1601,1704,1719,1776,294.72,-,242.31,-,197.27,197.27
50,Book Value Per Share,16.08,16.08,15.86,15.83,15.97,15.82,15.56,15.67,15.50,15.22,5.98,5.57,5.57,-,5.09,5.09
51,Tangible Book Value,2127,2127,2101,2112,2129,2112,2100,2118,2093,2053,525.26,491.94,491.94,-,439.31,439.31
52,Tangible Book Value Per Share,15.09,15.09,14.87,14.85,14.97,14.85,14.76,14.89,14.72,14.43,4.92,4.61,4.61,-,4.12,4.12
53,Buildings,-,-,426.83,-,176.5,-,176.5,-,175.83,-,130.01,-,130.01,-,128.18,128.18
54,Machinery,-,-,339.83,-,292.3,-,199.51,-,189.85,-,150.59,-,144.23,-,136.52,136.52
55,Construction In Progress,-,-,112.64,-,314.64,-,217.99,-,138.5,-,124.59,-,102.59,-,58.82,58.82
