,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
22,Earnings From Continuing Operations,37.77,26.38,19.56,13.4,17.91,32.52,26.28,23.61,39.11,38.13,26.83,17.23,26.19,26.11,11.91,11.91
23,Minority Interest in Earnings,-1.1,0.35,0.36,0.39,1.04,1.02,0.12,0.45,0.94,1.15,-0.32,-0.06,-0.2,-0.32,0.14,0.14
24,Net Income,36.67,26.74,19.93,13.78,18.96,33.54,26.4,24.06,40.05,39.28,26.51,17.17,26,25.79,12.05,12.05
25,Net Income to Common,36.67,26.74,19.93,13.78,18.96,33.54,26.4,24.06,40.05,39.28,26.51,17.17,26,25.79,12.05,12.05
26,Net Income Growth,93.42%,-20.28%,-24.51%,-42.70%,-52.66%,-14.62%,-0.42%,40.14%,54.06%,52.31%,119.99%,42.46%,-,-,-,-
27,Shares Outstanding (Basic),141,141,143,138,145,139,147,142,145,106,106,107,107,107,103,103
28,Shares Outstanding (Diluted),141,141,143,138,145,139,147,142,145,106,106,107,107,107,103,103
29,Shares Change (YoY),-2.48%,1.46%,-2.53%,-2.58%,-0.17%,30.89%,38.80%,31.89%,36.08%,-0.64%,2.34%,3.82%,-,-,-,-
30,EPS (Basic),0.26,0.19,0.14,0.10,0.13,0.24,0.18,0.17,0.28,0.37,0.25,0.16,0.24,0.24,0.12,0.12
31,EPS (Diluted),0.26,0.19,0.14,0.10,0.13,0.24,0.18,0.17,0.28,0.37,0.25,0.16,0.24,0.24,0.12,0.12
32,EPS Growth,98.34%,-21.43%,-22.55%,-41.18%,-52.58%,-34.77%,-28.26%,6.25%,13.21%,53.28%,114.97%,37.22%,-,-,-,-
33,Free Cash Flow,-,-30.39,74.99,6.86,-123.47,71.24,-50.35,-100.26,-97.54,-37.18,-14.83,-65.91,16.02,-54.3,-59.64,-59.64
34,Free Cash Flow Per Share,-,-0.22,0.52,0.05,-0.85,0.51,-0.34,-0.71,-0.67,-0.35,-0.14,-0.61,0.15,-0.51,-0.58,-0.58
35,Dividend Per Share,-,-,-,-,0.250,-,-,-,0.300,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-,-16.67%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,250.30%,27.88%,26.49%,24.83%,27.24%,29.78%,29.13%,29.27%,27.26%,32.88%,30.89%,29.38%,33.71%,37.38%,32.10%,32.10%
38,Operating Margin,13.32%,8.04%,5.63%,6.27%,5.08%,13.64%,11.12%,12.26%,7.85%,17.36%,15.61%,12.41%,7.33%,20.65%,11.72%,11.72%
39,Profit Margin,9.58%,8.33%,7.67%,6.79%,6.74%,13.10%,11.98%,13.80%,13.55%,15.28%,13.20%,9.81%,13.49%,16.51%,10.24%,10.24%
40,Free Cash Flow Margin,-,-9.46%,28.86%,3.38%,-43.90%,27.82%,-22.85%,-57.51%,-33.00%,-14.47%,-7.38%,-37.66%,8.31%,-34.76%,-50.68%,-50.68%
41,EBITDA,58.03,32.85,26.32,19.78,21.34,40.58,30.93,27.02,28.85,49.36,36.54,26.44,18.87,33.95,15.49,15.49
42,EBITDA Margin,15.16%,10.23%,10.13%,9.74%,7.59%,15.84%,14.04%,15.50%,9.76%,19.20%,18.20%,15.11%,9.79%,21.73%,13.16%,13.16%
43,D&A For EBITDA,7.04,7.04,11.68,7.04,7.04,5.64,6.44,5.64,5.64,4.73,5.2,4.73,4.73,1.69,1.69,1.69
44,EBIT,50.99,25.81,14.63,12.74,14.3,34.93,24.49,21.38,23.21,44.63,31.35,21.71,14.14,32.26,13.79,13.79
45,EBIT Margin,13.32%,8.04%,5.63%,6.27%,5.08%,13.64%,11.12%,12.26%,7.85%,17.36%,15.61%,12.41%,7.33%,20.65%,11.72%,11.72%
46,Effective Tax Rate,8.57%,15.70%,5.03%,22.69%,5.28%,19.65%,11.73%,15.94%,2.89%,10.72%,16.03%,16.70%,10.47%,3.48%,18.22%,18.22%
47,Revenue as Reported,-,321.05,259.83,203.14,281.24,256.09,220.33,174.32,295.62,257.06,200.83,175.01,192.76,156.22,117.68,117.68
