,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
30,Shares Change (YoY),17.27%,-7.66%,-3.88%,4.29%,-0.68%,2.59%,-0.38%,-2.57%,-0.10%,3.97%,-0.35%,17.00%,17.99%,14.40%,15.65%,-3.15%,-,-,-,-
31,EPS (Basic),0.02,0.07,0.04,0.03,0.06,0.13,0.11,0.07,0.24,0.26,0.08,0.20,0.21,0.21,0.20,0.19,0.17,0.12,0.08,0.09
32,EPS (Diluted),0.02,0.07,0.04,0.03,0.06,0.13,0.11,0.07,0.24,0.26,0.08,0.20,0.21,0.21,0.20,0.19,0.17,0.12,0.08,0.09
33,EPS Growth,-59.11%,-45.92%,-63.64%,-54.74%,-75.42%,-50.10%,37.50%,-66.19%,14.43%,23.65%,-60.00%,5.40%,23.08%,81.40%,136.41%,103.82%,-,-,-,-
34,Free Cash Flow,-538.21,-864.04,-506.1,-462.22,-1083,-389.25,-305.2,-696.46,108.21,125.46,-4.03,56.17,238.4,316.65,214.6,282.71,251.57,267.3,-11.67,66.87
35,Free Cash Flow Per Share,-0.35,-0.68,-0.39,-0.34,-0.82,-0.28,-0.23,-0.53,0.08,0.09,-0.00,0.04,0.18,0.24,0.16,0.25,0.22,0.24,-0.01,0.06
36,Dividend Per Share,-,-,-,0.080,-,-,-,-,-,-,-,0.200,-,-,-,0.154,-,-,-,-
37,Dividend Growth,-,-,-,-,-,-,-,-,-,-,-,30.04%,-,-,-,-,-,-,-,-
38,Gross Margin,15.21%,14.67%,16.29%,12.58%,22.77%,13.20%,16.15%,10.15%,25.50%,24.42%,16.63%,17.51%,28.02%,24.03%,26.41%,23.65%,31.23%,19.41%,18.78%,17.23%
39,Operating Margin,7.70%,4.21%,3.06%,20.60%,8.59%,14.78%,13.65%,-0.71%,15.94%,19.01%,9.87%,7.91%,17.30%,17.34%,19.11%,12.82%,20.23%,13.67%,13.51%,10.19%
40,Profit Margin,2.27%,4.89%,3.46%,2.27%,4.53%,10.96%,9.34%,5.08%,12.95%,14.66%,6.91%,14.02%,15.26%,13.43%,14.95%,11.05%,14.30%,9.12%,8.40%,7.16%
41,Free Cash Flow Margin,-32.55%,-47.32%,-34.03%,-25.10%,-62.66%,-23.86%,-19.37%,-40.02%,4.37%,5.27%,-0.26%,2.93%,12.96%,15.65%,11.90%,14.35%,18.60%,18.61%,-0.99%,4.34%
42,EBITDA,277.56,232.24,195.77,529.56,286.91,394.14,353.53,126.07,514.32,589.21,272.73,270.65,402.76,453.6,428.98,339.37,357.32,280.11,241.6,241.81
43,EBITDA Margin,16.79%,12.72%,13.16%,28.75%,16.60%,24.16%,22.43%,7.24%,20.75%,24.73%,17.53%,14.13%,21.89%,22.42%,23.79%,17.23%,26.42%,19.51%,20.59%,15.71%
44,D&A For EBITDA,150.28,155.42,150.28,150.28,138.47,153.02,138.47,138.47,119.18,136.35,119.18,119.18,84.44,102.89,84.44,86.88,83.65,83.85,83.15,84.95
45,EBIT,127.28,76.82,45.5,379.28,148.44,241.12,215.05,-12.4,395.14,452.86,153.55,151.47,318.32,350.71,344.53,252.49,273.67,196.26,158.45,156.86
46,EBIT Margin,7.70%,4.21%,3.06%,20.59%,8.59%,14.78%,13.65%,-0.71%,15.94%,19.01%,9.87%,7.91%,17.30%,17.34%,19.11%,12.82%,20.23%,13.67%,13.51%,10.19%
47,Effective Tax Rate,-,6.78%,25.01%,-,3.37%,15.71%,16.70%,-,11.61%,14.97%,15.92%,13.19%,10.45%,14.02%,14.09%,13.31%,15.88%,14.76%,15.92%,10.15%
48,Revenue as Reported,1653,1826,1487,-,1729,1631,1576,-,2479,2382,1556,1915,1840,2023,1803,1970,1352,1436,1173,1539
