,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
15,Debt / Equity Ratio,1.17,1.17,1.12,1.10,0.91,0.85,0.79,0.76,0.69,0.64,0.63,0.58,0.63,0.74,0.86,0.51,0.53,0.91,1.08,1.16,1.16
16,Debt / EBITDA Ratio,15.58,8.18,9.32,11.06,3.35,5.70,3.69,4.05,10.05,2.24,1.83,3.58,3.77,2.92,2.77,1.75,2.22,2.37,3.38,3.94,3.93
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,16.15,10.39,-,5.00,4.46,4.73,2.95,3.81,5.89,11.75,-,56.92
18,Asset Turnover,0.36,0.40,0.34,0.44,0.44,0.44,0.44,0.51,0.77,0.78,0.52,0.62,0.59,0.74,0.74,0.88,0.67,-,-,-,
19,Inventory Turnover,8.61,8.60,9.67,7.57,9.48,7.47,7.54,7.33,9.82,11.82,11.20,8.31,10.50,8.83,11.26,11.76,15.53,10.32,-,-,-
20,Quick Ratio,0.47,0.47,0.58,0.68,0.49,0.57,0.62,0.79,0.75,0.85,0.81,0.65,0.76,0.77,0.67,1.40,1.11,0.44,0.48,-,0.44
21,Current Ratio,0.70,0.70,0.78,0.91,0.70,0.84,0.90,1.14,1.06,1.09,1.06,0.91,0.96,0.96,0.83,1.75,1.33,0.64,0.62,-,0.60
22,Return on Equity (ROE),1.85%,4.42%,2.67%,2.26%,4.29%,9.67%,8.05%,4.97%,18.32%,20.66%,6.52%,16.88%,18.74%,18.84%,18.91%,18.73%,21.90%,15.93%,12.42%,-,
23,Return on Assets (ROA),1.71%,1.04%,0.64%,5.71%,2.39%,4.05%,3.72%,-0.23%,7.69%,9.26%,3.21%,3.06%,6.38%,7.98%,8.87%,7.09%,8.47%,-,-,-,
24,Return on Capital (ROIC),1.91%,1.16%,0.72%,6.50%,2.69%,4.54%,4.19%,-0.26%,8.57%,10.37%,3.60%,3.49%,7.25%,8.88%,9.83%,7.99%,9.51%,6.82%,5.60%,-,
25,Return on Capital Employed (ROCE),-,4.84%,5.02%,6.42%,8.73%,5.32%,7.86%,9.52%,-,12.01%,11.67%,11.39%,13.56%,14.92%,15.48%,13.90%,12.10%,14.63%,9.78%,-,2.97%
26,Earnings Yield,1.07%,1.01%,1.42%,1.60%,1.82%,1.89%,2.21%,2.38%,2.14%,1.96%,2.27%,2.71%,2.24%,1.42%,2.32%,2.54%,4.03%,-,-,-,-
27,FCF Yield,-11.55%,-10.92%,-15.92%,-11.12%,-9.16%,-9.48%,-3.86%,-2.02%,-1.15%,0.54%,0.94%,1.77%,1.70%,1.44%,2.60%,3.18%,4.97%,-,-,-,-
28,Dividend Yield,0.51%,-,-,-,0.44%,-,-,-,-,-,-,-,0.56%,-,-,-,1.33%,-,-,-,-
29,Payout Ratio,146.27%,155.22%,182.06%,101.87%,116.35%,54.27%,172.42%,24.48%,28.50%,8.85%,83.60%,25.96%,-,9.99%,218.45%,12.05%,58.38%,-,-,32.96%,30.79%
30,Buyback Yield / Dilution,-2.39%,-17.27%,7.66%,3.88%,-4.29%,0.68%,-2.59%,0.38%,2.57%,0.10%,-3.97%,0.35%,-17.00%,-17.99%,-14.40%,-15.65%,3.15%,-,-,-,-
31,Total Shareholder Return,-1.88%,-17.27%,7.66%,3.88%,-3.85%,0.68%,-2.59%,0.38%,2.57%,0.10%,-3.97%,0.35%,-16.44%,-17.99%,-14.40%,-15.65%,4.47%,-,-,-,-
