,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
13,Long-Term Deferred Charges,-,44,39.68,43.74,47.22,26.34,24.36,30.16,37.97,20.73,17.82,17.48,17.53,-,6.91,-
14,Other Long-Term Assets,-,349,381.08,358.13,390.29,147.52,45.14,301.96,143.98,323.96,464.82,561.11,128.66,-,40.52,-
15,Total Assets,-,9204,9295,9796,9536,8689,8178,7683,7247,6753,7121,7253,3724,-,2988,-
16,Accounts Payable,-,1067,1020,1189,1334,1126,1108,975.82,881.36,681.24,596.82,519.4,539.13,-,543.14,-
17,Accrued Expenses,-,38.75,37.78,19.46,63.29,35.81,36.33,9.95,45.51,30.07,32.29,10.36,30.27,-,24.41,-
18,Short-Term Debt,-,41.77,148.29,283.43,288.02,559.72,486.12,313.07,253.38,193.69,131.2,627.14,575.77,-,270.26,-
19,Current Portion of Long-Term Debt,-,220.44,272.07,257.85,237.66,123.53,22.89,24.18,21.08,12.01,1.79,1.72,1.14,-,32.61,-
20,Current Portion of Leases,-,-,2.81,-,3.3,-,2.38,-,2.34,-,-,-,-,-,-,-
21,Current Income Taxes Payable,-,10.58,0,39.82,27.65,17.15,1.01,39.31,26.05,23.02,16.54,28.89,12.54,-,0.86,-
22,Current Unearned Revenue,-,35.6,18.34,15.64,22.34,17.35,14.6,20.47,22.69,52.67,74.06,82.37,50.62,-,87.74,-
23,Other Current Liabilities,-,126.29,127.3,145.91,124.76,170.11,105.78,76.72,43.08,28.85,20.92,38.82,29.43,-,19.89,-
24,Total Current Liabilities,-,1540,1627,1951,2101,2049,1777,1460,1295,1022,873.62,1309,1239,-,978.91,-
25,Long-Term Debt,-,2031,1990,2043,1765,1391,1235,1067,998.88,955.42,1656,1626,1059,-,748.43,-
26,Long-Term Leases,-,5.45,5.36,5.28,5.19,7.91,7.78,7.7,7.61,-,-,-,-,-,-,-
27,Long-Term Unearned Revenue,-,886.14,897.98,909.75,819.37,419.78,409.71,399.77,327.85,339.99,359.86,188.26,191.08,-,182.93,-
28,Long-Term Deferred Tax Liabilities,-,0.13,0.13,0.04,0.04,-,0.04,0.09,0.46,-,-,-,-,-,-,-
29,Total Liabilities,-,4463,4520,4909,4691,3869,3430,2934,2630,2317,2889,3123,2489,-,1910,-
30,Common Stock,-,900,900,900,900,900,900,900,900,900,900,900,800,-,800,-
31,Additional Paid-In Capital,-,2727,2727,2727,2727,2727,2727,2727,2727,2727,2727,2727,50.69,-,50.69,-
32,Retained Earnings,-,1114,1148,1259,1218,1193,1121,1121,989.71,808.28,604.58,502.43,384.63,-,226.69,-
33,Shareholders' Equity,4741,4741,4775,4887,4845,4820,4748,4748,4617,4436,4232,4130,1235,-,1077,956.59
34,Total Liabilities & Equity,-,9204,9295,9796,9536,8689,8178,7683,7247,6753,7121,7253,3724,-,2988,-
35,Total Debt,2299,2299,2418,2589,2300,2083,1754,1412,1283,1161,1789,2255,1636,-,1051,589.18
36,Net Cash (Debt),-432.77,-432.77,-552.19,-276.5,-52.62,-283.07,173.23,595.79,1017,1118,1171,992.67,-1315,-,-709.88,-440.96
37,Net Cash Growth,-,-,-,-,-,-,-85.20%,-39.98%,-,-,-,-,-,-,-,-
38,Net Cash Per Share,-0.38,-0.52,-0.67,-0.33,-0.05,-0.32,0.19,0.68,1.11,1.24,1.29,1.26,-1.67,-,-0.86,-0.56
39,Filing Date Shares Outstanding,900,900,900,900,900,900,900,900,900,900,900,900,900,786.46,800,783.28
40,Total Common Shares Outstanding,900,900,900,900,900,900,900,900,900,900,900,900,800,786.46,800,783.28
41,Working Capital,-,1784,1740,1908,1503,1180,1170,1283,1515,1648,2359,2359,-546.18,-,-339.26,-
42,Book Value Per Share,5.27,5.27,5.31,5.43,5.38,5.36,5.28,5.28,5.13,4.93,4.70,4.59,1.54,-,1.35,1.20
43,Tangible Book Value,4339,4339,4370,4480,4435,4408,4332,4563,4432,4249,4043,3940,1046,-,913.99,826.16
44,Tangible Book Value Per Share,4.82,4.82,4.86,4.98,4.93,4.90,4.81,5.07,4.92,4.72,4.49,4.38,1.31,-,1.14,1.03
45,Buildings,-,-,1807,-,1706,-,1376,-,1120,-,998.27,-,990,-,883.6,-
46,Machinery,-,-,3654,-,3537,-,2767,-,2121,-,1866,-,1598,-,1161,-
47,Construction In Progress,-,-,451.83,-,526.84,-,1212,-,1358,-,880.4,-,566.27,-,514.64,-
