,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
20,Pretax Income,-151.42,-31.91,-28.9,50.63,11.99,78.07,80.69,153.99,184.56,223.38,113.08,139.88,88.76,84.74,82.48,39.16
21,Income Tax Expense,-41.02,1.4,-12.08,8.84,-12.79,5.91,-9.26,22.91,3.12,19.68,10.94,22.08,9.78,5.78,0.86,-
22,Net Income,-110.4,-33.31,-16.81,41.79,24.77,72.16,89.96,131.09,181.44,203.7,102.14,117.8,78.97,78.96,81.62,39.16
23,Net Income to Common,-110.4,-33.31,-16.81,41.79,24.77,72.16,89.96,131.09,181.44,203.7,102.14,117.8,78.97,78.96,81.62,39.16
24,Net Income Growth,-,-,-,-68.12%,-86.35%,-64.58%,-11.93%,11.28%,129.74%,157.98%,25.14%,200.80%,-,-,-,-
25,Shares Outstanding (Basic),1152,837,829,836,969,897,894,874,914,902,907,785,788,786,827,783
26,Shares Outstanding (Diluted),1152,837,829,836,969,897,894,874,914,902,907,785,788,786,827,783
27,Shares Change (YoY),18.92%,-6.73%,-7.30%,-4.37%,5.97%,-0.52%,-1.33%,11.28%,15.92%,14.67%,9.59%,0.27%,-,-,-,-
28,EPS (Basic),-0.10,-0.04,-0.02,0.05,0.03,0.08,0.10,0.15,0.20,0.23,0.11,0.15,0.10,0.10,0.10,0.05
29,EPS (Diluted),-0.10,-0.04,-0.02,0.05,0.03,0.08,0.10,0.15,0.20,0.23,0.11,0.15,0.10,0.10,0.10,0.05
30,EPS Growth,-,-,-,-66.67%,-87.12%,-64.39%,-10.74%,0%,98.18%,124.97%,14.19%,200.00%,-,-,-,-
31,Free Cash Flow,-,48.13,-121.62,-183.81,211.36,-437.74,-307.14,-413.44,-107.45,-48.62,209.32,-454.46,-435.64,-164.3,-147.34,-115.9
32,Free Cash Flow Per Share,-,0.06,-0.15,-0.22,0.22,-0.49,-0.34,-0.47,-0.12,-0.05,0.23,-0.58,-0.55,-0.21,-0.18,-0.15
33,Dividend Per Share,-,-,-,-,0.106,-,-,-,0.100,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,-,6.00%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,-85.99%,16.19%,13.99%,25.25%,14.78%,32.55%,35.79%,40.85%,46.68%,52.46%,43.70%,46.00%,35.51%,42.75%,40.60%,52.57%
36,Operating Margin,-41.46%,8.40%,-12.53%,5.22%,-6.11%,14.47%,15.12%,25.23%,26.99%,36.71%,29.07%,33.01%,21.42%,29.25%,35.91%,29.05%
37,Profit Margin,-25.18%,-8.62%,-5.92%,9.32%,3.81%,13.05%,18.46%,23.06%,33.44%,34.56%,25.34%,25.63%,16.84%,24.41%,33.81%,28.04%
38,Free Cash Flow Margin,-,12.46%,-42.85%,-40.99%,32.49%,-79.19%,-63.01%,-72.74%,-19.80%,-8.25%,51.92%,-98.89%,-92.90%,-50.79%,-61.04%,-82.98%
39,EBITDA,-120.88,93.34,40,84.27,21.15,120.91,125.3,184.31,187.35,238.14,154.64,173.45,122.21,107.06,101.66,53.05
40,EBITDA Margin,-27.58%,24.16%,14.09%,18.79%,3.25%,21.87%,25.71%,32.43%,34.53%,40.40%,38.36%,37.74%,26.06%,33.10%,42.12%,37.98%
41,D&A For EBITDA,60.87,60.87,75.57,60.87,60.87,40.91,51.58,40.91,40.91,21.77,37.46,21.77,21.77,12.47,14.98,12.47
42,EBIT,-181.75,32.47,-35.57,23.4,-39.73,80,73.72,143.39,146.44,216.37,117.19,151.68,100.44,94.6,86.68,40.58
43,EBIT Margin,-41.46%,8.40%,-12.53%,5.22%,-6.11%,14.47%,15.12%,25.23%,26.99%,36.70%,29.07%,33.01%,21.42%,29.25%,35.91%,29.05%
44,Effective Tax Rate,-,-,-,17.46%,-,7.57%,-,14.87%,1.69%,8.81%,9.67%,15.78%,11.02%,6.82%,1.04%,-
45,Revenue as Reported,-,386.44,283.81,448.44,650.53,552.78,487.44,568.37,542.63,589.48,403.15,459.54,-,323.45,241.39,139.68
