,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
27,Long-Term Unearned Revenue,-,54.83,58.6,53.38,86.2,74.37,122.53,161.33,167.24,189.07,188.26,214.18,237.79,250.53,274.33,286.59,303.83,-,303.91,-
28,Long-Term Deferred Tax Liabilities,-,8.07,8.24,8.36,8.51,8.58,8.67,8.66,8.68,-,-,-,-,-,-,-,-,-,-,-
29,Other Long-Term Liabilities,-,23,24,24,25,25,26,26,27,27,28,28,29,29.36,30,30.5,31,-,32.72,-
30,Total Liabilities,-,11017,10885,10437,8886,9485,9582,9549,8279,8956,9077,9209,8473,11137,10625,9684,8763,-,8175,-
31,Common Stock,-,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5141,3856,3856,-,3856,-
32,Additional Paid-In Capital,-,4078,4078,4078,4078,4078,4078,4078,4078,4078,4078,4078,4078,4078,3726,1395,1395,-,1395,-
33,Retained Earnings,-,7663,7356,7482,7113,6735,6545,6491,6074,5634,5245,5130,4753,4310,3932,3359,3017,-,2161,-
34,Comprehensive Income & Other,-,6.8,3.66,7.42,8.16,7.36,3.16,3.76,-0.21,3.22,6.81,7.48,7.16,9.23,9.47,9.72,7.96,-,8.16,-
35,Total Common Equity,17081,17081,16772,16901,16533,16155,15960,15907,15486,15049,14663,14549,14172,13731,12809,8619,8276,-,7420,7126
36,Minority Interest,-,21.75,21.62,21.53,21.51,21.48,21.47,21.38,21.14,21.13,21.2,21.22,21.06,21.24,21.09,21.14,20.84,-,20.04,-
37,Shareholders' Equity,17103,17103,16793,16923,16555,16176,15981,15928,15507,15070,14685,14570,14193,13753,12830,8640,8297,-,7440,7147
38,Total Liabilities & Equity,-,28120,27679,27360,25441,25661,25564,25476,23787,24026,23762,23780,22666,24890,23455,18325,17060,-,15616,-
39,Total Debt,2649,2649,2613,2731,1744,2070,2149,2617,1257,1822,2632,2608,1308,3500,3237,2533,2189,-,2234,962.27
40,Net Cash (Debt),-837.81,-837.81,-662.08,-567.13,-657.32,-415.66,478.54,662.99,897.17,361.27,450.4,504.94,1298,1475,1756,-1327,-857.33,-,-626.35,1405
41,Net Cash Growth,-,-,-,-,-,-,6.25%,31.30%,-30.89%,-75.50%,-74.35%,-,-,-,-,-,-,-,-,-
42,Net Cash Per Share,-0.16,-0.14,-0.13,-0.11,-0.12,-0.08,0.09,0.13,0.18,0.07,0.09,0.09,0.24,0.28,0.46,-0.35,-0.24,-,-0.15,0.37
43,Filing Date Shares Outstanding,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5141,3856,3856,3853,4148,3754
44,Total Common Shares Outstanding,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5141,3856,3856,3853,4148,3754
45,Working Capital,-,8303,8137,8195,7147,7545,7786,8553,8124,7672,7584,7535,7266,8034,6770,2382,1990,-,2418,-
46,Book Value Per Share,3.20,3.20,3.14,3.17,3.10,3.03,2.99,2.98,2.90,2.82,2.75,2.73,2.66,2.57,2.49,2.24,2.15,-,1.88,1.85
47,Tangible Book Value,16151,16151,15835,15960,15584,15205,15004,14943,14516,14078,13686,13565,13181,12734,11805,7878,7530,-,6697,6394
48,Tangible Book Value Per Share,3.03,3.03,2.97,2.99,2.92,2.85,2.81,2.80,2.72,2.64,2.57,2.54,2.47,2.39,2.30,2.04,1.95,-,1.69,1.66
49,Buildings,-,-,2395,-,8369,-,2011,-,6108,-,1946,-,1931,-,1932,1932,1921,-,1847,-
50,Machinery,-,-,7130,-,1536,-,6407,-,1384,-,4922,-,4818,-,4243,3660,3519,-,2341,-
51,Construction In Progress,-,-,212.03,-,219.81,-,371.53,-,297.83,-,334.9,-,235.52,-,104.64,61.78,31.05,-,67.82,-
