,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
14,EV/FCF Ratio,-,-,187.95,-,-35.73,-,-,-,-,116.61,-,-16.44,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.15,0.15,0.15,0.16,0.16,0.11,0.13,0.13,0.16,0.08,0.12,0.18,0.18,0.09,0.25,0.25,0.29,0.26,-,0.30,0.13
16,Debt / EBITDA Ratio,1.08,0.78,1.22,1.35,1.17,0.81,1.45,0.65,1.14,0.75,0.89,0.76,1.27,0.54,1.60,0.98,1.51,1.43,-,0.79,1.57
17,Debt / FCF Ratio,-,-,21.47,-,-4.56,-,-,-,-,7.07,-,-2.04,-,-,-,-,-,-3.32,-,-,-
18,Asset Turnover,-,0.29,0.35,0.36,0.41,0.29,0.50,0.38,0.38,0.41,0.54,0.37,0.39,0.38,0.57,0.42,-,-,-,-,
19,Inventory Turnover,-,-,0.99,1.27,1.34,1.64,1.17,2.06,1.38,1.43,1.75,2.22,1.59,1.84,2.01,2.72,1.83,-,-,-,-
20,Quick Ratio,-,-,1.26,1.28,1.31,1.31,1.36,1.45,1.47,1.49,1.48,1.50,1.44,1.51,1.48,1.42,0.90,0.95,-,0.95,-
21,Current Ratio,-,-,1.88,1.89,1.93,1.92,1.94,1.96,2.08,2.16,1.99,1.99,1.96,2.03,1.90,1.76,1.27,1.24,-,1.32,-
22,Return on Equity (ROE),11.19%,7.24%,8.41%,8.81%,9.24%,4.73%,15.27%,10.60%,11.53%,10.46%,17.43%,10.49%,12.67%,11.38%,21.36%,16.14%,-,-,30.76%,-,
23,Return on Assets (ROA),-,3.10%,2.46%,3.62%,3.28%,1.80%,6.16%,4.08%,2.53%,3.84%,7.17%,3.98%,4.77%,3.89%,7.81%,4.53%,-,-,-,-,
24,Return on Capital (ROIC),8.29%,4.41%,3.46%,5.04%,4.58%,2.53%,8.57%,5.69%,3.60%,5.37%,9.88%,5.66%,6.93%,5.64%,11.97%,7.40%,-,-,17.05%,-,
25,Return on Capital Employed (ROCE),-,-,7.12%,6.34%,8.26%,8.76%,8.27%,9.38%,9.64%,9.88%,11.49%,11.69%,11.61%,11.56%,10.28%,11.18%,16.41%,14.98%,-,8.62%,-
26,Earnings Yield,6.83%,6.43%,6.25%,6.58%,7.47%,7.53%,7.41%,7.23%,6.70%,8.75%,9.23%,8.45%,7.51%,6.42%,6.19%,5.43%,-,-,-,-,-
27,FCF Yield,-,0.55%,-2.58%,-2.89%,-4.38%,-0.71%,0.34%,2.62%,0.84%,-2.56%,-5.95%,-9.66%,-7.25%,-5.38%,-3.17%,-,-,-,-,-,
28,Dividend Yield,2.14%,-,-,-,-,2.32%,-,-,-,2.76%,-,-,-,2.07%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,161.28%,4.14%,4.18%,8.61%,298.13%,3.44%,1.93%,3.32%,4.05%,84.97%,4.27%,4.69%,7.30%,4.13%,4.11%,2.89%,3.19%,254.06%,3.90%
30,Buyback Yield / Dilution,-1.39%,1.93%,-17.05%,9.42%,-1.20%,-10.45%,8.22%,-5.53%,3.32%,9.37%,-4.02%,-38.21%,-41.92%,-52.36%,-37.65%,7.66%,-1.06%,-,-,-,-
31,Total Shareholder Return,0.75%,1.93%,-17.05%,9.42%,-1.20%,-8.13%,8.22%,-5.53%,3.32%,12.13%,-4.02%,-38.21%,-41.92%,-50.28%,-37.65%,7.66%,-1.06%,-,-,-,-
