,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
14,EBT Excluding Unusual Items,30.99,13.39,21.95,5.1,20.76,17.11,16.09,-4.9,23.19,21.62,11.76,14.44,14.44,16.31,16.31
15,Gain (Loss) on Sale of Investments,-,0.03,-0.03,0.75,-1.34,-3.51,0.01,-0.11,-0.58,-1.09,-,0.29,0.29,-,-
16,Gain (Loss) on Sale of Assets,-0.2,-,-0.04,-0.01,-,-,-0.08,-,-,-,-,-0.02,-0.02,-,-
17,Asset Writedown,-3.61,1.74,-1.74,4.94,-4.94,3.39,-3.39,4.56,-4.56,-,-,-,-,-,-
18,Other Unusual Items,-4.8,3.91,0.89,1.46,-,-,-,15.44,-,-,-,5.5,5.5,-,-
19,Pretax Income,22.38,19.08,21.02,12.24,14.49,16.99,12.62,14.99,18.05,20.53,11.76,20.21,20.21,16.31,16.31
20,Income Tax Expense,3.36,2.74,3.4,0.91,1.75,2.29,1.54,1.7,2.44,5.57,0.94,2.01,2.01,1.57,1.57
21,Earnings From Continuing Operations,19.02,16.34,17.62,11.33,12.74,14.71,11.08,13.3,15.6,14.97,10.83,18.21,18.21,14.74,14.74
22,Minority Interest in Earnings,0.59,0.56,0.67,0.18,0.29,0.25,0.83,0.59,0.42,2.41,1.01,0.63,0.63,0.17,0.17
23,Net Income,19.61,16.9,18.29,11.51,13.03,14.96,11.91,13.89,16.02,17.38,11.84,18.84,18.84,14.91,14.91
24,Net Income to Common,19.61,16.9,18.29,11.51,13.03,14.96,11.91,13.89,16.02,17.38,11.84,18.84,18.84,14.91,14.91
25,Net Income Growth,50.45%,12.94%,53.61%,-17.12%,-18.65%,-13.90%,0.59%,-26.27%,-14.96%,16.55%,-20.61%,-,-,-,-
26,Shares Outstanding (Basic),103,104,103,107,107,76,77,75,80,78,-,78,-,-,-
27,Shares Outstanding (Diluted),103,104,103,107,107,76,77,75,80,78,-,78,-,-,-
28,Shares Change (YoY),-3.29%,36.10%,33.55%,41.86%,33.02%,-1.80%,-,-3.41%,-,-,-,-,-,-,-
29,EPS (Basic),0.19,0.16,0.18,0.11,0.12,0.20,0.15,0.18,0.20,0.22,-,0.24,-,-,-
30,EPS (Diluted),0.19,0.16,0.18,0.11,0.12,0.20,0.15,0.18,0.20,0.22,-,0.24,-,-,-
31,EPS Growth,55.58%,-17.02%,15.02%,-41.57%,-38.84%,-12.32%,-,-23.06%,-,-,-,-,-,-,-
32,Free Cash Flow,-31.17,-28.58,-23.12,34.7,0.67,10.43,36.68,54.34,-15.97,-,-,-,-,-,-
33,Free Cash Flow Per Share,-0.30,-0.28,-0.22,0.32,0.01,0.14,0.47,0.72,-0.20,-,-,-,-,-,-
34,Dividend Per Share,-,0.120,-,0.192,-,0.123,-,-,-,-,-,-,-,-,-
35,Dividend Growth,-,-2.52%,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,25.97%,21.76%,24.86%,19.06%,29.15%,20.65%,25.64%,20.63%,25.54%,33.50%,6.96%,27.36%,27.36%,8.80%,8.80%
37,Operating Margin,14.32%,4.82%,11.20%,3.05%,13.27%,7.56%,13.45%,-1.56%,12.87%,12.03%,6.96%,7.21%,7.21%,8.80%,8.80%
38,Profit Margin,9.13%,9.20%,11.12%,7.17%,9.88%,9.26%,9.00%,9.51%,10.96%,12.70%,7.00%,8.67%,8.67%,8.04%,8.04%
39,Free Cash Flow Margin,-14.52%,-15.56%,-14.05%,21.61%,0.51%,6.46%,27.71%,37.21%,-10.93%,-,-,-,-,-,-
40,EBITDA,32.79,11.12,20.49,6.96,19.63,14.37,19.92,-0.15,20.52,18.54,13.48,17.39,17.15,17.78,17.78
41,EBITDA Margin,15.28%,6.05%,12.45%,4.33%,14.89%,8.90%,15.05%,-0.10%,14.05%,13.55%,7.98%,8.00%,7.89%,9.59%,9.59%
42,D&A For EBITDA,2.06,2.27,2.06,2.06,2.12,2.16,2.12,2.12,1.72,2.08,1.72,1.72,1.47,1.47,1.47
43,EBIT,30.73,8.84,18.43,4.9,17.5,12.21,17.8,-2.28,18.81,16.46,11.76,15.67,15.67,16.31,16.31
44,EBIT Margin,14.32%,4.82%,11.20%,3.05%,13.27%,7.56%,13.45%,-1.56%,12.87%,12.03%,6.96%,7.21%,7.21%,8.80%,8.80%
45,Effective Tax Rate,15.03%,14.37%,16.18%,7.46%,12.06%,13.47%,12.22%,11.31%,13.54%,27.10%,7.96%,9.93%,9.93%,9.63%,9.63%
46,Revenue as Reported,214.63,183.69,164.53,160.58,131.86,161.49,132.36,146.02,146.12,305.8,-,402.82,402.82,-,-
