,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
18,Accrued Expenses,11.42,12.87,11.46,13.85,11.84,12.41,-,12.62,-,-,-,14.09,14.09,-,-
19,Current Portion of Leases,0.87,0.87,0.81,0.82,0.88,0.95,-,0.2,-,-,-,0.19,0.19,-,-
20,Current Income Taxes Payable,7.21,4.38,5.22,3.23,4.83,3.98,-,6.73,-,-,-,2.24,2.24,-,-
21,Current Unearned Revenue,7.68,8.53,11.13,15.25,7.83,8.6,-,6.64,-,-,-,11.26,11.26,-,-
22,Other Current Liabilities,0.61,0.34,0.86,1.12,4.24,26.98,-,1,-,-,-,1.37,1.37,-,-
23,Total Current Liabilities,140.09,146.7,128.81,154.61,110.34,140.72,-,126.22,-,-,-,163.76,163.76,-,-
24,Long-Term Leases,-,-,0.04,0.76,1.55,1.55,-,0.12,-,-,-,0.31,0.31,-,-
25,Long-Term Unearned Revenue,15.58,16.24,16.91,17.58,18.24,18.8,-,14.53,-,-,-,3.74,3.74,-,-
26,Long-Term Deferred Tax Liabilities,-,-,-,-,1.22,1.3,-,1.48,-,-,-,1.82,1.82,-,-
27,Other Long-Term Liabilities,0.42,0.39,0.28,0.36,0.3,0.3,-,0.3,-,-,-,0.11,0.11,-,-
28,Total Liabilities,156.09,163.34,146.05,173.31,131.66,162.67,-,142.65,-,-,-,169.73,169.73,-,-
29,Common Stock,104,104,80,80,80,80,-,60,-,-,-,60,60,-,-
30,Additional Paid-In Capital,339.54,341.31,365.31,365.31,365.31,365.31,-,82.12,-,-,-,82.12,82.12,-,-
31,Retained Earnings,254.15,234.55,237.65,219.36,207.85,207.62,-,180.75,-,-,-,133.63,133.63,-,-
32,Comprehensive Income & Other,0.16,-1.61,1.09,-0,-,-,-,-,-,-,-,-,-,-,-
33,Total Common Equity,697.85,678.24,684.05,664.67,653.16,652.93,322.87,322.87,-,-,275.75,275.75,275.75,-,249.76
34,Minority Interest,-6.2,-7.38,-6.82,-6.15,-5.97,-5.68,-,-5.09,-,-,-,-0.66,-0.66,-,-
35,Shareholders' Equity,691.65,670.86,677.22,658.52,647.19,647.25,317.78,317.78,-,-,275.09,275.09,275.09,-,249.76
36,Total Liabilities & Equity,847.74,834.2,823.27,831.83,778.85,809.92,-,460.43,-,-,-,444.82,444.82,-,-
37,Total Debt,0.87,0.87,0.85,1.59,2.43,2.49,0.32,0.32,-,-,0.5,0.5,0.5,-,-
38,Net Cash (Debt),433.13,447.32,498.2,520.68,492.77,529.24,151.27,151.27,-,-,77.69,77.69,77.69,-,106.61
39,Net Cash Growth,-12.10%,-15.48%,229.33%,244.20%,-,-,94.72%,94.72%,-,-,-27.13%,-,-,-,-
40,Net Cash Per Share,4.20,4.32,4.82,4.87,4.62,6.95,1.95,2.01,-,-,-,1.00,-,-,-
41,Filing Date Shares Outstanding,104,104,104,104,104,104,78,78,80.2,77.5,-,78,-,-,-
42,Total Common Shares Outstanding,104,104,104,104,104,104,78,78,80.2,77.5,-,78,-,-,-
43,Working Capital,532.14,521.76,567.93,578.49,581.49,580.2,-,243.97,-,-,-,186.66,186.66,-,-
44,Book Value Per Share,6.71,6.52,6.58,6.39,6.28,6.28,4.14,4.14,-,-,3.54,3.54,-,-,3.20
45,Tangible Book Value,641.32,622.06,673.33,653.77,642.08,641.66,311.23,311.23,-,-,264.82,264.82,264.82,-,241.84
46,Tangible Book Value Per Share,6.17,5.98,6.47,6.29,6.17,6.17,3.99,3.99,-,-,3.40,3.40,-,-,3.10
47,Buildings,-,39.57,-,39.57,-,39.57,-,39.61,-,-,-,28.58,28.58,-,-
48,Machinery,-,72.46,-,72.43,-,70.85,-,71.25,-,-,-,70.89,70.89,-,-
49,Construction In Progress,-,-,-,0.01,-,0.49,-,0.41,-,-,-,10.08,10.08,-,-
