,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020,Q2 2017,Q1 2017
13,EV/FCF Ratio,-77.97,-,945.69,-,-46.87,-,145.82,-,-24.83,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.02,0.02,0.02,0.04,0.01,0.01,0.02,0.01,0.02,0.06,0.06,0.07,0.13,-,0.11,0.10,0.10,0.15,0.37,0.37
15,Debt / EBITDA Ratio,0.17,0.13,0.11,0.35,2.23,0.07,0.86,0.16,-,0.85,1.07,0.28,0.22,-,0.27,0.14,0.47,0.74,0.36,0.36
16,Debt / FCF Ratio,-,-,23.40,-,-0.60,-,3.13,-,-0.41,-,-,-,-,-,-5.80,-,-,-,-,-
17,Asset Turnover,0.67,0.67,0.61,0.65,0.63,0.57,0.47,0.47,0.39,0.43,0.84,-,-,-,-,-,-,1.52,-,
18,Inventory Turnover,2.19,2.03,2.15,2.37,2.86,1.94,2.29,1.62,2.31,1.26,1.70,2.17,-,-,-,-,-,-,2.48,-
19,Quick Ratio,2.71,2.71,3.05,3.28,3.80,4.52,4.81,6.56,6.33,4.52,4.78,6.05,1.46,-,1.73,-,1.38,1.46,0.87,0.87
20,Current Ratio,4.84,4.84,5.19,5.07,5.77,6.93,7.43,9.99,9.58,7.37,7.13,7.95,3.21,-,3.59,-,3.40,2.53,1.89,1.89
21,Return on Equity (ROE),8.91%,13.16%,6.70%,6.46%,7.58%,3.46%,0.38%,-6.90%,-5.77%,4.10%,29.69%,-,-,33.28%,53.85%,-,-,82.15%,-,
22,Return on Assets (ROA),6.81%,8.71%,4.32%,-0.84%,9.33%,0.14%,2.54%,-12.02%,3.21%,2.37%,18.54%,-,-,-,-,-,-,38.68%,-,
23,Return on Capital (ROIC),7.88%,9.95%,4.92%,-0.95%,10.44%,0.16%,2.78%,-13.11%,3.50%,2.59%,20.85%,-,-,23.92%,37.26%,-,-,46.13%,-,
24,Return on Capital Employed (ROCE),8.53%,8.63%,9.70%,5.67%,-,-0.10%,-2.77%,-1.68%,-,14.16%,16.16%,17.09%,39.05%,-,27.93%,-,22.80%,22.10%,50.62%,25.31%
25,Earnings Yield,4.26%,4.95%,6.52%,4.78%,3.26%,0.86%,-1.74%,-1.28%,1.76%,4.51%,5.71%,6.68%,-,-,-,-,-,-,-,-
26,FCF Yield,-1.07%,-1.25%,0.07%,1.81%,-1.45%,1.62%,0.45%,-3.72%,-3.04%,-5.12%,-3.79%,-2.72%,-,-,-,-,-,-,-,-
27,Dividend Yield,2.53%,-,-,-,3.94%,-,-,-,1.84%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,57.12%,0.31%,154.48%,0.34%,-,5.05%,374.30%,19.03%,-,-,533.87%,0.61%,0.22%,0.45%,0.72%,0.19%,1.01%,7.70%,1.81%,1.81%
29,Buyback Yield / Dilution,14.78%,22.53%,13.25%,-13.50%,31.32%,-28.20%,-14.88%,-17.28%,-34.81%,-33.55%,-33.71%,-0.04%,0.52%,-14.70%,-24.33%,-24.12%,-,-,-,-
30,Total Shareholder Return,17.32%,22.53%,13.25%,-13.50%,35.26%,-28.20%,-14.88%,-17.28%,-32.97%,-33.55%,-33.71%,-0.04%,0.52%,-14.70%,-24.33%,-24.12%,-,-,-,-
