,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
13,EV/FCF Ratio,-,-,-,-72.17,-,-,-,-,-,15.13,-,25.58,-,94.35,-,-,-,-,-,-,-
14,Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,0.04,0.04,0.14,0.16,0.18,-,0.18,0.22
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,0.51,0.36,0.19,0.28,0.39,-,0.18,0.33
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,0.72,-,1.29,0.81,1.85,-,1.36,20.08
17,Asset Turnover,-,0.12,0.03,-,-,-,0.11,0.19,0.15,0.05,0.06,0.21,0.16,0.22,0.82,0.54,-,-,-,-,
18,Inventory Turnover,-,-,0.39,0.18,-,-,-,0.46,0.78,0.72,0.31,0.37,0.90,0.77,0.62,1.30,0.80,-,-,-,-
19,Quick Ratio,-,-,9.82,10.38,10.06,9.80,-,12.48,16.72,13.78,13.14,13.99,17.04,9.44,8.48,2.57,2.08,1.89,-,2.01,-
20,Current Ratio,-,-,11.17,11.78,11.20,10.86,-,13.93,18.40,15.42,14.56,15.32,18.40,10.20,9.22,3.15,2.72,2.51,-,2.49,-
21,Return on Equity (ROE),-12.24%,2.30%,-3.78%,-,-,-,4.91%,8.73%,7.40%,0.80%,2.35%,10.94%,12.08%,10.74%,67.89%,48.82%,-,-,94.94%,-,
22,Return on Assets (ROA),-,2.31%,-3.99%,-,-,-,-0.56%,4.90%,3.00%,-0.38%,-0.58%,6.29%,3.45%,6.99%,30.25%,22.79%,-,-,-,-,
23,Return on Capital (ROIC),-7.49%,2.58%,-4.45%,-,-,-,-0.61%,5.36%,3.31%,-0.42%,-0.64%,6.86%,3.80%,8.13%,39.99%,30.97%,-,-,58.69%,-,
24,Return on Capital Employed (ROCE),-,-,0.79%,-,2.19%,3.21%,-,-,2.92%,3.77%,-,-,11.85%,13.32%,15.00%,45.92%,52.75%,53.75%,-,30.41%,-
25,Earnings Yield,-1.33%,-1.21%,1.34%,1.36%,2.30%,1.99%,2.08%,1.65%,1.38%,1.98%,2.52%,2.28%,3.38%,2.58%,2.44%,-,-,-,-,-,-
26,FCF Yield,-,-1.56%,-0.93%,-2.20%,-0.65%,0.91%,0.53%,3.86%,4.90%,4.47%,3.19%,0.37%,0.93%,0.88%,-,-,-,-,-,-,
27,Dividend Yield,1.97%,-,-,-,-,1.22%,-,-,-,-,-,-,-,1.18%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,607.12%,-,-,-,-,-,-,4.83%,44.82%,995.90%,-,1.32%,7.59%,-,-,25.15%,74.91%,2.23%,-
29,Buyback Yield / Dilution,-0.54%,-0.54%,-1.71%,-0.01%,0.10%,1.28%,1.83%,1.83%,1.70%,0.48%,-9.19%,-33.30%,-33.35%,-33.36%,-22.18%,-0.01%,-0.01%,-,-,-,-
30,Total Shareholder Return,1.43%,-0.54%,-1.71%,-0.01%,0.10%,2.50%,1.83%,1.83%,1.70%,0.48%,-9.19%,-33.30%,-33.35%,-32.18%,-22.18%,-0.01%,-0.01%,-,-,-,-
