,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,Total Current Assets,-,828.53,855.15,861.11,853.57,-,819.54,800.34,793.66,824.87,819.08,857.98,873.23,857.59,353.43,308.33,276.14,-,243.75,-
10,"Property, Plant & Equipment",-,88.56,82.89,79.48,76.21,-,62.84,55.93,57.33,67.35,68.26,67.6,68.15,69.48,69.17,69.19,69.56,-,66.92,-
11,Other Intangible Assets,-,5.35,5.42,5.43,5.5,-,5.59,5.66,5.72,5.79,5.85,5.79,5.85,6.94,7,6.15,6.19,-,6.1,-
12,Long-Term Deferred Tax Assets,-,8.51,7.66,7.2,6.28,-,4.74,4.52,4.31,4.37,4.31,4.54,4.33,3.36,3.54,2.88,2.87,-,3.04,-
13,Long-Term Deferred Charges,-,4.37,4.81,-,5.69,-,4.49,4.82,5.15,2.38,2.56,2.6,2.78,1.42,1.52,1.32,1.41,-,0.95,-
14,Other Long-Term Assets,-,9.1,10.36,14.68,9.56,-,10.55,8.85,9,1.52,1.55,1.6,1.64,-,-,-,-,-,-,-
15,Total Assets,-,944.42,966.3,967.9,956.81,-,907.75,880.12,875.18,906.28,901.62,940.11,955.98,938.79,434.66,387.88,356.18,-,320.76,-
16,Accounts Payable,-,49.66,49.58,44.41,45.41,-,33.65,31.09,31.61,35.76,32.66,28.36,35.68,42.31,50.07,53.89,55.56,-,41.45,-
17,Accrued Expenses,-,3.94,3.5,1.73,8.03,-,3.8,1.06,5.89,3.56,3.25,1.32,5.63,5.16,3.44,2.63,6.1,-,2.87,-
18,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,30,30,40,40,40,-,35,-
19,Current Income Taxes Payable,-,0.8,0.01,7.17,3.52,-,1.01,8.3,6.49,7.13,6.35,8.14,4.45,2.06,8.83,7.77,3.5,-,10.4,-
20,Current Unearned Revenue,-,10.01,9.94,6.85,6.5,-,5.82,1.04,4.55,7.07,9.53,7.82,9.06,6.25,6.27,7.98,4.26,-,6.77,-
21,Other Current Liabilities,-,9.75,9.53,16.71,15.11,-,14.54,2.01,2.94,3.15,1.69,1,0.78,7.22,3.44,1.25,0.77,-,1.48,-
22,Total Current Liabilities,-,74.15,72.57,76.87,78.57,-,58.82,43.5,51.48,56.67,53.47,46.64,85.6,93,112.05,113.53,110.19,-,97.98,-
23,Long-Term Unearned Revenue,-,25.14,25.41,25.68,26.37,-,26.91,27.18,27.45,18.92,27.19,19.36,27.73,20.11,20.39,18.15,18.34,-,21.18,-
24,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,8.1,-,8.1,-,8.1,8.1,8.1,8.1,-,8.1,-
25,Total Liabilities,-,99.29,97.97,102.55,104.94,-,85.73,70.68,78.93,83.69,80.67,74.1,113.34,121.21,140.54,139.78,136.62,-,127.26,-
26,Common Stock,-,103.89,80,80,80,-,80,80,80,80,80,80,80,80,60,60,60,-,60,-
27,Additional Paid-In Capital,-,545.62,568.09,568.56,564.89,-,557.62,569.37,569.37,569.37,569.37,569.37,569.37,569.37,80.83,80.83,80.83,-,80.83,-
28,Retained Earnings,-,214.35,239.29,247.47,237.9,-,215.72,205.48,188.19,173.22,171.58,216.63,193.27,168.21,153.28,107.27,78.73,-,52.67,-
29,Treasury Stock,-,-20.31,-20.31,-31.74,-31.74,-,-31.74,-45.45,-41.32,-,-,-,-,-,-,-,-,-,-,-
30,Comprehensive Income & Other,-,1.58,1.27,1.07,0.83,-,0.42,0.02,-,-,-,-,-,-,-,-,-,-,-,-
31,Shareholders' Equity,845.13,845.13,868.33,865.36,851.87,-,822.03,809.43,796.25,822.59,820.95,866,842.64,817.58,294.11,248.1,219.56,-,193.5,136.28
32,Total Liabilities & Equity,-,944.42,966.3,967.9,956.81,-,907.75,880.12,875.18,906.28,901.62,940.11,955.98,938.79,434.66,387.88,356.18,-,320.76,-
33,Total Debt,-,-,-,-,-,-,-,-,-,-,-,-,30,30,40,40,40,-,35,30
34,Net Cash (Debt),550.91,550.91,588.11,563.14,592.91,-,586.88,581.8,581.96,586.36,594.01,551.98,549.05,526.86,31.31,19.31,-4.28,-,30.89,-2.75
35,Net Cash Growth,-7.08%,-,0.21%,-3.21%,1.88%,-,-1.20%,5.40%,5.99%,11.29%,1797.00%,2759.03%,-,-,1.37%,-,-,-,-,-
36,Net Cash Per Share,5.36,5.30,5.76,5.51,5.80,-,5.75,5.69,5.62,5.63,5.71,5.31,5.28,5.53,0.40,0.25,-0.05,-,0.40,-0.04
37,Filing Date Shares Outstanding,102.73,103.39,103.5,103.26,103.26,102.17,103.26,102.14,104,104,104,104,104,104,104,78,78,78.01,78,77.99
38,Total Common Shares Outstanding,103.39,103.39,103.5,103.26,103.26,102.17,103.26,102.14,104,104,104,104,104,104,78,78,78,78.01,78,77.99
39,Working Capital,-,754.37,782.59,784.24,774.99,-,760.72,756.84,742.19,768.2,765.6,811.34,787.63,764.59,241.38,194.8,165.96,-,145.77,-
40,Book Value Per Share,8.17,8.17,8.39,8.38,8.25,-,7.96,7.93,7.66,7.91,7.89,8.33,8.10,7.86,3.77,3.18,2.81,-,2.48,8.73
41,Tangible Book Value,839.77,839.77,862.91,859.92,846.37,-,816.43,803.78,790.53,816.8,815.1,860.22,836.79,810.64,287.11,241.95,213.37,-,187.4,130.24
42,Tangible Book Value Per Share,8.12,8.12,8.34,8.33,8.20,-,7.91,7.87,7.60,7.85,7.84,8.27,8.05,7.79,3.68,3.10,2.74,-,2.40,8.34
43,Buildings,-,-,56.44,-,56.44,-,56.44,-,56.48,-,65.76,-,65.76,-,-,68.29,67.88,-,63.53,-
44,Machinery,-,-,38.03,-,36.58,-,32.21,-,32.24,-,30.67,-,29.83,-,-,25.94,25.44,-,30.91,-
45,Construction In Progress,-,-,29.58,-,21.16,-,9.22,-,0.46,-,2.08,-,-,-,-,-,-,-,-,-
