,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
9,Operating Expenses,604.24,64.26,83.1,68.01,72.71,63.44,67.28,58.62,60.65,47.39,56.1,41.21,66.6,36.26,33.78,21.76,25.88,23.87
10,Operating Income,-27.74,-22.4,-73.35,-55.16,-280.66,24.33,-135.47,-37.79,-118.03,32.59,92.18,130.72,77.73,117.13,55.59,32.83,13.81,33.75
11,Interest Expense,-40.21,-0.67,-0.56,-0.58,-0.68,-0.68,-0.37,-1.45,-0.54,-0.4,-0.76,-0.46,-0.21,-0.41,-0.46,-0.55,-0.46,-0.74
12,Interest & Investment Income,1.81,13.51,13.55,13.15,18.63,16.29,14.69,20.45,27.97,18.77,12.72,11.59,2.13,0.54,0.47,0.74,0.24,0.13
13,Currency Exchange Gain (Loss),-,-6.11,6.11,-,10,-23.04,23.04,-,30.06,-22,22,-,8.03,-0.96,0.96,-,-16.49,-18
14,Other Non Operating Income (Expenses),7.05,-11.07,0.8,2.86,-22.15,19.35,3.9,-1.36,-53.51,50.46,-4.09,2.61,-8.15,7.63,-6.44,5.75,-0.01,-0.05
15,EBT Excluding Unusual Items,-59.09,-26.74,-53.44,-39.73,-274.87,36.26,-94.2,-20.15,-114.06,79.42,122.05,144.46,79.52,123.93,50.12,38.78,-2.91,15.08
16,Gain (Loss) on Sale of Investments,0.41,0.94,-0.05,-1.3,1.33,-0.58,-0.38,-,-7.92,2.71,5.21,-0,-0,-0,0,-0.02,3.42,5.54
17,Gain (Loss) on Sale of Assets,-,-,-,-,-0,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Asset Writedown,15.98,-15.98,5.96,-5.96,107.1,-107.1,15.36,-15.36,16.4,-16.4,3.24,-3.24,19.84,-19.84,5.28,-5.28,-,-
19,Other Unusual Items,0.09,-1.34,1.35,-0.1,0.9,-,-,-,5.08,-,-,-,8.99,-,-,-,0.58,0.09
20,Pretax Income,-42.62,-43.12,-46.19,-47.09,-165.54,-71.41,-79.22,-35.51,-100.51,65.73,130.5,141.21,108.35,104.09,55.4,33.48,1.09,20.71
21,Income Tax Expense,-5.29,0.27,-1.32,1.16,-7.21,-1.73,-41.14,-1.05,-8.99,-1.19,10.72,19.01,7.1,2.21,6.24,1.68,1.47,0.39
22,Earnings From Continuing Operations,-37.32,-43.39,-44.86,-48.25,-158.33,-69.69,-38.07,-34.46,-91.52,66.92,119.78,122.2,101.25,101.88,49.16,31.8,-0.38,20.32
23,Minority Interest in Earnings,-6.16,4.17,-1.75,3.75,-1.62,-1.51,-2.67,0.09,5.88,-10.48,-15.23,-12.08,-7.56,-13.67,-4.01,2.94,3.49,-2.37
24,Net Income,-43.49,-39.22,-46.62,-44.5,-159.95,-71.19,-40.74,-34.37,-85.64,56.44,104.54,110.12,93.69,88.21,45.15,34.75,3.11,17.95
25,Net Income to Common,-43.49,-39.22,-46.62,-44.5,-159.95,-71.19,-40.74,-34.37,-85.64,56.44,104.54,110.12,93.69,88.21,45.15,34.75,3.11,17.95
26,Net Income Growth,-,-,-,-,-,-,-,-,-,-36.01%,131.57%,216.92%,2912.58%,391.48%,-,-,-,-
27,Shares Outstanding (Basic),435,436,423,445,445,446,454,430,433,457,436,440,371,323,318,347,325,317
28,Shares Outstanding (Diluted),435,436,423,445,445,446,454,430,433,457,436,440,371,323,318,347,325,317
29,Shares Change (YoY),-2.36%,-2.42%,-6.88%,3.60%,2.85%,-2.35%,4.21%,-2.47%,16.67%,41.49%,36.88%,26.77%,14.32%,2.06%,-,-,-,-
30,EPS (Basic),-0.10,-0.09,-0.11,-0.10,-0.36,-0.16,-0.09,-0.08,-0.20,0.12,0.24,0.25,0.25,0.27,0.14,0.10,0.01,0.06
31,EPS (Diluted),-0.10,-0.09,-0.11,-0.10,-0.36,-0.16,-0.09,-0.08,-0.20,0.12,0.24,0.25,0.25,0.27,0.14,0.10,0.01,0.06
32,EPS Growth,-,-,-,-,-,-,-,-,-,-54.78%,69.18%,150.00%,2535.40%,381.54%,-,-,-,-
33,Free Cash Flow,-,-80.61,-115.72,-71.69,-77.33,-119.99,-87.52,-44.2,-94.35,-17.04,-303.72,73.21,61.73,-26.88,2.61,27.66,208.02,-
34,Free Cash Flow Per Share,-,-0.19,-0.27,-0.16,-0.17,-0.27,-0.19,-0.10,-0.22,-0.04,-0.70,0.17,0.17,-0.08,0.01,0.08,0.64,-
35,Dividend Per Share,-,-,-,-,-,-,-,-,0.126,-,-,-,0.180,-,-,-,-,-
36,Dividend Growth,-,-,-,-,-,-,-,-,-30.00%,-,-,-,-,-,-,-,-,-
37,Gross Margin,297.23%,23.16%,6.10%,12.09%,-130.42%,66.75%,-58.88%,16.82%,-28.94%,34.18%,40.15%,49.91%,41.33%,46.43%,33.55%,28.98%,20.58%,20.61%
38,Operating Margin,-14.30%,-12.40%,-45.83%,-51.92%,-176.01%,18.50%,-116.98%,-30.52%,-59.53%,13.93%,24.96%,37.95%,22.26%,35.45%,20.87%,17.43%,7.16%,12.07%
39,Profit Margin,-22.42%,-21.70%,-29.13%,-41.89%,-100.31%,-54.14%,-35.18%,-27.75%,-43.19%,24.12%,28.31%,31.97%,26.83%,26.70%,16.95%,18.44%,1.61%,6.42%
40,Free Cash Flow Margin,-,-44.61%,-72.31%,-67.48%,-48.49%,-91.26%,-75.58%,-35.69%,-47.59%,-7.28%,-82.25%,21.25%,17.68%,-8.14%,0.98%,14.68%,107.85%,-
41,EBITDA,-19.21,-13.87,-71.2,-46.63,-272.13,31.4,-126.73,-30.72,-110.97,37.66,98.58,135.79,83.14,122.62,60.05,36.5,21.27,36.15
42,EBITDA Margin,-9.90%,-7.68%,-44.49%,-43.89%,-170.66%,23.88%,-109.43%,-24.81%,-55.97%,16.09%,26.70%,39.42%,23.81%,37.12%,22.54%,19.38%,11.03%,12.93%
43,D&A For EBITDA,8.53,8.53,2.15,8.53,8.53,7.07,8.74,7.07,7.07,5.06,6.4,5.06,5.41,5.49,4.45,3.67,7.46,2.4
44,EBIT,-27.74,-22.4,-73.35,-55.16,-280.66,24.33,-135.47,-37.79,-118.03,32.59,92.18,130.72,77.73,117.13,55.59,32.83,13.81,33.75
45,EBIT Margin,-14.30%,-12.40%,-45.83%,-51.92%,-176.01%,18.50%,-116.98%,-30.52%,-59.53%,13.93%,24.96%,37.95%,22.26%,35.45%,20.87%,17.43%,7.16%,12.07%
46,Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,8.21%,13.46%,6.55%,2.12%,11.27%,5.02%,134.64%,1.87%
47,Revenue as Reported,-,180.71,160.04,106.24,159.46,131.49,115.81,123.84,198.27,234,369.28,344.46,349.18,330.37,266.36,188.37,192.89,279.6
