,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
16,Other Long-Term Assets,240.32,0.93,216.1,0.71,171.55,0.33,168.86,0.36,0.69,0.11,71.9,0.05,-,-,-
17,Total Assets,1225,1173,1124,1153,1128,1107,1046,1055,1065,717.29,755.4,853.13,-,-,-
18,Accounts Payable,246.14,227.6,209.14,235.53,231.3,234.66,191.39,202.23,200.45,227.25,-,265.29,-,-,-
19,Accrued Expenses,3.63,7.98,3.82,13.41,6.05,8.63,5,20.17,10.76,14.54,-,25.31,-,-,-
20,Short-Term Debt,1,0.5,0.5,2,5.01,-,-,-,14.42,14.42,-,51.23,-,-,-
21,Current Portion of Leases,3.12,2.99,2.96,1.4,1.03,2.15,2.29,3.17,4.13,4.19,-,3.45,-,-,-
22,Current Income Taxes Payable,5.45,2.5,3,4.63,3.46,0.78,9.6,3.06,1.47,2.09,-,7.16,-,-,-
23,Current Unearned Revenue,108.57,81.81,66.86,70.62,75,71.98,62.33,61.26,95.39,102.89,-,174.85,-,-,-
24,Other Current Liabilities,15.61,12.13,10.35,10.6,11.08,9.89,8.11,8.7,12.46,13.38,436.66,22.73,-,-,-
25,Total Current Liabilities,383.52,335.5,296.63,338.19,332.92,328.08,278.73,298.58,339.07,378.76,436.66,550.03,-,-,-
26,Long-Term Debt,58.96,49.4,46.22,37.68,29.69,17.21,6.51,6.51,-,-,-,-,-,-,-
27,Long-Term Leases,2.12,2.38,3.28,0.99,0.44,0.68,0.82,1.56,0.96,1.78,-,3.47,-,-,-
28,Long-Term Unearned Revenue,2.03,2.04,2.06,1.37,1.38,1.4,1.41,1.42,1.44,1.45,-,1.06,-,-,-
29,Long-Term Deferred Tax Liabilities,1,1.11,1.23,0.6,0.41,0.44,0.46,1.02,-,-,-,-,-,-,-
30,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,0.31,-,3.84,-,-,-,-
31,Total Liabilities,447.62,390.43,349.41,378.83,364.84,347.8,287.92,309.1,341.78,381.99,440.5,554.56,-,-,-
32,Common Stock,80.37,80.37,80.37,80.37,80.37,80.37,80.37,80.37,80.37,60.28,314.91,60.28,-,-,-
33,Additional Paid-In Capital,420.03,420.03,420.03,420.03,420.03,420.03,420.03,420.03,420.03,57.55,-,57.55,-,-,-
34,Retained Earnings,287.4,292.5,282.9,273.79,262.25,258.39,257.74,245.5,222.9,217.47,-,180.74,-,-,-
35,Treasury Stock,-10.11,-10.11,-8.44,-,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-,-,-,-,0.54,-,-,-,-,-,-,-,-,-,-
37,Shareholders' Equity,777.69,782.79,774.86,774.2,763.2,758.79,758.14,745.91,723.31,335.3,314.91,298.57,-,-,159.17
38,Total Liabilities & Equity,1225,1173,1124,1153,1128,1107,1046,1055,1065,717.29,755.4,853.13,-,-,-
39,Total Debt,65.2,55.27,52.96,42.06,36.16,20.04,9.62,11.24,19.51,20.39,-,58.16,-,-,31.05
40,Net Cash (Debt),168.53,194.2,212.45,271.94,275.73,320.73,340.92,402.22,476.38,146.8,-,200.56,-,-,181.64
41,Net Cash Growth,-38.88%,-39.45%,-37.68%,-32.39%,-42.12%,118.48%,-,100.54%,-,-,-,-,-,-,-
42,Net Cash Per Share,2.18,2.43,2.57,3.26,3.48,4.04,4.22,4.95,6.42,2.45,-,3.35,-,-,3.40
43,Filing Date Shares Outstanding,79.85,79.85,79.94,79.94,80.37,80.37,80.37,80.37,80.37,80.37,80.37,60.28,60.01,57.44,53.41
44,Total Common Shares Outstanding,79.85,79.85,79.94,80.37,80.37,80.37,80.37,80.37,80.37,60.28,80.37,60.28,60.01,57.44,53.41
45,Working Capital,402.54,438.35,461.46,506.94,511.63,502.45,516.04,583.76,649.55,267.84,246.85,229.31,-,-,-
46,Book Value Per Share,9.74,9.80,9.69,9.63,9.50,9.44,9.43,9.28,9.00,5.56,3.92,4.95,-,-,2.64
47,Tangible Book Value,761.46,766.37,758.26,757.39,746.56,741.98,741.14,729.36,706.6,318.95,314.91,282,-,-,154.17
48,Tangible Book Value Per Share,9.54,9.60,9.49,9.42,9.29,9.23,9.22,9.07,8.79,5.29,3.92,4.68,-,-,2.56
49,Buildings,-,28.94,-,28.94,-,28.94,-,28.94,-,28.94,-,28.94,-,-,-
50,Machinery,-,28.4,-,25.95,-,21.96,-,20.68,-,16.56,-,16.08,-,-,-
51,Construction In Progress,-,84.42,-,59.97,-,35.42,-,10.02,-,0.17,-,-,-,-,-
