,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-0.70,-,-0.35,-,-0.20,-,-,-,-,-,-,-,-,-
18,Asset Turnover,-,0.20,0.20,0.17,0.18,0.17,0.19,0.21,-,-,-,-,0.39,0.42,0.50,-,0.57,-,-,-,
19,Inventory Turnover,-,-,1.53,1.68,1.56,1.86,1.88,2.05,1.58,-,-,-,-,1.36,1.36,1.75,-,1.65,-,-,-
20,Quick Ratio,-,-,5.42,5.66,7.47,10.51,8.05,10.07,9.21,1.20,-,1.23,-,1.30,1.30,1.29,1.29,1.74,1.74,-,-
21,Current Ratio,-,-,6.24,6.38,10.73,11.21,11.29,10.74,9.88,1.81,-,1.86,-,1.84,1.84,1.89,1.89,2.39,2.39,-,-
22,Return on Equity (ROE),4.52%,3.55%,5.34%,4.15%,4.13%,3.25%,5.09%,3.11%,-,-,16.63%,-,3.91%,4.07%,-2.37%,-,16.21%,-,-,-,
23,Return on Assets (ROA),-,1.39%,1.98%,1.40%,-0.21%,0.63%,2.28%,1.68%,-,-,-,-,-1.98%,-2.10%,-1.81%,-,4.62%,-,-,-,
24,Return on Capital (ROIC),7.08%,1.56%,2.19%,1.54%,-0.23%,0.69%,2.51%,1.98%,-,-,10.67%,-,-2.58%,-2.88%,-2.65%,-,5.93%,-,-,-,
25,Return on Capital Employed (ROCE),-,-,2.03%,1.69%,1.77%,-,2.76%,2.89%,2.41%,14.92%,-,4.02%,-,-,-,-,-,7.51%,4.88%,-,-
26,Earnings Yield,2.23%,2.62%,2.36%,2.60%,2.31%,1.42%,1.14%,0.89%,0.52%,-,-,-,-,-,-,-,-,-,-,-,-
27,FCF Yield,-,-3.40%,-3.66%,-2.68%,-1.40%,-0.56%,-0.06%,-0.06%,-,-,-,-,-,-,-,-,-,-,-,-,
28,Dividend Yield,0.69%,-,-,1.64%,-,0.81%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,80.01%,145.18%,-,0.26%,1.10%,57.80%,-,-,-,-,-,51.05%,51.05%,-,-,-,-,-,-
30,Buyback Yield / Dilution,-5.96%,0.22%,-0.37%,7.93%,-34.20%,-30.18%,-36.88%,-36.06%,-2.80%,-27.18%,-17.00%,-46.05%,-31.25%,-6.55%,-6.55%,2.60%,2.60%,-,-,-,-
31,Total Shareholder Return,-5.27%,0.22%,-0.37%,9.57%,-34.20%,-29.38%,-36.88%,-36.06%,-2.80%,-27.18%,-17.00%,-46.05%,-31.25%,-6.55%,-6.55%,2.60%,2.60%,-,-,-,-
