,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015
12,Interest & Investment Income,-,7.48,12.6,6.92,7.24,9.09,9.32,0.25,0.13,0.66,0.73,0.28,0.45,0.45,0.19,0.19,0.63,0.63,0.15,0.15
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-0.2,-0.2,0.2,0.2,-0.2,-0.2,0.2,0.2
14,Currency Exchange Gain (Loss),-,-0.26,0.26,-,-0.09,0.05,-0.05,-,-0.64,0.16,-0.16,-,0.01,0.01,-0.16,-0.16,0.09,0.09,-0.1,-0.1
15,Other Non Operating Income (Expenses),-0.92,0.39,-0.42,-0.01,31.49,-0.31,-0.39,-0.11,0.72,-0.91,-0.03,-0.09,0.31,0.31,0.32,0.32,2.24,2.24,0.47,0.47
16,EBT Excluding Unusual Items,62.72,27.48,40.56,26.96,35.36,17.67,40.84,14.49,33.98,12.03,16.44,4.43,-2.12,-2.12,-1.62,-1.62,6.63,6.63,2.1,2.1
17,Gain (Loss) on Sale of Investments,-23.49,8.98,6.14,8.38,-16.87,10.22,6.65,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,0,-0.02,0.02,-,0,-,-,-,0,0,-0,-,-0,-0,-0.02,-0.02,0.06,0.06,-,-
19,Asset Writedown,0.38,-0.38,0.78,-0.78,-0.95,1.09,-1.09,1.09,0.35,-0.49,-0.08,0.08,-,-,-,-,-,-,-,-
20,Other Unusual Items,0.84,-3.72,3.38,-0.5,19.71,-0.01,0.01,-,9.98,0.03,-0.03,-,3.64,3.64,0.67,0.67,0.12,0.12,-,-
21,Pretax Income,40.45,32.34,50.87,34.06,37.24,28.97,46.41,15.58,44.31,11.57,16.32,4.51,1.52,1.52,-0.98,-0.98,6.81,6.81,2.1,2.1
22,Income Tax Expense,4.38,4.11,7.89,0.23,3.74,2.87,5.84,1.51,5.09,0.15,0.94,-1.19,-0.05,-0.05,-0.1,-0.1,0.72,0.72,0.08,0.08
23,Earnings From Continuing Operations,36.07,28.23,42.98,33.82,33.5,26.1,40.57,14.06,39.22,11.42,15.38,5.7,1.56,1.56,-0.87,-0.87,6.1,6.1,2.02,2.02
24,Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,-0,-0,0,0,0.01,0.01,-0.01,-0.01
25,Net Income,36.07,28.23,42.98,33.82,33.5,26.1,40.57,14.06,39.22,11.42,15.38,5.7,1.56,1.56,-0.87,-0.87,6.11,6.11,2.01,2.01
26,Net Income to Common,36.07,28.23,42.98,33.82,33.5,26.1,40.57,14.06,39.22,11.42,15.38,5.7,1.56,1.56,-0.87,-0.87,6.11,6.11,2.01,2.01
27,Net Income Growth,7.68%,8.14%,5.94%,140.50%,-14.59%,128.53%,163.85%,146.57%,2414.87%,632.38%,-,-,-74.47%,-74.47%,-,-,-,-,-,-
28,Shares Outstanding (Basic),116,113,115,114,117,113,125,85,90,82,92,83,70,70,63,63,66,66,65,65
29,Shares Outstanding (Diluted),116,113,115,114,117,113,125,85,90,82,92,83,70,70,63,63,66,66,65,65
30,Shares Change (YoY),-0.22%,0.37%,-7.93%,34.20%,30.18%,36.88%,36.06%,2.80%,27.18%,17.00%,46.05%,31.25%,6.55%,6.55%,-2.60%,-2.60%,-,-,-,-
31,EPS (Basic),0.31,0.25,0.37,0.30,0.29,0.23,0.32,0.17,0.44,0.14,0.17,0.07,0.02,0.02,-0.01,-0.01,0.09,0.09,0.03,0.03
32,EPS (Diluted),0.31,0.25,0.37,0.30,0.29,0.23,0.32,0.17,0.44,0.14,0.17,0.07,0.02,0.02,-0.01,-0.01,0.09,0.09,0.03,0.03
33,EPS Growth,7.91%,7.75%,15.07%,79.21%,-34.39%,66.96%,93.92%,139.86%,1877.43%,525.96%,-,-,-76.05%,-76.05%,-,-,-,-,-,-
34,Free Cash Flow,-,-73.64,-32.2,-68.59,-25.26,-66.37,4.6,-25.33,27.52,-13.52,2.29,-34.34,-8.53,-8.53,-11.22,-11.22,-5.41,-5.41,-0.57,-0.57
35,Free Cash Flow Per Share,-,-0.65,-0.28,-0.60,-0.22,-0.59,0.04,-0.30,0.31,-0.16,0.02,-0.42,-0.12,-0.12,-0.18,-0.18,-0.08,-0.08,-0.01,-0.01
36,Dividend Per Share,-,-,0.200,-,0.552,-,-,-,0.207,-,-,-,-,-,-,-,-,-,-,-
37,Dividend Growth,-,-,-,-,166.65%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,223.17%,44.49%,45.44%,45.79%,44.04%,40.08%,40.71%,37.53%,45.85%,37.98%,35.89%,42.08%,38.26%,38.26%,30.78%,30.78%,48.94%,48.94%,42.66%,42.66%
39,Operating Margin,39.75%,11.10%,15.44%,13.39%,-1.89%,5.84%,19.51%,12.99%,20.86%,10.52%,12.94%,5.30%,-8.07%,-8.07%,-5.79%,-5.79%,12.86%,12.86%,8.09%,8.09%
40,Profit Margin,15.84%,15.77%,23.48%,22.58%,20.81%,17.24%,24.67%,12.72%,23.88%,9.91%,12.28%,7.13%,5.61%,5.61%,-2.76%,-2.76%,18.57%,18.57%,8.99%,8.99%
41,Free Cash Flow Margin,-,-41.14%,-17.59%,-45.79%,-15.69%,-43.85%,2.79%,-22.91%,16.76%,-11.73%,1.83%,-42.93%,-30.70%,-30.70%,-35.58%,-35.58%,-16.43%,-16.43%,-2.53%,-2.53%
42,EBITDA,93.92,23.29,32.46,23.48,0.38,11.47,35.42,16.99,36.9,14.07,18.57,6.19,-1.18,-1.18,-0.76,-0.76,5.26,5.26,2.29,2.29
43,EBITDA Margin,41.25%,13.01%,17.74%,15.67%,0.24%,7.58%,21.53%,15.37%,22.47%,12.21%,14.83%,7.74%,-4.23%,-4.23%,-2.40%,-2.40%,15.98%,15.98%,10.25%,10.25%
44,D&A For EBITDA,3.42,3.42,4.21,3.42,3.42,2.63,3.33,2.63,2.63,1.95,2.38,1.95,1.07,1.07,1.07,1.07,1.03,1.03,0.48,0.48
45,EBIT,90.49,19.87,28.25,20.06,-3.04,8.84,32.09,14.35,34.26,12.12,16.2,4.24,-2.24,-2.24,-1.82,-1.82,4.23,4.23,1.81,1.81
46,EBIT Margin,39.75%,11.10%,15.44%,13.39%,-1.89%,5.84%,19.51%,12.99%,20.86%,10.52%,12.94%,5.30%,-8.07%,-8.07%,-5.79%,-5.79%,12.86%,12.86%,8.09%,8.09%
47,Effective Tax Rate,10.82%,12.72%,15.52%,0.69%,10.04%,9.90%,12.58%,9.71%,11.48%,1.29%,5.79%,-,-,-,-,-,10.51%,10.51%,3.76%,3.76%
48,Revenue as Reported,-,179.01,183.02,149.79,160.99,151.38,164.48,110.54,164.22,115.27,125.2,79.98,27.8,27.8,31.52,31.52,32.89,32.89,22.33,22.33
