,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
20,Current Ratio,1.48,1.48,1.85,1.95,-,-,4.04,4.26,4.35,3.83,3.32,2.16,2.45,2.17,2.38,2.29,1.73,1.56,2.18,1.68,2.02,Upgrade
21,Return on Equity (ROE),-78.74%,-33.08%,-,-,-,-18.18%,-8.07%,14.22%,-1.55%,7.22%,2.04%,-64.64%,0.52%,4.65%,4.72%,20.60%,1.45%,12.91%,6.40%,13.00%,Upgrade,
22,Return on Assets (ROA),-33.09%,-9.14%,-,-,-,-7.76%,-3.21%,7.62%,0.10%,4.07%,1.86%,-8.46%,0.74%,3.11%,2.25%,-1.21%,0.95%,5.72%,3.22%,0.11%,Upgrade,
23,Return on Capital (ROIC),-48.39%,-12.63%,-,-,-,-9.11%,-3.83%,9.55%,0.13%,6.12%,2.96%,-12.92%,1.11%,4.46%,3.62%,-2.33%,1.69%,9.39%,5.31%,0.17%,Upgrade,
24,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,7.39%,-2.30%,-1.85%,-2.58%,-,2.47%,3.56%,5.89%,-,8.35%,12.19%,11.78%,9.82%,Upgrade
25,Earnings Yield,-7.03%,-4.86%,-3.95%,-2.59%,-,-0.91%,-0.48%,0.25%,0.44%,-2.00%,-1.56%,-1.40%,-1.34%,0.28%,0.19%,0.50%,0.64%,0.57%,1.14%,1.16%,0.97%,Upgrade
26,FCF Yield,-6.51%,-2.14%,-3.32%,0.43%,-,4.42%,2.06%,3.18%,0.41%,-2.83%,0.35%,-1.69%,-2.29%,1.39%,0.32%,2.02%,2.81%,0.58%,1.85%,-5.37%,-6.38%,Upgrade
27,Payout Ratio,0.00%,-,-,-,-,-,-,-,0.31%,-,-,1054.50%,-,-,56.58%,-,-,-,41.80%,31.55%,-,Upgrade
28,Buyback Yield / Dilution,-1.61%,0.90%,-0.22%,-0.27%,-,0.93%,-9.99%,6.55%,-2.87%,-16.83%,16.05%,-16.91%,20.22%,3.87%,-13.43%,0.99%,-29.78%,1.84%,8.16%,2.88%,1.82%,Upgrade
29,Total Shareholder Return,-1.61%,0.90%,-0.22%,-0.27%,-,0.93%,-9.99%,6.55%,-2.87%,-16.83%,16.05%,-16.91%,20.22%,3.87%,-13.43%,0.99%,-29.78%,1.84%,8.16%,2.88%,1.82%,Upgrade
