,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
25,Other Current Liabilities,19.99,10.74,16.31,-,-,7.9,10.96,12.56,17.29,23.5,65.75,59.52,68.21,55.76,30.04,46.19,146.85,13.75,21.18,14.54,Upgrade
26,Total Current Liabilities,103.45,104.32,117.96,-,-,65.71,79.2,78.64,88.45,107.96,209.68,168.91,272.54,182.62,192.67,335.66,415.49,197.51,332.21,216.81,Upgrade
27,Long-Term Debt,-,2.49,2.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
28,Long-Term Leases,24.77,37.62,45.46,-,-,14.85,25.65,0.46,2.66,2.94,5.13,5.13,-,-,-,-,-,-,-,-,Upgrade
29,Long-Term Deferred Tax Liabilities,7.1,12.76,14.45,-,-,-,-,0.42,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
30,Other Long-Term Liabilities,0.56,0.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
31,Total Liabilities,135.89,157.59,180.36,-,-,80.56,104.85,79.53,91.11,110.9,214.82,174.04,272.54,182.62,192.67,335.66,415.49,197.51,332.21,216.81,Upgrade
32,Common Stock,230.31,230.31,230.31,-,-,230.31,230.31,230.31,230.31,230.31,230.31,230.31,230.31,215.04,179.2,179.2,179.2,179.2,128,128,Upgrade
33,Additional Paid-In Capital,134.63,140.9,140.33,-,-,138.39,138.38,138.38,140.94,140.94,134.63,134.63,135.24,54.32,90.2,90.2,90.2,90.2,141.45,141.45,Upgrade
34,Retained Earnings,-205.78,-170.33,-153.03,-,-,-101.99,-88.66,-82.25,-93.05,-91.71,-95.5,-96.48,-42.29,-42.12,-43.98,-46.25,-58.14,-58.04,-64.42,-67.57,Upgrade
35,Comprehensive Income & Other,-,0.01,0.01,-,-,0.02,0.02,0.01,0.01,0,-,-,-,-,-,-,-,-,-,-,Upgrade
36,Total Common Equity,159.15,200.88,217.62,-,-,266.72,280.05,286.45,278.21,279.55,269.44,268.46,323.26,227.25,225.41,223.15,211.26,211.36,205.03,201.88,Upgrade
37,Minority Interest,0.06,0.06,0.06,-,-,-,34.44,34.44,34.4,34.28,32.51,36.97,36.58,36,34.82,34.03,33.01,32.02,30.69,30.29,Upgrade
38,Shareholders' Equity,159.22,200.94,217.69,-,-,266.72,314.49,320.89,312.62,313.83,301.95,305.43,359.84,263.25,260.24,257.18,244.27,243.38,235.72,232.17,Upgrade
39,Total Liabilities & Equity,295.1,358.53,398.05,-,-,347.28,419.34,400.42,403.73,424.73,516.76,479.46,632.38,445.87,452.91,592.84,659.76,440.89,567.93,448.98,Upgrade
40,Total Debt,28.98,57.8,71.06,-,-,23.28,48.23,3.71,3.76,4.03,6.69,12.68,49.99,44,60.4,73.12,73.12,60.4,75,75,Upgrade
41,Net Cash (Debt),-28.28,-42.87,-49.01,-,-,80.5,51.43,56.91,14.19,92.57,5.64,47.47,99.87,28.82,18.71,79.48,-42.85,4.87,-59.53,-8.01,Upgrade
42,Net Cash Growth,-,-,-,-,-,-13.03%,812.50%,19.89%,-85.80%,221.21%,-69.87%,-40.28%,-,491.28%,-,-,-,-,-,-,Upgrade
43,Net Cash Per Share,-0.12,-0.19,-0.21,-,-,0.35,0.22,0.25,0.06,0.44,0.02,0.21,0.50,0.12,0.09,0.29,-0.21,0.02,-0.28,-0.04,Upgrade
44,Filing Date Shares Outstanding,230.31,230.31,230.31,-,232.32,230.31,230.31,230.31,230.31,230.31,230.31,230.31,230.31,230.31,215.04,215.04,215.04,215.04,215.04,215.04,Upgrade
45,Total Common Shares Outstanding,230.31,230.31,230.31,-,232.32,230.31,230.31,230.31,230.31,230.31,230.31,230.31,230.31,215.04,215.04,215.04,215.04,215.04,215.04,215.04,Upgrade
46,Working Capital,49.87,88.85,111.71,-,-,199.83,257.91,263.14,250.24,250.25,242.94,245.62,318.17,251.47,248.24,245.16,232.73,232.18,224.81,221.07,Upgrade
47,Book Value Per Share,0.69,0.87,0.94,-,-,1.16,1.22,1.24,1.21,1.21,1.17,1.17,1.40,1.06,1.05,1.04,0.98,0.98,0.95,0.94,Upgrade
48,Tangible Book Value,153.82,196.46,214,-,-,265.51,278.83,285.2,276.91,278.2,268.04,267.02,321.77,225.83,223.95,221.65,209.71,210.34,203.98,200.8,Upgrade
49,Tangible Book Value Per Share,0.67,0.85,0.93,-,-,1.15,1.21,1.24,1.20,1.21,1.16,1.16,1.40,1.05,1.04,1.03,0.98,0.98,0.95,0.93,Upgrade
50,Machinery,-,2.81,-,-,-,2.93,-,2.17,-,2.15,-,2.17,-,2.17,-,2.12,-,2.13,-,1.41,Upgrade
51,Construction In Progress,-,3.22,-,-,-,1.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
